model,bop,full,monetary,parsimonious,pca
ARIMA,5.22122647262333,3.102935445673638,5.607707779411375,5.384475108359221,3.5603396918587826
BVAR,-10.590748751173463,-4.927916642375596,-3.465061313065021,-4.799936370531766,-5.365627497416381
LSTM,11.012693132444461,-4.551671351901909,-0.3111254631554261,1.1789221282066498,-1.3458405815367058
MS-VAR,-0.761199191178108,0.6012904223056115,6.559460348314472,4.351982737012805,1.705480365935652
MS-VECM,740.4679503691233,100.15288022091022,782.5112240914377,739.230129949419,726.0520034870735
Naive,0.0,0.0,0.0,0.0,0.0
VAR,1.8202873672994002,7.825737555590129,1.6180654415623774,0.1266115777689647,-6.251693672515279
VECM,761.421395496711,187.106016448294,749.4354984673247,750.7881902110253,739.1348333727971
XGBoost,-41.95669418378236,-23.11639039218345,-34.889174196789966,-39.076360889946216,-27.256128188790097
