model,bop,full,monetary,parsimonious,pca
ARIMA,,,,959.523624050465,
BVAR,34.645706710798585,49.93119514259246,55.14597756488362,40.46630985220621,72.7585335531568
DMA,,,,0.5728584595698916,
DMS,,,,0.0,
LSTM,,,,23.822723208920983,
MS-VAR,,,,878.9677799556895,
MS-VECM,,,,904.5166334174003,
Naive,0.0,0.0,0.0,0.0,0.0
VECM,,,,672.2546709943558,
XGBoost,,,,-60.78247156338896,
