,SimpleAvg,InvRMSE,Trimmed,Best3Avg,StackRidge,StackElastic,StackXGB,Dynamic,actual
2024-07-01,6080.406269018138,6080.406269018138,6225.841349371717,6819.033644953107,6080.406269018138,6080.406269018138,6080.406269018138,6080.406269018138,5652.0
2024-08-01,6184.568612769417,6184.568612769417,6327.636512910272,6859.127111907478,6184.568612769417,6184.568612769417,6184.568612769417,6184.568612769416,5959.0
2024-09-01,6303.519455303318,6303.519455303317,6418.774815128723,6923.102205152799,6303.519455303318,6303.519455303318,6303.519455303318,6303.519455303318,5994.0
2024-10-01,6446.698965129898,6446.698965129899,6546.20559031775,6946.798377000497,6446.698965129898,6446.698965129898,6446.698965129898,6589.257,6472.0
2024-11-01,6588.379465645895,6588.379465645894,6692.0406404242785,7034.309736377647,6588.379465645895,6588.379465645895,6588.379465645895,6356.8096,6451.0
2024-12-01,6690.328476678059,6690.328476678058,6822.356848852574,6985.144381189896,6690.328476678059,6690.328476678059,6690.328476678059,6321.984,6122.0
2025-01-01,6590.106181418322,6590.106181418321,6751.254138648361,6975.282863010707,6590.106181418322,6590.106181418322,6590.106181418322,6117.2964,6065.0
2025-02-01,6508.096845345811,6508.096845345811,6659.2121288947255,7030.617371759078,6508.096845345811,6508.096845345811,6508.096845345811,6024.326,6086.0
2025-03-01,6531.093648938055,6531.093648938056,6638.29151513035,7065.124101241621,6531.093648938055,6531.093648938055,6531.093648938055,6041.087551083512,6531.0
