variable_set,model,status,n,rmse,rmse_vs_naive_pct,mape,r_squared,dir_acc,beats_naive
parsimonious,Naive,ok,12,882.1691404010207,0.0,8.27951566377679,-0.11029783652725333,18.181818181818183,False
parsimonious,ARIMA,ok,12,929.6693181795403,5.384475108359221,8.062944768116989,-0.23308429681824938,36.36363636363637,False
parsimonious,VAR,ok,12,883.2860686682734,0.1266115777689647,7.899954157381914,-0.1131111476067943,45.45454545454545,False
parsimonious,VECM,ok,12,7505.390864218002,750.7881902110253,99.48744949899279,-79.3678590662922,18.181818181818183,False
parsimonious,MS-VAR,ok,12,920.5609891025275,4.351982737012805,8.840210503153873,-0.20904065363798896,27.27272727272727,False
parsimonious,MS-VECM,ok,12,7403.42922336116,739.230129949419,98.26093894496782,-77.19907726404084,18.181818181818183,False
parsimonious,BVAR,ok,12,839.8255829813047,-4.799936370531766,7.987952065288044,-0.006268715567909311,36.36363636363637,True
parsimonious,XGBoost,ok,12,537.4495434381815,-39.076360889946216,5.368216285559143,0.5878918842521603,63.63636363636363,True
parsimonious,LSTM,ok,12,892.5692276054189,1.1789221282066498,9.185063005465059,-0.1366312458595882,36.36363636363637,False
bop,Naive,ok,12,882.1691404010207,0.0,8.27951566377679,-0.11029783652725333,18.181818181818183,False
bop,ARIMA,ok,12,928.2291890929525,5.22122647262333,8.05292669920479,-0.22926697144949726,36.36363636363637,False
bop,VAR,ok,12,898.2271538219542,1.8202873672994002,8.470213649959064,-0.15108695024623975,27.27272727272727,False
bop,VECM,ok,12,7599.193719883813,761.421395496711,100.78016151400703,-81.3892979535759,18.181818181818183,False
bop,MS-VAR,ok,12,875.4540760394653,-0.761199191178108,8.494191812358785,-0.0934590135691562,27.27272727272727,True
bop,MS-VECM,ok,12,7414.348893117372,740.4679503691233,97.82804624226065,-77.42992645784265,27.27272727272727,False
bop,BVAR,ok,12,788.7408231807619,-10.590748751173463,8.082047862440346,0.1124263318717088,18.181818181818183,True
bop,XGBoost,ok,12,512.0401319792628,-41.95669418378236,4.814340847205875,0.6259378442606294,72.72727272727273,True
bop,LSTM,ok,12,979.3197207425084,11.012693132444461,10.2469728194983,-0.3683108503701795,54.54545454545454,False
monetary,Naive,ok,12,882.1691404010207,0.0,8.27951566377679,-0.11029783652725333,18.181818181818183,False
monetary,ARIMA,ok,12,931.6386079148552,5.607707779411375,8.078876093306544,-0.2383138383285186,36.36363636363637,False
monetary,VAR,ok,12,896.4432143979776,1.6180654415623774,8.192511656072915,-0.14651921875824758,45.45454545454545,False
monetary,VECM,ok,12,7493.457835090325,749.4354984673247,99.25998735685408,-79.11250404888906,36.36363636363637,False
monetary,MS-VAR,ok,12,940.0346753706924,6.559460348314472,8.909397673424118,-0.2607341544113655,45.45454545454545,False
monetary,MS-VECM,ok,12,7785.2416795099625,782.5112240914377,103.61488348296122,-85.47288901678161,45.45454545454545,False
monetary,BVAR,ok,12,851.6014388011868,-3.465061313065021,8.213412110632,-0.034685930681803256,45.45454545454545,True
monetary,XGBoost,ok,12,574.387612296184,-34.889174196789966,5.388917497873156,0.5292981549156495,63.63636363636363,True
monetary,LSTM,ok,12,879.4244875771338,-0.3111254631554261,9.544088946353757,-0.10339974553265718,36.36363636363637,True
pca,Naive,ok,12,882.1691404010207,0.0,8.27951566377679,-0.11029783652725333,18.181818181818183,False
pca,ARIMA,ok,12,913.5773584560477,3.5603396918587826,7.977916897344607,-0.19076600128692944,36.36363636363637,False
pca,VAR,ok,12,827.0186280696877,-6.251693672515279,7.737357632636968,0.02418755081365498,27.27272727272727,True
pca,VECM,ok,12,7402.588546370342,739.1348333727971,98.08854846515564,-77.18131889004958,27.27272727272727,False
pca,MS-VAR,ok,12,897.2143618849035,1.705480365935652,8.35340963021704,-0.14849260799255548,27.27272727272727,False
pca,MS-VECM,ok,12,7287.175858427327,726.0520034870735,96.51180363223808,-74.76249551384977,9.090909090909092,False
pca,BVAR,ok,12,834.8352304299418,-5.365627497416381,7.403929235988478,0.005654512655518973,27.27272727272727,True
pca,XGBoost,ok,12,641.7239886513709,-27.256128188790097,6.027278237122965,0.41246692635647486,72.72727272727273,True
pca,LSTM,ok,12,870.2965501117103,-1.3458405815367058,9.117932207297203,-0.08061326559684812,36.36363636363637,True
full,Naive,ok,12,882.1691404010207,0.0,8.27951566377679,-0.11029783652725333,18.181818181818183,False
full,ARIMA,ok,12,909.5422793493184,3.102935445673638,7.913831096952939,-0.18027050466495353,27.27272727272727,False
full,VAR,ok,12,951.2053821252101,7.825737555590129,8.943313503189913,-0.29087553076683825,27.27272727272727,False
full,VECM,ok,12,2532.7606773415287,187.106016448294,17.109670856590316,-8.15217004203355,18.181818181818183,False
full,MS-VAR,ok,12,887.4735389507879,0.6012904223056115,9.149857064074308,-0.12369020846483525,27.27272727272727,False
full,MS-VECM,ok,12,1765.6869429326882,100.15288022091022,11.638023175020496,-3.447983644278281,36.36363636363637,False
full,BVAR,ok,12,838.6965805172971,-4.927916642375596,7.034306066858008,-0.003565020302141786,27.27272727272727,True
full,XGBoost,ok,12,678.2434779865519,-23.11639039218345,6.237675981944072,0.34369301984298517,54.54545454545454,True
full,LSTM,ok,12,842.0157003620682,-4.551671351901909,8.98286154857863,-0.011523902527025731,27.27272727272727,True
