varset,variable,n_total,n_valid,n_missing,pct_missing,n_zeros,n_outliers,mean,std,min,max
parsimonious,gross_reserves_usd_m,219,219,0,0.0,0,0,5725.422189094698,2031.0855998826046,1588.37233054694,9935.768813397091
parsimonious,trade_balance_usd_m,219,219,0,0.0,0,0,-594.9521973574717,229.20028502673858,-1100.6468676490924,-39.08332576456121
parsimonious,usd_lkr,219,219,0,0.0,0,0,171.23427899543378,73.491764811264,107.6086,363.945
bop,gross_reserves_usd_m,195,195,0,0.0,0,0,6046.479279034557,1919.0411023180343,1588.37233054694,9935.768813397091
bop,exports_usd_m,195,195,0,0.0,0,1,907.7301522042329,159.83764830907447,282.3103443550165,1241.6908589753436
bop,imports_usd_m,195,195,0,0.0,0,2,1526.749405236487,285.9835125925371,606.3115947182515,2240.979740627027
bop,remittances_usd_m,195,195,0,0.0,0,0,501.8657314922868,119.71407964368075,204.92486303716285,812.7378063911985
bop,tourism_usd_m,195,195,0,0.0,8,0,174.3647749068058,129.19380403200114,0.0,475.20833976000006
monetary,gross_reserves_usd_m,221,221,0,0.0,0,0,5678.594838967145,2037.0498729623266,1588.37233054694,9935.768813397091
monetary,usd_lkr,221,221,0,0.0,0,9,147.2482610859728,50.01413763605634,98.9288,320.32
monetary,m2_usd_m,221,221,0,0.0,0,0,25106.771082176383,12711.072047659134,7095.476746912932,47728.387495815216
pca,gross_reserves_usd_m,130,130,0,0.0,0,2,6743.745221227518,1475.0160510334654,1588.37233054694,9935.768813397091
pca,PC1,130,130,0,0.0,0,0,0.5506794878213537,2.1853351842590194,-3.536919088720558,5.628676259723155
pca,PC2,130,130,0,0.0,0,0,0.7892073986520952,1.9018793822588116,-3.9524622417858257,5.429248259621318
pca,PC3,130,130,0,0.0,0,1,-0.36566831709487757,1.267701731570674,-5.073137428648273,2.6747417178810697
full,gross_reserves_usd_m,137,137,0,0.0,0,1,6627.959557749918,1586.52746675554,1588.37233054694,9935.768813397091
full,exports_usd_m,137,137,0,0.0,0,1,934.4674956051628,133.10693267560384,282.3103443550165,1231.6821030552203
full,imports_usd_m,137,137,0,0.0,0,2,1622.7149073361759,198.42549124155923,993.8228128748568,2240.979740627027
full,remittances_usd_m,137,137,0,0.0,0,3,551.8460927673908,89.15085526559685,204.92486303716285,812.7378063911985
full,usd_lkr,137,137,0,0.0,0,0,170.8232510948905,50.582905406453804,113.8195,320.32
full,m2_usd_m,137,137,0,0.0,0,0,33305.85614664619,8700.75278846818,18060.73999407965,47728.387495815216
full,trade_balance_usd_m,137,137,0,0.0,0,0,-688.2474117310129,181.9007745388322,-1090.5157365580185,-161.3159889531363
