period,varset,model,target,rmse,vs_naive,mape,dir_acc,n
Pre-Crisis (2019),parsimonious,XGBoost,Level,1143.764312416758,28.239026501612273,11.206215740350206,18.181818181818183,12
Pre-Crisis (2019),parsimonious,XGBoost,Diff→Level,1182.374475627038,32.568003799996916,14.048557137721915,75.0,12
Pre-Crisis (2019),parsimonious,BVAR,Level,955.2366254694272,7.1012739242114264,8.975874956815101,36.36363636363637,12
Pre-Crisis (2019),parsimonious,BVAR,Diff→Level,1102.193555945818,23.57810704216119,11.408099430925956,58.333333333333336,12
Pre-Crisis (2019),parsimonious,Naive,Level,891.9003392484254,0.0,7.898796659488935,10.0,11
Pre-Crisis (2019),bop,XGBoost,Level,826.2538020458215,-7.3602996112684504,7.5894285764335265,36.36363636363637,12
Pre-Crisis (2019),bop,XGBoost,Diff→Level,1114.5420002041083,24.96261646713751,11.950784206222316,58.333333333333336,12
Pre-Crisis (2019),bop,BVAR,Level,917.2847934721726,2.846108820312576,8.146326938845204,18.181818181818183,12
Pre-Crisis (2019),bop,BVAR,Diff→Level,1055.8459866379164,18.381610609952514,12.555780184194735,58.333333333333336,12
Pre-Crisis (2019),bop,Naive,Level,891.9003392484254,0.0,7.898796659488935,10.0,11
Pre-Crisis (2019),monetary,XGBoost,Level,1097.9485137672066,23.10215227548977,10.000541322475637,18.181818181818183,12
Pre-Crisis (2019),monetary,XGBoost,Diff→Level,1085.284550150658,21.68226677267453,13.007618851213284,66.66666666666666,12
Pre-Crisis (2019),monetary,BVAR,Level,961.9730986784342,7.856568312223855,8.70747806182085,36.36363636363637,12
Pre-Crisis (2019),monetary,BVAR,Diff→Level,1611.169989333792,80.64462120190143,17.32228093571623,58.333333333333336,12
Pre-Crisis (2019),monetary,Naive,Level,891.9003392484254,0.0,7.898796659488935,10.0,11
Pre-Crisis (2019),pca,XGBoost,Level,1057.2210759072689,18.535785825370766,9.79632993141844,45.45454545454545,12
Pre-Crisis (2019),pca,XGBoost,Diff→Level,2342.4047876023265,162.6307766152654,26.527054116099492,75.0,12
Pre-Crisis (2019),pca,BVAR,Level,1009.7872436230358,13.217497425099056,8.927290030435442,9.090909090909092,12
Pre-Crisis (2019),pca,BVAR,Diff→Level,2869.3859908807985,221.71598827944544,31.93016164464123,58.333333333333336,12
Pre-Crisis (2019),pca,Naive,Level,891.9003392484254,0.0,7.898796659488935,10.0,11
Pre-Crisis (2019),full,XGBoost,Level,1074.6761196919779,20.492847956260608,11.04498461866601,36.36363636363637,12
Pre-Crisis (2019),full,XGBoost,Diff→Level,1000.6753163987066,12.195866776095432,11.079937441038181,75.0,12
Pre-Crisis (2019),full,BVAR,Level,1172.0018310088435,31.405021327433303,10.33198227405842,27.27272727272727,12
Pre-Crisis (2019),full,BVAR,Diff→Level,3578.7062480452705,301.245082052657,39.44881066228249,41.66666666666667,12
Pre-Crisis (2019),full,Naive,Level,891.9003392484254,0.0,7.898796659488935,10.0,11
