date,gross_reserves_usd_m,scenario
2025-04-01,6362.81012885905,Baseline
2025-05-01,6491.051448743866,Baseline
2025-06-01,6413.879373809835,Baseline
2025-07-01,6452.427361298623,Baseline
2025-08-01,6421.584112554968,Baseline
2025-09-01,6430.214489365564,Baseline
2025-10-01,6416.212016300798,Baseline
2025-11-01,6414.97625819658,Baseline
2025-12-01,6406.5471250443625,Baseline
2026-01-01,6402.1471141556285,Baseline
2026-02-01,6395.494092350499,Baseline
2026-03-01,6390.09792868517,Baseline
2025-04-01,6362.81012885905,LKR Depreciation 10%
2025-05-01,6491.051448743866,LKR Depreciation 10%
2025-06-01,6413.879373809835,LKR Depreciation 10%
2025-07-01,6452.427361298623,LKR Depreciation 10%
2025-08-01,6421.584112554968,LKR Depreciation 10%
2025-09-01,6430.214489365564,LKR Depreciation 10%
2025-10-01,6416.212016300798,LKR Depreciation 10%
2025-11-01,6414.97625819658,LKR Depreciation 10%
2025-12-01,6406.5471250443625,LKR Depreciation 10%
2026-01-01,6402.1471141556285,LKR Depreciation 10%
2026-02-01,6395.494092350499,LKR Depreciation 10%
2026-03-01,6390.09792868517,LKR Depreciation 10%
2025-04-01,6362.81012885905,LKR Depreciation 20%
2025-05-01,6491.051448743866,LKR Depreciation 20%
2025-06-01,6413.879373809835,LKR Depreciation 20%
2025-07-01,6452.427361298623,LKR Depreciation 20%
2025-08-01,6421.584112554968,LKR Depreciation 20%
2025-09-01,6430.214489365564,LKR Depreciation 20%
2025-10-01,6416.212016300798,LKR Depreciation 20%
2025-11-01,6414.97625819658,LKR Depreciation 20%
2025-12-01,6406.5471250443625,LKR Depreciation 20%
2026-01-01,6402.1471141556285,LKR Depreciation 20%
2026-02-01,6395.494092350499,LKR Depreciation 20%
2026-03-01,6390.09792868517,LKR Depreciation 20%
2025-04-01,6362.81012885905,Export Shock (-15%)
2025-05-01,6508.298014792392,Export Shock (-15%)
2025-06-01,6443.3191841290745,Export Shock (-15%)
2025-07-01,6498.3341622970165,Export Shock (-15%)
2025-08-01,6481.865138173576,Export Shock (-15%)
2025-09-01,6506.168363966694,Export Shock (-15%)
2025-10-01,6507.129011909895,Export Shock (-15%)
2025-11-01,6521.264801960928,Export Shock (-15%)
2025-12-01,6527.979684517836,Export Shock (-15%)
2026-01-01,6538.851790235815,Export Shock (-15%)
2026-02-01,6547.399408668271,Export Shock (-15%)
2026-03-01,6557.243837611106,Export Shock (-15%)
2025-04-01,6362.81012885905,Remittance Decline (-20%)
2025-05-01,6465.985984669261,Remittance Decline (-20%)
2025-06-01,6371.507709767645,Remittance Decline (-20%)
2025-07-01,6385.934830579727,Remittance Decline (-20%)
2025-08-01,6334.594354118933,Remittance Decline (-20%)
2025-09-01,6320.374769378898,Remittance Decline (-20%)
2025-10-01,6284.887920491478,Remittance Decline (-20%)
2025-11-01,6261.350422000102,Remittance Decline (-20%)
2025-12-01,6231.093154426567,Remittance Decline (-20%)
2026-01-01,6204.590604968517,Remittance Decline (-20%)
2026-02-01,6175.992048392735,Remittance Decline (-20%)
2026-03-01,6148.560889499248,Remittance Decline (-20%)
2025-04-01,6362.81012885905,Tourism Recovery (+25%)
2025-05-01,6496.882718956588,Tourism Recovery (+25%)
2025-06-01,6423.903355767262,Tourism Recovery (+25%)
2025-07-01,6467.999001570736,Tourism Recovery (+25%)
2025-08-01,6442.071322116686,Tourism Recovery (+25%)
2025-09-01,6456.002731599306,Tourism Recovery (+25%)
2025-10-01,6447.096015118908,Tourism Recovery (+25%)
2025-11-01,6451.072825444882,Tourism Recovery (+25%)
2025-12-01,6447.791947714354,Tourism Recovery (+25%)
2026-01-01,6448.576182881781,Tourism Recovery (+25%)
2026-02-01,6447.087428293946,Tourism Recovery (+25%)
2026-03-01,6446.86666678265,Tourism Recovery (+25%)
2025-04-01,6362.81012885905,Oil Price Shock
2025-05-01,6486.942115518653,Oil Price Shock
2025-06-01,6406.906796286108,Oil Price Shock
2025-07-01,6441.501195094687,Oil Price Shock
2025-08-01,6407.284650745158,Oil Price Shock
2025-09-01,6412.1580127056795,Oil Price Shock
2025-10-01,6394.627216957813,Oil Price Shock
2025-11-01,6389.7218969097175,Oil Price Shock
2025-12-01,6377.707949385445,Oil Price Shock
2026-01-01,6369.672272492661,Oil Price Shock
2026-02-01,6359.413716322907,Oil Price Shock
2026-03-01,6350.394267081984,Oil Price Shock
2025-04-01,6362.81012885905,IMF Tranche Delay
2025-05-01,6492.421226485603,IMF Tranche Delay
2025-06-01,6416.203566317744,IMF Tranche Delay
2025-07-01,6456.069416699935,IMF Tranche Delay
2025-08-01,6426.350599824905,IMF Tranche Delay
2025-09-01,6436.233314918859,IMF Tranche Delay
2025-10-01,6423.406949415125,IMF Tranche Delay
2025-11-01,6423.394378625534,IMF Tranche Delay
2025-12-01,6416.160183597335,IMF Tranche Delay
2026-01-01,6412.972061376618,IMF Tranche Delay
2026-02-01,6407.5208843596965,IMF Tranche Delay
2026-03-01,6403.332482552899,IMF Tranche Delay
2025-04-01,6362.81012885905,Combined Adverse
2025-05-01,6476.345489733277,Combined Adverse
2025-06-01,6389.059595409259,Combined Adverse
2025-07-01,6413.4210742380665,Combined Adverse
2025-08-01,6370.606401951099,Combined Adverse
2025-09-01,6365.802370882735,Combined Adverse
2025-10-01,6339.233209566728,Combined Adverse
2025-11-01,6324.902415568903,Combined Adverse
2025-12-01,6303.68971148806,Combined Adverse
2026-01-01,6286.323033562519,Combined Adverse
2026-02-01,6266.809517487539,Combined Adverse
2026-03-01,6248.4916570329115,Combined Adverse
2025-04-01,6362.81012885905,Combined Upside
2025-05-01,6498.121263994066,Combined Upside
2025-06-01,6425.782043691955,Combined Upside
2025-07-01,6471.168460278144,Combined Upside
2025-08-01,6446.047896279892,Combined Upside
2025-09-01,6461.147852298431,Combined Upside
2025-10-01,6453.16486596821,Combined Upside
2025-11-01,6458.225521346183,Combined Upside
2025-12-01,6455.927987393243,Combined Upside
2026-01-01,6457.75712023097,Combined Upside
2026-02-01,6457.276364214821,Combined Upside
2026-03-01,6458.08538667322,Combined Upside
