date,exports_usd_m
2007-01-01,487.4234681377972
2007-02-01,585.7982236391804
2007-03-01,630.6943269616814
2007-04-01,531.6992666092641
2007-05-01,637.2478349971178
2007-06-01,667.3012361647559
2007-07-01,683.9632990518871
2007-08-01,652.8681287223121
2007-09-01,719.3911267809434
2007-10-01,624.1546987860158
2007-11-01,577.8998385201782
2007-12-01,841.5319768948182
2008-01-01,552.0744096511238
2008-02-01,639.164335919886
2008-03-01,677.9507634091372
2008-04-01,608.2140579359377
2008-05-01,743.8113183015591
2008-06-01,652.9925131163194
2008-07-01,846.2233781562398
2008-08-01,758.4715842455379
2008-09-01,648.1663782812277
2008-10-01,659.8740804512345
2008-11-01,643.7034392363593
2008-12-01,679.949763787516
2009-01-01,491.12250528325586
2009-02-01,524.2484802781544
2009-03-01,632.0015886956218
2009-04-01,437.6225719222221
2009-05-01,538.4531361060348
2009-06-01,565.210780767491
2009-07-01,652.2373263642176
2009-08-01,710.3629375690552
2009-09-01,568.2329505461227
2009-10-01,628.660979308094
2009-11-01,612.990058066526
2009-12-01,723.3783494852621
2010-01-01,656.4771475651874
2010-02-01,683.0335766681674
2010-03-01,755.9409231632552
2010-04-01,495.51039563556634
2010-05-01,558.6548361540848
2010-06-01,624.4979662227058
2010-07-01,879.2830567824942
2010-08-01,803.0986356591901
2010-09-01,713.590895198686
2010-10-01,932.4533918349485
2010-11-01,792.4314493061487
2010-12-01,730.8555624837272
2011-01-01,922.9892620840501
2011-02-01,816.9552807742292
2011-03-01,930.7750196394119
2011-04-01,748.6356820692486
2011-05-01,836.1273694186206
2011-06-01,820.4107865890929
2011-07-01,962.1221847896372
2011-08-01,954.1527477935655
2011-09-01,858.3745695451406
2011-10-01,889.1348762817661
2011-11-01,885.7604342675563
2011-12-01,933.3820328161256
2012-01-01,888.1768344193363
2012-02-01,821.0083740706526
2012-03-01,860.9534070468782
2012-04-01,747.8077199412343
2012-05-01,805.9587920660201
2012-06-01,755.8097439061191
2012-07-01,794.4485838607419
2012-08-01,828.9094751989539
2012-09-01,801.5163159441854
2012-10-01,770.3680166743912
2012-11-01,827.5999432430898
2012-12-01,870.9723909491089
2013-01-01,728.6704873301528
2013-02-01,797.7068428421537
2013-03-01,832.0258408267106
2013-04-01,696.5398243173713
2013-05-01,793.8675557900644
2013-06-01,807.6126751415874
2013-07-01,859.3002286407439
2013-08-01,918.6373789675208
2013-09-01,899.0348928672161
2013-10-01,1041.3319298561878
2013-11-01,1031.842627143399
2013-12-01,987.6804415027386
2014-01-01,903.9139666797747
2014-02-01,842.3512780193341
2014-03-01,1070.1044568320215
2014-04-01,764.2577702006421
2014-05-01,883.529809367989
2014-06-01,985.6929784578035
2014-07-01,956.6346767350083
2014-08-01,992.6326904928701
2014-09-01,902.8373773847655
2014-10-01,901.8375575516687
2014-11-01,921.1614324694976
2014-12-01,1005.11543783744
2015-01-01,920.4476963793944
2015-02-01,907.2515049439392
2015-03-01,1068.1060192583623
2015-04-01,716.9613847423697
2015-05-01,886.0799616559248
2015-06-01,945.5608430207931
2015-07-01,937.1303438840304
2015-08-01,802.1047080460835
2015-09-01,853.1930077327272
2015-10-01,850.7400210189741
2015-11-01,838.4221305919958
2015-12-01,820.500899422696
2016-01-01,898.5946185751349
2016-02-01,891.5970221812355
2016-03-01,949.011635083698
2016-04-01,710.3897803653814
2016-05-01,780.1272098015405
2016-06-01,900.5619459385096
2016-07-01,891.5439655383419
2016-08-01,866.3099109246001
2016-09-01,897.8775700778094
2016-10-01,855.0431213174927
2016-11-01,809.6505412056308
2016-12-01,859.0316990634382
2017-01-01,864.7176173932837
2017-02-01,867.8069877581088
2017-03-01,1041.818219027803
2017-04-01,794.6621201873861
2017-05-01,841.2448575017796
2017-06-01,987.3032456286518
2017-07-01,1015.1819586445046
2017-08-01,1000.6426914822159
2017-09-01,1011.0255494559293
2017-10-01,975.5798144486419
2017-11-01,940.9320110191799
2017-12-01,1019.5029136734678
2018-01-01,965.3701425744971
2018-02-01,915.650345321389
2018-03-01,1107.6632607514034
2018-04-01,795.0546716824356
2018-05-01,923.7576297403433
2018-06-01,1024.3682844569344
2018-07-01,1073.1643006891263
2018-08-01,1037.3606140149984
2018-09-01,1055.2146080861978
2018-10-01,979.096089464566
2018-11-01,979.5512009150912
2018-12-01,1033.3831084516703
2019-01-01,1038.1468507890256
2019-02-01,981.119883809676
2019-03-01,1136.8623054590541
2019-04-01,798.1056022403444
2019-05-01,961.0197730366247
2019-06-01,1083.954426800322
2019-07-01,998.5344346682733
2019-08-01,1032.5052702891876
2019-09-01,953.7545302038527
2019-10-01,977.2802613026087
2019-11-01,978.7856206740918
2019-12-01,999.9429518693603
2020-01-01,1004.8850926174435
2020-02-01,988.5170201257566
2020-03-01,656.2184495098973
2020-04-01,282.3103443550165
2020-05-01,586.6872740660409
2020-06-01,894.1352989903875
2020-07-01,1085.021074654558
2020-08-01,947.2286171577183
2020-09-01,1000.0421286057493
2020-10-01,854.2753709427261
2020-11-01,783.6559445593846
2020-12-01,964.4508442734063
2021-01-01,936.6622814854385
2021-02-01,951.7245740484459
2021-03-01,1093.7738520883445
2021-04-01,818.1842602092861
2021-05-01,891.7032201204976
2021-06-01,1007.0147013013269
2021-07-01,1103.9334293875042
2021-08-01,1101.0348746447219
2021-09-01,1034.4575246293707
2021-10-01,1192.3364394091789
2021-11-01,1211.4690722829193
2021-12-01,1156.2853341767309
2022-01-01,1102.6034670306735
2022-02-01,1093.3378369012546
2022-03-01,1058.2320434309793
2022-04-01,970.9060449924372
