date,gross_reserves_usd_m,fx_reserves_usd_m,imf_position_usd_m,sdrs_usd_m,gold_usd_m,other_reserves_usd_m,source
2013-11-01,7005.112547885943,6001.298932181784,73.46792129611,15.496370002560733,913.8704970807928,0.978827324695122,CBSL Official Reserve Assets Historical
2013-12-01,7495.272121523254,6521.128482064121,73.7044,15.5466214006562,883.9103859184876,0.9822321399891399,CBSL Official Reserve Assets Historical
2014-01-01,8048.583905345139,7037.420353038395,73.4195874522,15.49064669541538,921.274764560043,0.9785535990855094,CBSL Official Reserve Assets Historical
2014-02-01,8259.552166921556,7276.541099843131,74.0512772934,8.485246503685474,899.4875669199731,0.9869763613657321,CBSL Official Reserve Assets Historical
2014-03-01,8059.724448730886,7078.31073571379,73.96657342833001,8.478572121788993,897.9827216199715,0.985845847007037,CBSL Official Reserve Assets Historical
2014-04-01,8896.731082422368,7923.626232286314,74.16086590979,14.69855948174602,883.2569876899939,0.9884370545237915,CBSL Official Reserve Assets Historical
2014-05-01,8772.663840758212,7791.76453238364,73.71964012677,8.864875280136685,897.3322360300346,0.9825569376321734,CBSL Official Reserve Assets Historical
2014-06-01,9164.004705013178,8139.863709469786,73.9790142581,8.89970539347883,940.2762607399899,0.9860151518244569,CBSL Official Reserve Assets Historical
2014-07-01,8973.741181262614,7964.566061151585,73.28128412989999,14.178902448809694,920.7382224700523,0.9767110622670114,CBSL Official Reserve Assets Historical
2014-08-01,9185.637359336446,8143.508181769976,72.66251674858,9.160660353512817,959.3080335200259,0.9979669443501423,CBSL Official Reserve Assets Historical
2014-09-01,8821.804336421244,7837.250892520176,70.95025443659999,8.94735422027554,903.6734398399333,0.982395404258779,CBSL Official Reserve Assets Historical
2014-10-01,8790.920103836674,7839.0693326780965,70.74591234403,13.359276456600638,866.7705965699507,0.974985787994216,CBSL Official Reserve Assets Historical
2014-11-01,8330.88205481358,7365.591721912065,70.07163129384,9.255047645176361,884.9558162589823,1.007837703517795,CBSL Official Reserve Assets Historical
2014-12-01,8208.41,7236.246559593665,69.33322415370999,9.158906440846545,892.7071157494242,0.9641940623554925,CBSL Official Reserve Assets Historical
2015-01-01,7252.429999999999,6272.15,67.47,8.91,902.96,0.94,CBSL Official Reserve Assets Historical
2015-02-01,7420.4554996301695,6477.158042591045,67.3510565931,9.022894577776764,865.9868701999247,0.9366356683220465,CBSL Official Reserve Assets Historical
2015-03-01,6819.545505227352,5894.962838339052,66.0158940021,8.84528254195645,848.8034228398043,0.9180675044394281,CBSL Official Reserve Assets Historical
2015-04-01,7454.631473478869,6521.749265632507,67.3046369618,14.776070733848245,849.3079943899172,1.4935057607975921,CBSL Official Reserve Assets Historical
2015-05-01,6845.77,5915.14,66.54,11.68,851.51,0.9,CBSL Official Reserve Assets Historical
2015-06-01,7525.485379478358,6606.369917062229,67.3032013031,11.815671215645805,839.055275989828,0.941313907554226,CBSL Official Reserve Assets Historical
2015-07-01,6808.550649772876,5957.693245296405,66.743772963,9.044656539145263,774.0963425498503,0.9726324244760479,CBSL Official Reserve Assets Historical
2015-08-01,6457.719028229418,5572.66120594564,67.179256102,9.102524183489189,807.7567506599404,1.0192913383469844,CBSL Official Reserve Assets Historical
2015-09-01,6783.679258500682,5907.996188318565,67.17638478459999,9.1045579805808,798.3127981798227,1.089329237114424,CBSL Official Reserve Assets Historical
2015-10-01,6480.684974502037,5587.216574092876,66.84762033917,9.058794162850717,816.5994966098302,0.9624892973093473,CBSL Official Reserve Assets Historical
2015-11-01,7281.211071319568,6451.444499890437,65.66559465147,6.670379080575061,756.4681083997755,0.9624892973093473,CBSL Official Reserve Assets Historical
2015-12-01,7303.637753940239,6469.407966310271,66.31451239743,6.737492701993582,760.2041775298603,0.973605000683732,CBSL Official Reserve Assets Historical
2016-01-01,6294.321468539339,5423.005238521006,66.0642292255,6.713255529744546,797.5720258499118,0.9667194131772473,CBSL Official Reserve Assets Historical
2016-02-01,6573.369087438172,5616.736906599328,66.10299201121,6.824115805846567,881.5525555999861,2.152517421801933,CBSL Official Reserve Assets Historical
2016-03-01,6221.186356293166,5259.558915701182,67.41949106662,6.961235082625935,886.2643025499652,0.982411892772759,CBSL Official Reserve Assets Historical
2016-04-01,6068.525257617199,5079.216924212857,67.82673959303,6.984874374828297,913.5118410599722,0.9848783765114661,CBSL Official Reserve Assets Historical
2016-05-01,5645.141094794298,4705.223632215986,67.13523063808,5.471434500437177,866.3386006198972,0.972196819897084,CBSL Official Reserve Assets Historical
2016-06-01,5292.2699999999995,4277.7,66.94,4.11,942.55,0.97,CBSL Official Reserve Assets Historical
2016-07-01,6489.187703676498,5451.791092031718,66.68060537358001,5.492596671936674,964.2565345400167,0.9668750592466651,CBSL Official Reserve Assets Historical
2016-08-01,6598.941049091874,5586.730425703543,66.7246322413,4.080487312667312,940.4373046600053,0.968199174357918,CBSL Official Reserve Assets Historical
2016-09-01,6455.718499925342,5434.128937663378,66.79689373071,4.086190517461111,949.6951694000049,1.0113086137883043,CBSL Official Reserve Assets Historical
2016-10-01,6053.842609846051,5071.877567724941,65.75,4.023167232248938,911.1964802199118,0.9953946689497096,CBSL Official Reserve Assets Historical
2016-11-01,5644.133101910387,4727.600285827104,64.78457874416,2.039137112153782,848.7282595199055,0.9808407070631971,CBSL Official Reserve Assets Historical
2016-12-01,6019.035611001512,5121.224243693658,64.33330335003001,2.0267083299205875,830.4773471998664,0.9740084280373832,CBSL Official Reserve Assets Historical
2017-01-01,5453.161533649116,4527.544328579585,65.02720506953,2.05,857.56,0.98,CBSL Official Reserve Assets Historical
2017-02-01,5634.658678738561,4673.162795520925,64.79079993199001,0.14830241695289256,895.5758464400001,0.980934428694215,CBSL Official Reserve Assets Historical
2017-03-01,5117.259154753076,4162.082811168235,64.93245159335,0.15509609158856336,889.105719089942,0.9830768099599699,CBSL Official Reserve Assets Historical
2017-04-01,5048.0818935876005,4072.7085090059904,65.61056106682,2.203717299057116,906.565758549967,0.9933476657669519,CBSL Official Reserve Assets Historical
2017-05-01,6759.704093553758,5787.15335852223,66.24703643712,0.20218918109639344,905.09852834,1.0029810733114755,CBSL Official Reserve Assets Historical
2017-06-01,6959.025226455214,6001.131222609536,66.58537334449,0.2643728567345508,890.0361577499838,1.0080998944694157,CBSL Official Reserve Assets Historical
2017-07-01,6710.485696665525,5730.392327950454,67.36828590525,4.677729368738812,907.0273992699432,1.0199541711388571,CBSL Official Reserve Assets Historical
2017-08-01,7693.548007249217,6687.995900647561,67.63818974649,2.3000194383452577,934.5898554999835,1.0240419168384207,CBSL Official Reserve Assets Historical
2017-09-01,7279.835590729757,6286.795877332948,67.6338827703,2.31564104536986,922.0217762600239,1.0684133211146043,CBSL Official Reserve Assets Historical
2017-10-01,7500.7921236637585,6517.448724071269,67.22184871479,2.3172059620372383,912.7424398499776,1.0619050656844866,CBSL Official Reserve Assets Historical
2017-11-01,7335.117235752753,6346.838677211015,67.73533598722,2.404223864175615,917.0689796699123,1.0700190204285496,CBSL Official Reserve Assets Historical
2017-12-01,7958.65303040954,6956.896962901672,68.15215557183,4.461255354629338,928.0660489800778,1.0766076013314596,CBSL Official Reserve Assets Historical
2018-01-01,7669.98,6634.43,69.64,4.57,960.24,1.1000596254622217,CBSL Official Reserve Assets Historical
2018-02-01,7922.3693454901895,6906.460348361344,69.19348670398999,0.5508532030117009,945.0716049400214,1.093052281822772,CBSL Official Reserve Assets Historical
2018-03-01,7319.749709742925,6353.255340874654,69.56580086797,0.5747538186977653,894.923657379987,1.4301568016156696,CBSL Official Reserve Assets Historical
2018-04-01,9935.768813397093,9018.446439443143,68.8063373998,5.324518391101833,841.4911356600456,1.7003825030019808,CBSL Official Reserve Assets Historical
2018-05-01,8808.916585622243,7904.846754078268,67.79444061654122,2.140059083990132,833.3100028800051,0.8253289634385476,CBSL Official Reserve Assets Historical
2018-06-01,9267.017122111823,8392.154119907551,67.31181666187001,6.242433202441807,799.9787523399611,1.33,CBSL Official Reserve Assets Historical
2018-07-01,8429.671933126869,7573.217618767607,67.23046266717,6.25694530508725,781.8059082299837,1.160998157019624,CBSL Official Reserve Assets Historical
2018-08-01,8584.53782202296,7747.180926111737,67.06392625449,0.5033619753235307,768.6943816199613,1.0952260614468052,CBSL Official Reserve Assets Historical
2018-09-01,7164.0793420685,6334.38813801603,66.77009476775001,0.5268343065378865,760.5579544899115,1.8363204882700899,CBSL Official Reserve Assets Historical
2018-10-01,7903.305318148267,7052.688845718352,66.14223334983001,7.457966305531649,775.8089654699437,1.20730730460923,CBSL Official Reserve Assets Historical
2018-11-01,7005.322478512801,6157.338179805389,66.19487416993,1.211076776059197,779.4872843699247,1.0910633914985177,CBSL Official Reserve Assets Historical
2018-12-01,6919.216639148527,6037.501839134236,66.55666016989,1.2440755283051745,819.0616756199594,-5.147611303863915,CBSL Official Reserve Assets Historical
2019-01-01,6152.196208752774,5233.016344041145,67.0309061037,7.162722981816052,843.8158291199625,1.1704065061504174,CBSL Official Reserve Assets Historical
2019-02-01,6035.155009941658,5126.769343705842,66.90073971218,0.36618128928000004,838.7577048799386,2.3610403544172005,CBSL Official Reserve Assets Historical
2019-03-01,7629.241941007436,6735.910333353807,66.43510773075,0.42278229419610514,825.3779444099246,1.0957732187588713,CBSL Official Reserve Assets Historical
2019-04-01,7213.972057497156,6319.458995818522,66.31594805616001,7.371788729091335,819.7322602799442,1.0930646134381226,CBSL Official Reserve Assets Historical
2019-05-01,6722.612629789063,5824.361518627588,65.92640598742001,7.746770106639707,833.8081514799946,-9.230216412580493,CBSL Official Reserve Assets Historical
2019-06-01,8864.984523119312,7890.880177001172,66.52890410111,7.353092312401438,900.2119984800819,0.010351224546805593,CBSL Official Reserve Assets Historical
2019-07-01,8347.063830786541,7356.831309321293,65.82112434722,14.594122174711117,902.9103034000976,6.906971543220569,CBSL Official Reserve Assets Historical
2019-08-01,8523.712277937197,7494.6606011229915,65.48230888693999,7.290010138029388,956.8327472800836,-0.5533894908484698,CBSL Official Reserve Assets Historical
2019-09-01,7635.331963594275,6631.671242422526,65.24159677321,7.29165432272439,926.696902230068,4.430567845746079,CBSL Official Reserve Assets Historical
2019-10-01,7780.0830136039785,6752.639899860887,66.01110985249,7.406435889843259,952.1819402501417,1.8436277506166214,CBSL Official Reserve Assets Historical
2019-11-01,7520.452982431865,6523.900823304263,65.7005290139,7.247737928265381,916.4827482101043,7.12114397533209,CBSL Official Reserve Assets Historical
2019-12-01,7642.393000751939,6616.372127385561,66.17573205353,7.3240043404767325,954.8786531201208,-2.357516147749318,CBSL Official Reserve Assets Historical
2020-01-01,7512.733529432759,6513.971348897472,65.89434294245,7.3168494705418095,935.5511019801118,-10.000113857816022,CBSL Official Reserve Assets Historical
2020-02-01,7941.515070351391,7545.645533609353,65.71871402448001,0.4829395746671904,341.5418752401859,-11.873992097294941,CBSL Official Reserve Assets Historical
2020-03-01,7533.736569408685,7125.383680076962,65.3129011568,0.5003688724843373,339.7089058301294,2.8307134723081946,CBSL Official Reserve Assets Historical
2020-04-01,7209.520101152639,6765.56143985292,65.27126705363001,7.333068418113456,369.05030490017214,2.3040209278035784,CBSL Official Reserve Assets Historical
2020-05-01,6499.857251537734,6057.850264729003,65.65841635782,2.6299482953587225,372.68285724327853,1.0357649122722261,CBSL Official Reserve Assets Historical
2020-06-01,6694.648013475818,6241.060018930219,65.8345238287,2.6457379394990546,383.60205665824697,1.5056761191524206,CBSL Official Reserve Assets Historical
2020-07-01,7095.831822594811,6600.583277571981,67.62287605337,6.40056271903575,425.58277158828054,-4.357665337857123,CBSL Official Reserve Assets Historical
2020-08-01,7430.083006707859,6934.378154304188,67.90235095281,2.6728584792217958,423.8456506982248,1.2839922734149203,CBSL Official Reserve Assets Historical
2020-09-01,6666.320938200717,6188.892442954664,67.35967195287,2.6534402492217675,406.18689604818616,1.2284869957753026,CBSL Official Reserve Assets Historical
2020-10-01,5855.74394110227,5379.255426028151,67.55444298724001,6.333327135508758,402.2603351282228,0.34040982314719326,CBSL Official Reserve Assets Historical
2020-11-01,5555.275602812615,5101.119316154276,68.43737310619001,2.582634335089562,382.73737945816424,0.3988997588949348,CBSL Official Reserve Assets Historical
2020-12-01,5664.265569350756,5185.147154450685,68.92453996857,2.603506028406858,408.8878874695427,-1.2975185664477955,CBSL Official Reserve Assets Historical
2021-01-01,4841.863004371764,4365.344107248174,68.9499032728,6.641043437161345,397.96545719828924,2.9624932153398964,CBSL Official Reserve Assets Historical
2021-02-01,4582.993424023525,4125.455237273178,68.87668467757,2.7683636392693596,381.3599599782282,4.5331784552796,CBSL Official Reserve Assets Historical
2021-03-01,4055.2,3610.6567654184005,67.82099695811,2.7284500040483897,367.82484816836205,6.132616858344318,CBSL Official Reserve Assets Historical
2021-04-01,4470.738472224253,4013.2218831923983,68.71971932309,6.491208970121892,381.05302913827904,1.2526316003637348,CBSL Official Reserve Assets Historical
2021-05-01,4032.8312179100917,3548.5948506768955,69.13510324897,2.9301115227978944,410.72193390837094,1.449218553057644,CBSL Official Reserve Assets Historical
2021-06-01,4060.0459080962846,3599.194420172977,68.26174418822,8.643235091091306,381.2641113983378,2.6823972456584406,CBSL Official Reserve Assets Historical
2021-07-01,2805.884166609781,2334.4217196247946,68.37420412207001,12.231014168869384,390.75742859829916,0.09980009574787396,CBSL Official Reserve Assets Historical
2021-08-01,3543.508985941734,2954.224646512238,68.15837675966,129.3,390.6357332184286,1.155575411047619,CBSL Official Reserve Assets Historical
2021-09-01,2704.1872990039246,2129.1970316576635,67.42188383117,127.9,378.43065506683723,1.1992318227753285,CBSL Official Reserve Assets Historical
2021-10-01,2269.211946488995,1687.732932944309,67.73342177558001,128.5,384.1223375883549,1.0922000747013556,CBSL Official Reserve Assets Historical
2021-11-01,1588.37233054694,1014.6678115731258,67.03569163280001,123.7,382.21398159832785,0.7910796299327879,CBSL Official Reserve Assets Historical
2021-12-01,3139.2264604363068,2771.950604309453,66.97778673069,123.55832378048096,175.37950520835307,1.3602404073303043,CBSL Official Reserve Assets Historical
2022-01-01,2361.645210710561,2079.0822190842528,66.60403690798,122.87020477320131,92.01475891839098,1.0739910267357884,CBSL Official Reserve Assets Historical
2022-02-01,2311.250466948733,2026.2114586890987,66.75143120426,119.54321698144474,97.6679900699851,1.0763700039441533,CBSL Official Reserve Assets Historical
