date,govt_total_usd_m,govt_short_term_usd_m,govt_long_term_usd_m,central_bank_usd_m,other_sectors_usd_m,total_short_term_usd_m
2012-12-31,22123.334586028366,1909.7182467996774,2823.2519404117097,3550.4253671714932,4732.970187211387,1909.7182467996774
2013-03-31,22135.92709165964,1975.7056935825221,3316.21296459168,3081.6875870826993,5291.9186581742015,1975.7056935825221
2013-06-30,22085.522258028956,2227.976998610505,3404.169800904544,3143.5743113477797,5632.146799515049,2227.976998610505
2013-09-30,22186.475421694915,2093.248303638488,3393.3332528596206,2929.1548448255776,5486.5815564981085,2093.248303638488
2013-12-31,22290.101191029695,2088.5196086664705,3712.5682389380245,2955.6425504049625,5801.0878476044945,2088.5196086664705
2014-03-31,24528.486970549206,2200.607708406016,3821.792128741651,2693.2778033604263,6022.399837147667,2200.607708406016
2014-06-30,25463.69900961661,2131.2025561230625,4110.605730315604,2673.077668129253,6241.808286438667,2131.2025561230625
2014-09-30,24734.96192176514,2050.7974038401085,4140.001400509923,2263.8122961810377,6190.798804350032,2050.7974038401085
2014-12-31,24132.06990453862,1674.3922515571544,4167.081216208861,2263.8731713219486,5841.473467766016,1674.3922515571544
2015-03-31,23452.065724978474,1534.0424863644598,4261.428079424632,1864.3957558973286,5795.470565789092,1534.0424863644598
2015-06-30,24337.897982625997,1629.8814557099543,4240.85671296632,2355.8959353296186,5870.738168676274,1629.8814557099543
2015-09-30,23479.992421533145,1480.7204250554482,4224.02698912341,3137.7837319344826,5704.747414178859,1480.7204250554482
2015-12-31,24680.82022843988,1374.559394400943,4192.1380080651315,2822.8856457559755,5566.697402466074,1374.559394400943
2016-03-31,24686.01273386716,1251.9667170556374,4308.827312012403,2469.7888849839755,5560.794029068041,1251.9667170556374
2016-06-30,25210.29757110567,1399.1083874303092,4340.319284413401,2002.7766948857993,5739.42767184371,1399.1083874303092
2016-09-30,28299.952543651794,1411.2500578049812,4279.969855899814,1735.8766589212582,5691.2199137047955,1411.2500578049812
2016-12-31,27197.235497847567,1480.391728179653,4103.68221493111,2021.6969616418135,5584.073943110763,1480.391728179653
2017-03-31,27284.963487833662,1941.89868665837,4063.402282291691,1300.6986514987798,6005.300968950061,1941.89868665837
2017-06-30,29682.064078990716,1885.4227645569863,4331.858179798379,1416.895273398692,6217.280944355365,1885.4227645569863
2017-09-30,30998.28782870661,1581.6135091222686,4371.043055937288,1283.1061733826436,5952.656565059557,1581.6135091222686
2017-12-31,31354.967013258836,1930.1375870208844,4351.6061400825765,1924.4185868398374,6281.743727103461,1930.1375870208844
2018-03-31,31617.658830388642,2043.7727587906727,4453.277822556979,1608.3891251947107,6497.050581347652,2043.7727587906727
2018-06-30,32670.625214927197,2163.647727112237,4336.5803947087015,2077.4018017053286,6500.228121820939,2163.647727112237
2018-09-30,32299.404592857732,2347.522695433802,4353.185154980382,1768.2055183140576,6700.707850414185,2347.522695433802
2018-12-31,32011.391761802064,2184.3976637553665,4472.498236140859,1974.6592728223422,6656.895899896226,2184.3976637553665
2019-03-31,34530.89059436307,2162.545718232638,4451.690042970765,1771.2625998995024,6614.235761203403,2162.545718232638
2019-06-30,35528.92092821444,2267.69377270991,4430.5232933726575,2092.797217930389,6698.217066082567,2267.69377270991
2019-09-30,35112.863858263736,2241.841827187182,4466.168159805913,1890.7874292704878,6708.009986993095,2241.841827187182
2019-12-31,34249.025489601096,2155.9898816644536,4313.123023639821,2318.127865726865,6469.112905304275,2155.9898816644536
2020-03-31,28723.858002352386,2287.7075398044535,4120.3034076249605,2059.0558750962637,6408.010947429414,2287.7075398044535
2020-06-30,29864.699947926878,1908.4251979444534,4100.07840980171,2127.7688285219374,6008.503607746164,1908.4251979444534
2020-09-30,30027.384805232396,2040.1428560844536,4112.63576150375,2456.060886345739,6152.778617588203,2040.1428560844536
2020-12-31,28186.536894388788,2340.8605142244537,4176.451911509785,2690.4201852100114,6517.312425734239,2340.8605142244537
2021-03-31,28616.238909739022,2553.9999999999995,5059.819462843867,2172.774079610817,7613.819462843867,2553.9999999999995
2021-06-30,29781.653708293292,2473.999999999999,5034.240029296347,2341.555365450867,7508.240029296346,2473.999999999999
2021-09-30,28685.57594721568,2660.999999999999,4955.760423822806,3072.636883469867,7616.760423822805,2660.999999999999
2021-12-31,27555.84926358858,1914.7458824274856,4932.110291766238,4892.316642783103,6846.856174193724,1914.7458824274856
2022-03-31,26521.850106271562,1618.1282644331689,4862.805452347953,5922.726653493077,6480.933716781122,1618.1282644331689
2022-06-30,25147.162554086226,1479.3950564331692,4812.775810182533,6363.6166658464,6292.170866615702,1479.3950564331692
2022-09-30,24473.038072962754,1283.4762444331689,4857.8427344516285,6345.370868958713,6141.318978884798,1283.4762444331689
2022-12-31,27518.488540975948,1019.6905629887248,3423.3050930877807,6391.480347943657,4442.995656076506,1019.6905629887248
2023-03-31,29391.42049237632,974.8905629887247,3458.7979501913305,6343.508778837296,4433.688513180055,974.8905629887247
2023-06-30,31078.582108616873,940.2064096553918,3361.8471465448797,6259.77961798713,4302.0535562002715,940.2064096553918
2023-09-30,31304.199095684362,857.2064096553918,3284.3301040984293,6152.256748493011,4141.536513753821,857.2064096553918
2023-12-31,33116.50294124235,759.5747163220578,3203.178280566978,6080.616893390319,3962.752996889036,759.5747163220578
2024-03-31,34614.49580167446,723.3747163220578,2889.4847239305395,5901.277404143003,3612.8594402525973,723.3747163220578
2024-06-30,35342.10511816396,709.574716322058,2797.8400226584754,5546.929390074303,3507.4147389805335,709.574716322058
2024-09-30,36013.421684554414,671.5747163220578,2727.872216572036,5401.5249071027665,3399.446932894094,671.5747163220578
2024-12-31,37599.028319568,589.574716322058,2664.1594654413007,4874.443856990969,3253.7341817633587,589.574716322058
2025-03-31,36501.042102564825,573.3747163220579,2697.592592111301,4646.560301660249,3270.967308433359,573.3747163220579
2025-06-30,36615.38575956085,538.3747163220578,2587.701501631301,4377.7550725092,3126.076217953359,538.3747163220578
2025-09-30,37396.35997014297,509.5747163220578,2437.851969711301,4120.917343312052,2947.4266860333587,509.5747163220578
