date,tourism_earnings_usd_m
2009-01-01,30.024274
2009-02-01,26.6689045
2009-03-01,26.5877325
2009-04-01,20.335147
2009-05-01,19.3087895
2009-06-01,23.597637000000002
2009-07-01,32.9550515
2009-08-01,32.1620635
2009-09-01,29.6457315
2009-10-01,29.3272875
2009-11-01,34.5847355
2009-12-01,44.380790999999995
2010-01-01,44.666160000000005
2010-02-01,50.42400000000001
2010-03-01,46.069759999999995
2010-04-01,33.704
2010-05-01,30.987440000000003
2010-06-01,39.3624
2010-07-01,55.73832
2010-08-01,49.190239999999996
2010-09-01,41.658319999999996
2010-10-01,46.0856
2010-11-01,63.58088
2010-12-01,74.47176
2011-01-01,71.97109
2011-02-01,63.82309
2011-03-01,72.8761
2011-04-01,61.91994999999999
2011-05-01,47.47471
2011-06-01,52.02692
2011-07-01,81.27241999999998
2011-08-01,70.28911
2011-09-01,58.41242999999999
2011-10-01,67.47611
2011-11-01,88.16233
2011-12-01,94.59149
2012-01-01,88.89247110000001
2012-02-01,84.93674888999998
2012-03-01,92.8967094
2012-04-01,73.11230459999999
2012-05-01,57.27655106
2012-06-01,62.766994900000014
2012-07-01,100.4919912
2012-08-01,81.83968
2012-09-01,68.8496702
2012-10-01,79.47875520000001
2012-11-01,114.72762119999999
2012-12-01,133.47473359999998
2013-01-01,148.77982369999998
2013-02-01,153.3895312
2013-03-01,152.3666472
2013-04-01,108.6639283
2013-05-01,100.7244642
2013-06-01,121.50650610000002
2013-07-01,144.0328344
2013-08-01,165.90774710000002
2013-09-01,121.58726010000001
2013-10-01,144.08936219999998
2013-11-01,147.268378
2013-12-01,207.1582362
2014-01-01,233.33567400000004
2014-02-01,225.85842576000002
2014-03-01,211.80177215999998
2014-04-01,179.29954152000005
2014-05-01,143.34602832000002
2014-06-01,164.24634600000002
2014-07-01,213.27111432000004
2014-08-01,223.37662248
2014-09-01,168.00327719999999
2014-10-01,193.53926592000005
2014-11-01,190.59580584000003
2014-12-01,284.43153024
2015-01-01,258.96368285999995
2015-02-01,274.3693088099999
2015-03-01,260.29789790999996
2015-04-01,202.56367797
2015-05-01,188.16409989
2015-06-01,191.37616047
2015-07-01,291.37930764
2015-08-01,276.14108009999995
2015-09-01,237.62950134
2015-10-01,219.2421948
2015-11-01,238.91067926999997
2015-12-01,341.61540474
2016-01-01,333.31453919999996
2016-02-01,339.17688108
2016-03-01,330.84573323999996
2016-04-01,233.95667987999997
2016-05-01,214.53048815999998
2016-06-01,202.51071431999995
2016-07-01,359.17094963999995
2016-08-01,319.60314431999996
2016-09-01,254.77082435999998
2016-10-01,258.0648531599999
2016-11-01,286.88417387999993
2016-12-01,385.66043124
2017-01-01,406.80882335999996
2017-02-01,366.30041194200004
2017-03-01,348.791831976
2017-04-01,297.18593697399996
2017-05-01,226.050028666
2017-06-01,228.75763662600002
2017-07-01,381.071711532
2017-08-01,354.08094012799995
2017-09-01,269.04906850199995
2017-10-01,282.68354365399995
2017-11-01,310.653504786
2017-12-01,453.49836993599996
2018-01-01,448.4699049600001
2018-02-01,442.26441072000006
2018-03-01,438.06734928000003
2018-04-01,338.67245016000004
2018-05-01,243.01286064
2018-06-01,275.6020291200001
2018-07-01,408.87374616000005
2018-08-01,376.0818573600001
2018-09-01,279.84226248000004
2018-10-01,287.41799592
2018-11-01,367.11523728000003
2018-12-01,475.20833976000006
2019-01-01,460.33971328800004
2019-02-01,475.029782136
2019-03-01,460.50745977599996
2019-04-01,314.7131442
2019-05-01,71.248907184
2019-06-01,118.87760102400001
2019-07-01,218.07231919199998
2019-08-01,270.63162890399997
2019-09-01,204.64129139999997
2019-10-01,223.80585645599996
2019-11-01,333.578027328
2019-12-01,455.484489096
2020-01-01,307.03928157
2020-02-01,278.911196235
2020-03-01,95.92877384999998
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,0.0
2020-10-01,0.0
2020-11-01,0.0
2020-12-01,0.5282332650000001
2021-01-01,4.3837293200000005
2021-02-01,8.77267116
2021-03-01,11.939277059999997
2021-04-01,10.862891679999999
2021-05-01,3.90157122
2021-06-01,4.206503639999999
2021-07-01,6.33060554
2021-08-01,13.1355504
2021-09-01,35.307004219999996
2021-10-01,59.34714646
2021-11-01,115.44168044000001
2021-12-01,233.27590755999998
2022-01-01,151.7358399144
2022-02-01,169.40481704100003
2022-03-01,161.2374855
2022-04-01,108.6590791
2022-05-01,43.53804386099999
2022-06-01,45.0127134288
2022-07-01,85.0266091584
2022-08-01,67.94319168
2022-09-01,40.5121295124
2022-10-01,54.898773930000004
2022-11-01,80.98046070660001
2022-12-01,127.35945576900001
2023-01-01,153.50127706134003
2023-02-01,161.61072694880403
2023-03-01,188.83508287218004
2023-04-01,148.21812169452002
2023-05-01,99.98093403999601
2023-06-01,122.85419191679999
2023-07-01,218.982313497636
2023-08-01,210.50913652932
2023-09-01,152.189377517928
2023-10-01,136.696650474108
2023-11-01,205.30989463958403
2023-12-01,269.26826322432004
2024-01-01,341.78878040700005
2024-02-01,345.70285585000005
2024-03-01,338.38572367949996
2024-04-01,225.71594150849995
2024-05-01,153.964862976
2024-06-01,151.079915175
2024-07-01,328.310191475
2024-08-01,282.0869865110001
2024-09-01,180.98790698
2024-10-01,185.63142999700003
2024-11-01,272.886613506
2024-12-01,362.06082403199997
