date,imports_usd_m
2007-01-01,809.4078342645455
2007-02-01,747.4933008651399
2007-03-01,874.3359661525996
2007-04-01,969.4795165992095
2007-05-01,1014.3077728947776
2007-06-01,860.382857133588
2007-07-01,830.4256217891368
2007-08-01,938.1046786205826
2007-09-01,1006.3504001983434
2007-10-01,1075.7674384981094
2007-11-01,1009.2311463627842
2007-12-01,1161.1862621074838
2008-01-01,1176.568587970768
2008-02-01,969.418409750152
2008-03-01,1148.5096303178343
2008-04-01,1300.4832040782987
2008-05-01,1233.450914221645
2008-06-01,1205.204210525531
2008-07-01,1264.0946348933142
2008-08-01,1271.5511102487849
2008-09-01,1238.41716734893
2008-10-01,1239.6003121533588
2008-11-01,989.0434339374216
2008-12-01,1054.8338038771594
2009-01-01,682.61380664753
2009-02-01,606.3115947182515
2009-03-01,1023.5566745806851
2009-04-01,620.6460025503133
2009-05-01,773.3656772212477
2009-06-01,845.0991412943899
2009-07-01,939.2792191444825
2009-08-01,842.0875177400139
2009-09-01,803.6255402274787
2009-10-01,1042.957434922112
2009-11-01,934.7173129335654
2009-12-01,1092.3730818030665
2010-01-01,1237.6522649867331
2010-02-01,973.4400220879818
2010-03-01,976.4628079926937
2010-04-01,1001.9664997435898
2010-05-01,1050.561493653169
2010-06-01,1113.6133375678796
2010-07-01,1123.5445207668051
2010-08-01,1103.5185693013718
2010-09-01,1090.3121786553152
2010-10-01,1238.1561552583523
2010-11-01,1112.990994749606
2010-12-01,1428.7200782807124
2011-01-01,1567.907689902411
2011-02-01,1235.8634703714733
2011-03-01,1634.1256642064143
2011-04-01,1490.3264231450498
2011-05-01,1683.2261787866203
2011-06-01,1668.6477921008616
2011-07-01,1769.8102606359478
2011-08-01,1837.0495435101775
2011-09-01,1762.6380317538221
2011-10-01,1756.9878809580116
2011-11-01,1986.4073019166487
2011-12-01,1875.8120707711691
2012-01-01,1915.0033496667759
2012-02-01,1580.669756343379
2012-03-01,1853.572430961998
2012-04-01,1440.3974471538768
2012-05-01,1575.0258405028171
2012-06-01,1419.0185200287503
2012-07-01,1325.0006983966077
2012-08-01,1750.0125331366398
2012-09-01,1314.42178035095
2012-10-01,1579.12486874701
2012-11-01,1918.1156798011084
2012-12-01,1519.840615281137
2013-01-01,1532.2395828967108
2013-02-01,1433.2484412832089
2013-03-01,1544.819950858953
2013-04-01,1525.5540429605205
2013-05-01,1548.8009254471533
2013-06-01,1509.3940455254678
2013-07-01,1433.0315762055395
2013-08-01,1474.908208041011
2013-09-01,1486.3308700693876
2013-10-01,1393.6547102502932
2013-11-01,1569.6831663124335
2013-12-01,1551.0887289877007
2014-01-01,1655.4543712331217
2014-02-01,1420.4187569877663
2014-03-01,1672.100925295082
2014-04-01,1444.452689961651
2014-05-01,1353.193029538538
2014-06-01,1439.4000128990126
2014-07-01,1845.3214368037534
2014-08-01,1724.5032441152289
2014-09-01,1667.4534675979414
2014-10-01,1750.1833769021541
2014-11-01,1646.8201108412436
2014-12-01,1797.463646193876
2015-01-01,1681.638791031421
2015-02-01,1529.5265400541437
2015-03-01,1580.9272446218558
2015-04-01,1490.4509529838303
2015-05-01,1585.454308617008
2015-06-01,1678.7413939501657
2015-07-01,1533.8807808781642
2015-08-01,1523.3760244315254
2015-09-01,1582.7227992084577
2015-10-01,1638.2704551726467
2015-11-01,1464.8793205654338
2015-12-01,1644.7273874133791
2016-01-01,1589.1274650552757
2016-02-01,1439.3103148514124
