date,imports_usd_m
2024-02-01,1378.4196626938108
2024-03-01,1507.6996834532686
2024-04-01,1435.2460605667366
2024-05-01,1404.5956093616087
2024-06-01,1446.621209252268
2024-07-01,1734.1215798577123
2024-08-01,1654.0274199404437
2024-09-01,1645.7399723713993
2024-10-01,1702.3792187489955
2024-11-01,1496.2999021514247
2024-12-01,1924.476764720677
2025-01-01,1785.5256010888788
2025-02-01,1464.2031508791547
2025-03-01,1637.3068011812159
2025-04-01,1685.8880693505237
2025-05-01,1507.1694013641822
2025-06-01,1682.0924071759928
2025-07-01,1882.2219436931452
2025-08-01,1696.4865898195253
2025-09-01,2048.593970667373
2025-10-01,2156.755854772788
2025-11-01,1778.490946439263
