date,total_debt_lkr_m,domestic_debt_lkr_m,domestic_short_term_lkr_m,domestic_medium_long_lkr_m,foreign_debt_lkr_m,foreign_short_term_lkr_m,source,total_short_term_lkr_m
2015-09-01,8276351.0,5010427.0,1149312.0,3861114.526160937,3265923.9758623503,4181.607284,CBSL Central Government Debt SDDS,1153493.607284
2015-12-01,8599190.1671879,5055159.365727061,913291.4357913414,4141867.92993572,3544030.801460838,5045.303952,CBSL Central Government Debt SDDS,918336.7397433413
2016-03-01,8777399.068297543,5272289.377924544,967532.1516991,4304757.226225444,3505109.6903729998,2295.029142,CBSL Central Government Debt SDDS,969827.1808411
2016-06-01,9061642.167431809,5390570.40338181,1014588.5502823101,4375981.8530995,3671071.76405,5608.076736,CBSL Central Government Debt SDDS,1020196.6270183101
2016-09-01,9401398.526641248,5331706.718455248,980352.35527782,4351354.363177428,4069691.8081859997,13374.260659,CBSL Central Government Debt SDDS,993726.61593682
2016-12-01,9478869.161752153,5433073.244396424,968395.7824441199,4464677.4619523045,4045795.9173557293,12815.628179,CBSL Central Government Debt SDDS,981211.4106231199
2017-03-01,9736192.721704867,5659540.428622867,1095574.72179164,4563965.706831227,4076652.293082,12707.707472,CBSL Central Government Debt SDDS,1108282.42926364
2017-06-01,10163867.626955196,5666487.883460195,1098316.2722274,4568171.611232795,4497379.7434950005,21482.701758,CBSL Central Government Debt SDDS,1119798.9739854
2017-09-01,10269139.819763016,5630869.690686605,1094161.5936191601,4536708.097067445,4638270.129076411,20682.471205,CBSL Central Government Debt SDDS,1114844.0648241602
2017-12-01,10382832.421699088,5664214.883729088,1031181.4208402,4633033.462888888,4718617.53797,27551.818185,CBSL Central Government Debt SDDS,1058733.2390252
2018-03-01,10654098.311809832,5770908.050246833,1131234.2529133002,4639673.797333533,4883190.261562999,27102.72971,CBSL Central Government Debt SDDS,1158336.9826233003
2018-06-01,10994448.361824725,5791845.214480724,1138449.6249850602,4653395.589495664,5202603.147344001,22398.551236000003,CBSL Central Government Debt SDDS,1160848.17622106
2018-09-01,11271388.758533692,5802289.430548692,1091294.164200773,4710995.266347919,5469099.327985,18367.956015999996,CBSL Central Government Debt SDDS,1109662.120216773
2018-12-01,12030547.657650802,6071000.651263801,1134553.20889335,4936447.442370451,5959547.006387001,11909.015133,CBSL Central Government Debt SDDS,1146462.22402635
2019-03-01,12327977.61365756,6297424.850252561,1276008.68870711,5021416.161545451,6030552.763404999,12586.12853,CBSL Central Government Debt SDDS,1288594.81723711
2019-06-01,12656505.02039711,6416950.28722911,1203494.4547156598,5213455.83251345,6239554.733168,12633.621093,CBSL Central Government Debt SDDS,1216128.07580866
2019-09-01,12931448.497188,6585658.280137999,1279452.23941855,5306206.0407194495,6345790.217050001,12132.737126,CBSL Central Government Debt SDDS,1291584.97654455
2019-12-01,13031543.025028039,6830260.49104504,1270373.87100859,5559886.62003645,6201282.533983,23726.652664,CBSL Central Government Debt SDDS,1294100.52367259
2020-03-01,13769421.957013812,7123108.69431481,1480932.9653483601,5642175.72896645,6646313.262699001,10703.83,CBSL Central Government Debt SDDS,1491636.7953483602
2020-06-01,14052219.69943517,7530782.77658617,1773844.6772297202,5756938.09935645,6521436.9228489995,1671.963632,CBSL Central Government Debt SDDS,1775516.64086172
2020-09-01,14469104.21945427,7940278.131525271,1909403.8915468198,6030874.239978451,6528826.087928999,1667.343055,CBSL Central Government Debt SDDS,1911071.23460182
2020-12-01,15117246.97649939,9065067.91757079,2197594.43898494,6867473.47858585,6052179.0589286,670.393101,CBSL Central Government Debt SDDS,2198264.83208594
2021-03-01,16053803.691596862,9636412.032668062,2522530.84495141,7113881.187716651,6417391.658928799,1190.141843,CBSL Central Government Debt SDDS,2523720.98679441
2021-06-01,16564520.439541858,9931739.486868057,2702595.20990536,7229144.276962697,6632780.9526738,547.79128,CBSL Central Government Debt SDDS,2703143.00118536
2021-09-01,17051736.558986902,10598498.918256503,3125582.00745814,7472916.910798362,6453237.6407304,62.168094,CBSL Central Government Debt SDDS,3125644.17555214
2021-12-01,17614181.18249607,11097223.307037473,3139793.6951436205,7957429.611893851,6516957.8754586,203.767684,CBSL Central Government Debt SDDS,3139997.4628276206
2022-03-01,21696643.985769548,12150039.22869955,3229869.25462843,8920169.97407112,9546604.75707,1266.051924,CBSL Central Government Debt SDDS,3231135.30655243
2022-06-01,24264399.393576205,12738541.481800215,3355209.7884594295,9383331.693340786,11525857.911775991,2228.089261,CBSL Central Government Debt SDDS,3357437.8777204296
2022-09-01,24945904.698876716,13345597.045699513,3772122.9770700303,9573474.068629483,11600307.653177202,10747.226507,CBSL Central Government Debt SDDS,3782870.2035770305
2022-12-01,27492030.847725835,15033876.236865476,4267724.402154661,10766151.848233357,12458154.610860359,12476.455024,CBSL Central Government Debt SDDS,4280200.857178661
2023-03-01,27049786.901240114,15616500.833432864,4738826.653273741,10877674.180159124,11433286.06780725,61752.182863,CBSL Central Government Debt SDDS,4800578.836136741
2023-06-01,26916226.533895917,15961411.006449915,5289285.135822721,10672125.870627195,10954815.527446,173801.945888,CBSL Central Government Debt SDDS,5463087.08171072
2023-09-01,28020009.95211216,16617629.16028974,3277000.1836002003,13340628.97668954,11402380.791822419,129256.591803,CBSL Central Government Debt SDDS,3406256.7754032
2023-12-01,28695948.55784005,17051854.26475865,3616227.25416595,13435627.0105927,11644094.2930814,75418.904443,CBSL Central Government Debt SDDS,3691646.15860895
2024-03-01,27901837.448383275,17118776.410158373,3339998.72847791,13778777.681680463,10783061.038224902,32093.352417,CBSL Central Government Debt SDDS,3372092.0808949103
2024-06-01,28344603.35553931,17336369.992183812,3223338.5795930997,14113031.41259071,11008233.363355499,11424.38762,CBSL Central Government Debt SDDS,3234762.9672131
2024-09-01,28574653.18485656,17595054.03779106,3150379.91870508,14444674.119085979,10979599.147065502,2688.318805,CBSL Central Government Debt SDDS,3153068.23751008
2024-12-01,28738703.639842838,18309660.10245358,3220074.632744,15089586.0,10429043.537389258,8860.477556,CBSL Central Government Debt SDDS,3228935.1103
2025-03-01,29253167.053956002,18531579.494829465,2966263.412737,15565316.082092464,10721587.559126537,4516.379263,CBSL Central Government Debt SDDS,2970779.792
2025-06-01,29634780.753629997,18806083.961683918,2801455.219076,16004628.742607921,10828696.79194608,283.600924,CBSL Central Government Debt SDDS,2801738.8200000003
2025-09-01,29675805.728113998,18701460.78959885,2530384.1208030004,16171076.668795848,10974344.938515149,4364.177197,CBSL Central Government Debt SDDS,2534748.2980000004
