date,total_debt_lkr_m,domestic_debt_lkr_m,domestic_short_term_lkr_m,domestic_medium_long_lkr_m,foreign_debt_lkr_m,foreign_short_term_lkr_m,source,total_short_term_lkr_m
2000-12-01,1218700.0,676660.0,208017.0,468643.0,542040.0,,CBSL Central Government Debt SDDS,208017.0
2001-12-01,1452706.0,815965.0,278624.0,537341.0,636741.0,,CBSL Central Government Debt SDDS,278624.0
2002-12-01,1670342.0,948386.0,259205.0,689181.0,721956.0,,CBSL Central Government Debt SDDS,259205.0
2003-12-01,1868247.8,1024366.0,249621.0,774745.0,843881.8,,CBSL Central Government Debt SDDS,249621.0
2004-12-01,2143924.4,1147786.2,269789.0,877997.2,996138.2,,CBSL Central Government Debt SDDS,269789.0
2005-12-01,2226739.35,1270118.85,262153.0,1007965.8500000001,956620.5,,CBSL Central Government Debt SDDS,262153.0
2006-12-01,2587045.2763560005,1483626.831562,313218.0,1170408.831562,1103418.4447940004,,CBSL Central Government Debt SDDS,313218.0
2007-12-01,3046081.805284,1719595.162665,363199.175,1356395.987665,1326486.642619,,CBSL Central Government Debt SDDS,363199.175
2008-12-01,3593358.7341149994,2144624.6208729995,505467.83499999996,1639156.7858729996,1448734.1132419999,6358.34,CBSL Central Government Debt SDDS,511826.175
2009-12-01,4165818.366281415,2405351.502637715,560645.8620000001,1844705.6406377149,1760466.8636436998,40409.6,CBSL Central Government Debt SDDS,601055.462
2010-12-01,4594641.913346041,2570058.890680341,619548.7250000001,1950510.165680341,2024583.0226657,57317.1,CBSL Central Government Debt SDDS,676865.8250000001
2011-12-01,5137761.804621285,2808481.8468727525,698190.0339329999,2110291.812939753,2329279.9577485323,70122.856275,CBSL Central Government Debt SDDS,768312.890208
2012-12-01,6082950.03858294,3315650.7536319396,813272.204289,2502378.5493429396,2767299.284951,80184.245014,CBSL Central Government Debt SDDS,893456.449303
2013-12-01,6889212.119348268,3928788.3207364045,909155.9333951364,3019632.3873412684,2960423.7986118635,73915.594635,CBSL Central Government Debt SDDS,983071.5280301364
2014-03-01,7181557.417809665,4010253.005312335,983387.0821046708,3026865.9232076644,3171304.4124973295,92236.648663,CBSL Central Government Debt SDDS,1075623.7307676708
2014-06-01,7341281.519602109,4068561.6822699085,908598.1200528,3159963.5622171084,3272719.8373322003,83965.01028900001,CBSL Central Government Debt SDDS,992563.1303418
2014-09-01,7368852.17054605,4185952.2068197504,886044.0882997,3299908.1185200503,3182899.9637263,76348.11455500001,CBSL Central Government Debt SDDS,962392.2028546999
2014-12-01,7486861.6693444755,4373745.903081476,941162.329832,3432583.573249476,3113115.7662629997,55500.160572,CBSL Central Government Debt SDDS,996662.4904039999
2015-03-01,7658101.491039193,4588734.963093193,1107163.628587,3481571.334506193,3069366.527946,43614.759024,CBSL Central Government Debt SDDS,1150778.387611
2015-06-01,7937459.13002502,4755708.075708645,1047309.5675956251,3708398.50811302,3181751.0543163745,30404.727391,CBSL Central Government Debt SDDS,1077714.294986625
