date,cse_inflows_usd_m,cse_outflows_usd_m,cse_net_usd_m
2012-01-01,32.88,28.74,4.140000000000004
2012-02-01,53.27,36.98,16.290000000000006
2012-03-01,163.52,19.77,143.75
2012-04-01,19.17,11.87,7.3000000000000025
2012-05-01,24.17,13.79,10.380000000000003
2012-06-01,17.07,12.39,4.68
2012-07-01,29.65,11.09,18.56
2012-08-01,34.14,12.72,21.42
2012-09-01,50.9,27.63,23.27
2012-10-01,46.36,27.71,18.65
2012-11-01,52.91,41.1,11.809999999999995
2012-12-01,49.54,24.62,24.919999999999998
2013-01-01,90.7672280221643,101.2007368132775,-9.941842124446538
2013-02-01,69.8979863891876,61.20143714874023,9.18821590711402
2013-03-01,69.5646738925187,29.14782426263352,40.90851629655184
2013-04-01,57.09,26.36,31.381666666666668
2013-05-01,70.8107297600515,32.184996536153605,39.117399890564556
2013-06-01,63.810554185559,51.70057952055918,12.601641331666478
2013-07-01,30.9,22.29,11.021666666666668
2013-08-01,51.4093135185957,34.4230327770253,17.47794740823707
2013-09-01,40.5274643688323,29.920348118054502,11.108782917444461
2013-10-01,47.2451427269682,23.178954347523856,24.55785504611101
2013-11-01,28.739138521115,32.613286648929574,79.81751853885208
2013-12-01,31.7542797072745,29.557295228349844,2.6886511455913222
2014-01-01,62.31478054115385,54.39964553802351,12.176593416182762
2014-02-01,29.580633040361406,68.41023795151071,-38.75316729820259
2014-03-01,24.77848221081976,46.26096626113432,-21.46694375832549
2014-04-01,59.87178455405185,62.50831573864306,-2.636531184591213
2014-05-01,101.06891424755507,31.156916073539755,69.91199817401531
2014-06-01,59.91566863606498,31.114815401605235,28.800853234459744
2014-07-01,78.99656781562761,42.7241453066895,36.272422508938114
2014-08-01,77.35500431240791,104.9590178908411,-27.604013578433182
2014-09-01,82.72246150366301,92.25457444966372,-9.532112946000709
2014-10-01,111.37419082237264,51.65082465775316,59.72336616461948
2014-11-01,75.76,32.43,43.330000000000005
2014-12-01,46.80962863764876,34.412407456324374,12.397221181324383
2015-01-01,52.6606917617159,51.78274832022014,0.9048715580525766
2015-02-01,67.1571377986513,56.656448640731476,27.157818525356724
2015-03-01,39.957056972197336,29.437599112802303,10.544939926328809
2015-04-01,41.319052158316815,35.05849519917738,6.2756059521261705
2015-05-01,55.70426941317148,50.39916674946819,13.285780092106933
2015-06-01,23.206007440369003,43.036100202864276,-13.343004924055002
2015-07-01,65.3723945480366,71.6116303385458,-4.830728168170282
2015-08-01,50.592739048257656,82.75242709457657,-32.15968804631892
2015-09-01,42.61708959173333,41.28077925488253,1.3363103368508007
2015-10-01,55.653544712580484,59.437511808234454,-1.2728683657532258
2015-11-01,32.74797263150277,33.245725110087676,-0.44287107743562615
2015-12-01,99.69222545302698,104.27341874021812,-3.440817615831932
2016-01-01,27.6817227366833,46.71669564646567,-18.88047478137486
2016-02-01,40.7856420664383,32.00583747890875,8.781888957791374
2016-03-01,49.37576447096399,52.9213939406715,-2.401952734517458
2016-04-01,28.5334726528733,35.54238098273734,-6.992528914842932
2016-05-01,48.249971660199726,66.0248143817569,-17.77449497057571
2016-06-01,24.986560647813036,28.65013071568407,-3.632252005446034
2016-07-01,32.627376338175004,22.55053647235846,10.098365652837074
2016-08-01,53.4869795189516,46.76390355155617,6.72736667415591
2016-09-01,39.2518044586192,34.245196453224146,5.055995843146128
2016-10-01,28.806568920171237,20.54334001795091,8.263228902220327
2016-11-01,21.116143845127816,19.30444177581927,2.041111139064917
2016-12-01,117.99219864856515,102.7344638742055,27.79739731246515
2017-01-01,36.70922078352928,47.73456169857714,-10.988898759939438
2017-02-01,46.701501179920065,32.50926217230901,59.56740481362763
2017-03-01,86.53754447900361,52.55681648094542,36.743060956141385
2017-04-01,124.87811134857391,53.783486627509376,71.09462472106453
2017-05-01,42.241360769195055,22.635626105808957,34.66303835557517
2017-06-01,80.29294977259777,62.24961993162593,38.235334380373345
2017-07-01,53.5602153575074,30.13656023692716,23.430423045610972
2017-08-01,43.353921870875396,31.942787059021793,75.53302821188832
2017-09-01,50.91521422796354,113.06662061663037,-62.151406388666835
2017-10-01,78.80124934151428,65.99885180786634,12.8089110817792
2017-11-01,58.80503433113203,70.25116824874343,-11.446133917611398
2017-12-01,39.359181258823725,37.64823710392025,11.094075232836587
2018-01-01,69.57142090224367,43.307644450648326,36.847114685723426
2018-02-01,56.231388312060474,43.16572047227358,17.62064212157992
2018-03-01,67.37082327644511,123.00629039921057,-35.68808412847284
2018-04-01,39.88748134620844,29.0961390349053,28.440075615858028
2018-05-01,45.43493015880654,48.195960325293754,5.497714498099782
2018-06-01,37.90951653123998,37.57022868642181,0.3440872527689578
2018-07-01,19.156777430562787,26.73571717155306,-2.7141723529615227
2018-08-01,30.251243494733036,40.527176872037685,-6.097873012514846
2018-09-01,23.35690096792213,33.322386088652365,-6.924404831697
2018-10-01,35.91422220579535,76.50769961138968,-36.47408671754303
2018-11-01,26.582967551699912,56.673057426934875,-30.090089875234963
2018-12-01,31.165179252435767,57.316999339339894,-26.151820086904127
2019-01-01,24.97566564347826,39.0491189828855,-14.073453339407244
2019-02-01,30.900171705528066,45.68691009391921,-14.736943459883388
2019-03-01,30.669948696031614,37.09578438350477,-4.9763477037895285
2019-04-01,29.280000724137718,19.315051188495584,10.007029799571693
2019-05-01,10.005042159111483,16.75064200173448,3.7402092397539306
2019-06-01,7.165479127607327,11.617697966322257,9.9162063191689
2019-07-01,74.67314668987713,33.98399930090193,43.8725069556948
2019-08-01,16.240206380447347,28.217078627416992,-11.97406279243592
