date,remittances_usd_m
2009-01-01,258.01721947794175
2009-02-01,241.3434650018653
2009-03-01,281.286631035467
2009-04-01,266.2652379968468
2009-05-01,275.5109741085164
2009-06-01,280.49028152479883
2009-07-01,300.1334402623257
2009-08-01,291.6635832322693
2009-09-01,286.6487221031725
2009-10-01,292.4058094287403
2009-11-01,261.58987821087175
2009-12-01,294.9442841316884
2010-01-01,313.1306230479197
2010-02-01,310.08727815946236
2010-03-01,373.23619352060666
2010-04-01,339.7262518790919
2010-05-01,303.04171743955754
2010-06-01,343.89562167168805
2010-07-01,343.0238810410193
2010-08-01,332.5045531590209
2010-09-01,345.74244236100924
2010-10-01,376.0436001222503
2010-11-01,365.86668196194165
2010-12-01,369.6792113356549
2011-01-01,377.01919667028966
2011-02-01,393.2545824074448
2011-03-01,503.4370141605327
2011-04-01,414.8376121203856
2011-05-01,414.48447238581497
2011-06-01,403.53716320026047
2011-07-01,415.3978648677539
2011-08-01,458.5439144737759
2011-09-01,401.6127409142636
2011-10-01,420.5466910904048
2011-11-01,436.00080638963993
2011-12-01,506.169622762994
2012-01-01,472.7576840578115
2012-02-01,470.3534018449788
2012-03-01,564.663615774557
2012-04-01,475.16126555624385
2012-05-01,507.10567003071355
2012-06-01,452.33050875411266
2012-07-01,475.01051159084767
2012-08-01,490.06391254912114
2012-09-01,511.2188303465269
2012-10-01,522.1089073660701
2012-11-01,491.2921828051703
2012-12-01,553.1958336987818
2013-01-01,502.27029873042835
2013-02-01,469.4230744996838
2013-03-01,511.36526368633236
2013-04-01,515.3293172313753
2013-05-01,512.3554990725178
2013-06-01,528.2331006348323
2013-07-01,526.6277433381692
2013-08-01,540.0171500252005
2013-09-01,557.7681820988254
2013-10-01,572.954526078492
2013-11-01,567.7798934674968
2013-12-01,602.83257708076
2014-01-01,555.4649928517975
2014-02-01,502.0028602715727
2014-03-01,605.8833771114471
2014-04-01,554.0070764109681
2014-05-01,557.4906459045135
2014-06-01,585.1055018097321
2014-07-01,606.6550748186075
2014-08-01,548.0727325527537
2014-09-01,574.9856248534595
2014-10-01,600.0567071720749
2014-11-01,619.2519676205568
2014-12-01,708.8399889603842
2015-01-01,523.519712878593
2015-02-01,511.6433953413521
2015-03-01,644.2602425886938
2015-04-01,585.9398490044716
2015-05-01,537.735348282721
2015-06-01,629.565391314044
2015-07-01,599.2998373972191
2015-08-01,566.0370747735901
2015-09-01,584.176236722284
2015-10-01,605.1425603891124
2015-11-01,574.464192736019
2015-12-01,618.5176333174204
2016-01-01,563.4316940355515
2016-02-01,554.1924570180978
2016-03-01,675.7404718166489
2016-04-01,578.0044486161236
2016-05-01,597.2366386830122
2016-06-01,644.480992933533
2016-07-01,572.7679136535048
2016-08-01,618.2873505229056
2016-09-01,577.8753625923472
2016-10-01,607.532058283979
2016-11-01,567.3784015429475
2016-12-01,684.6037351582894
2017-01-01,670.2874237389387
2017-02-01,598.086845291198
2017-03-01,643.058386094087
2017-04-01,487.94389290657216
2017-05-01,600.7025576092499
2017-06-01,590.8851105181104
2017-07-01,629.2901463776334
2017-08-01,599.8838418158387
2017-09-01,537.7758451288071
2017-10-01,546.2579003477305
2017-11-01,588.3876285496235
2017-12-01,671.3964371688033
2018-01-01,729.3548966460536
2018-02-01,571.5002263413448
2018-03-01,677.6961157626178
2018-04-01,541.1780994671594
2018-05-01,580.4019949922705
2018-06-01,523.6405184273614
2018-07-01,619.2971944301521
2018-08-01,534.1970182243219
2018-09-01,499.5686117071165
2018-10-01,599.092454277415
2018-11-01,555.0423235268939
2018-12-01,584.450098589887
2019-01-01,545.3254992794382
2019-02-01,500.492162671479
2019-03-01,571.431009617002
2019-04-01,553.6920420435212
2019-05-01,562.1201492822893
2019-06-01,536.6275845682627
2019-07-01,625.6805908103535
2019-08-01,518.2479690698589
2019-09-01,516.2660983194008
2019-10-01,607.0442233570847
2019-11-01,515.26123914573
2019-12-01,665.0234761837822
2020-01-01,580.9276408043164
2020-02-01,527.32246625236
2020-03-01,492.0915681614186
2020-04-01,375.0192363972781
2020-05-01,431.75753243500594
2020-06-01,572.4980030213977
2020-07-01,702.08852611799
2020-08-01,664.4567732301396
2020-09-01,702.6503317634936
2020-10-01,630.7136177195367
2020-11-01,611.6708594744056
2020-12-01,812.7378063911985
2021-01-01,675.3390054353866
2021-02-01,579.6821699858931
2021-03-01,612.039426055064
2021-04-01,518.7544137326089
2021-05-01,460.114150675105
2021-06-01,478.4486578808749
2021-07-01,453.2632668392378
2021-08-01,446.6176342664486
2021-09-01,353.22780133179384
2021-10-01,317.38781426512065
2021-11-01,271.43416537213164
2021-12-01,325.155964755842
2022-01-01,259.2224004013944
2022-02-01,204.92486303716285
2022-03-01,318.4002148284584
2022-04-01,248.94295927029472
2022-05-01,304.13890450622404
2022-06-01,274.30161465382605
2022-07-01,279.473219110128
2022-08-01,325.35725286826
2022-09-01,359.3294925274374
2022-10-01,355.3548728418218
2022-11-01,384.40581738667186
2022-12-01,475.61069513836514
2023-01-01,437.48872117666946
2023-02-01,407.4113413923999
2023-03-01,568.3133040502482
2023-04-01,453.9889329798782
2023-05-01,479.7068400575331
2023-06-01,475.70808136957163
2023-07-01,540.9649875806649
2023-08-01,499.1628509746794
2023-09-01,482.3674846714565
2023-10-01,517.3867852823716
2023-11-01,537.3232669836915
2023-12-01,569.7359351360864
2024-01-01,487.56912560776783
2024-02-01,476.15274509709104
2024-03-01,572.3817390557347
2024-04-01,543.8344997214689
2024-05-01,544.4126225033511
2024-06-01,519.6086007985568
2024-07-01,566.8300693319559
2024-08-01,577.4570513490174
2024-09-01,555.5530322870613
2024-10-01,587.6980738774198
2024-11-01,530.0627863192664
2024-12-01,613.823074357784
2025-01-01,573.0150835758235
2025-02-01,548.113782072413
2025-03-01,693.3103082478191
2025-04-01,646.10543865492
