model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates,spec_key,spec_label,family,spec_note,n_model_vars,data_start,data_end
ARIMA,test,1,all,801.3589159418995,1029.8705298519355,17.26132521157889,20.34171722433756,2.6847364493950687,1594.4715471441943,650.5619453876053,-9.44333192529841,0.4444444444444444,0.5277777777777778,36,common_dates,2023-01-01,2025-12-01,36,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01
ARIMA,validation,1,all,1095.875539562171,1378.5732735503293,36.128482012324184,27.287407324522693,3.6714347922427817,1098.1533183056213,884.5247499596305,-11.476897755448686,0.4,0.5428571428571428,35,common_dates,2020-02-01,2022-12-01,35,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01
BVAR,test,1,all,954.8927749137151,1205.1044006954794,21.183246920056725,25.722219019457135,3.1991101453730155,1895.5847390948782,784.2314267568279,-10.204142417889198,0.4166666666666667,0.5277777777777778,36,common_dates,2023-01-01,2025-12-01,36,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01
BVAR,validation,1,all,1133.3700543647658,1414.7131027954422,39.86766866457187,29.578963580316692,3.79705002973545,1144.232637657572,912.3997970361605,-11.380844835798163,0.34285714285714286,0.6285714285714286,35,common_dates,2020-02-01,2022-12-01,35,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01
DMA,test,1,all,288.55445059732693,356.61818065575665,6.512159510784973,6.863689583145897,0.9667236936438846,531.8378393716404,,,,,36,common_dates,2023-01-01,2025-12-01,36,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01
DMA,validation,1,all,688.6883353585079,902.420215007643,20.93777680579233,22.636223457671846,2.3072641227645043,860.2067350316771,,,,,35,common_dates,2020-02-01,2022-12-01,35,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01
DMS,test,1,all,289.1187752346727,358.77314587882375,6.557544327842817,6.923658655520429,0.968614310810592,536.889252726789,,,,,36,common_dates,2023-01-01,2025-12-01,36,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01
DMS,validation,1,all,796.73164758001,1081.0615544416685,22.248284122032192,23.78115432100137,2.669234037448113,993.5668378398329,,,,,35,common_dates,2020-02-01,2022-12-01,35,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01
MS-VAR,test,1,all,278.605196688378,341.75711050611517,6.183233194099468,6.410103025064629,0.9333914075954466,482.6516193942795,201.59517575514806,-7.364361215571561,0.9444444444444444,1.0,36,common_dates,2023-01-01,2025-12-01,36,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01
MS-VAR,validation,1,all,505.92494942280155,704.294452312389,17.463486349367795,20.436170239798315,1.6949647971124968,757.1255735036584,385.8976936546573,-8.115756255631597,0.7142857142857143,0.8571428571428571,35,common_dates,2020-02-01,2022-12-01,35,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01
MS-VECM,test,1,all,289.1187752346727,358.77314587882375,6.557544327842817,6.923658655520429,0.968614310810592,536.889252726789,209.48838700598228,-7.387804271444168,0.9444444444444444,1.0,36,common_dates,2023-01-01,2025-12-01,36,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01
MS-VECM,validation,1,all,519.6659605057414,676.7475948232045,16.791452019771377,15.972329871262767,1.7410003407022867,646.4900140534162,385.39673156055545,-8.059310643643633,0.6285714285714286,0.8571428571428571,35,common_dates,2020-02-01,2022-12-01,35,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01
Naive,test,1,all,935.851255853071,1178.9472483420434,20.469342901823072,24.702506698324086,3.135316682472718,1864.1568114086267,761.484488425461,-9.881838123669574,0.4444444444444444,0.5277777777777778,36,common_dates,2023-01-01,2025-12-01,36,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01
Naive,validation,1,all,1029.3448030071818,1328.0723215695268,35.694347746002094,26.73888522198556,3.4485415419389054,1042.1957910327405,821.9659196694427,-10.690235890502956,0.5142857142857142,0.6571428571428571,35,common_dates,2020-02-01,2022-12-01,35,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01
VECM,test,1,all,931.7905467759496,1174.5312285424247,21.02172574295973,25.479102482406415,3.1217123742746575,1844.5308555061815,762.8804712818192,-10.187920051286405,0.3888888888888889,0.5277777777777778,36,common_dates,2023-01-01,2025-12-01,36,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01
VECM,validation,1,all,1252.4151580959501,1516.4106106545366,44.265739325385375,32.46152825515997,4.19587847320946,1260.7356364294703,1022.3315658834688,-12.452293697487944,0.2,0.5142857142857142,35,common_dates,2020-02-01,2022-12-01,35,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01
XGBoost,test,1,all,448.56434461805554,590.1652841439077,11.09069429219693,12.180442995035747,1.5027935946524336,849.8968505859375,439.2310215953292,-742.5125962141185,0.027777777777777776,0.027777777777777776,36,common_dates,2023-01-01,2025-12-01,36,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01
XGBoost,validation,1,all,994.1450669105506,1133.7467489039068,35.92808793557866,28.184237718494522,3.330614340247217,1035.8140944050056,988.6825739861504,-8995.290648252967,0.0,0.0,35,common_dates,2020-02-01,2022-12-01,35,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01
