date,horizon,ARIMA,BVAR,MS-VAR,MS-VECM,Naive,VECM,XGBoost
2020-02-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-03-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-04-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-05-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-06-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-07-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-08-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-09-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-10-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-11-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-12-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2021-01-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2021-02-01,1,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288
2021-03-01,1,0.13370161157535956,0.15207733962925163,0.19837220192802132,0.15140871536008274,0.171313727260076,0.16716603361569635,0.025960370631512415
2021-04-01,1,0.10180148942408809,0.11196878319274767,0.1517909269969303,0.3018638852741899,0.17293486920142892,0.15716982240594282,0.002470223504672311
2021-05-01,1,0.06987830509256147,0.07933537435012458,0.23237985328241592,0.3519102236866413,0.1419311034276279,0.12433413365093968,0.00023100650968909553
2021-06-01,1,0.029397280653484046,0.0288487494219952,0.3458188378840058,0.46481085416239665,0.07253883506235392,0.05858503069449754,4.1212126688297557e-07
2021-07-01,1,0.012796776298917355,0.01019096772559796,0.326595739680588,0.5874987878086342,0.036092749742261836,0.02682497067592273,8.068078020448775e-09
2021-08-01,1,0.00964960771427384,0.0021105658194828032,0.04975835303150213,0.9034537252110311,0.022013229877738242,0.013014518333246608,1.272529174761437e-11
2021-09-01,1,0.002065551225024856,0.0002450220456258496,0.055533128028114664,0.9358484147839287,0.004156629633805496,0.00215125428218576,1.3147032508016298e-12
2021-10-01,1,5.859876299406004e-05,2.354173657772688e-06,0.035364534129900455,0.9644554793229029,8.43063699941908e-05,3.472723923424704e-05,1.316242667410864e-12
2021-11-01,1,1.7926874081854933e-06,1.503650124967153e-08,0.031689188565554895,0.9683072811450982,1.305674714477891e-06,4.168894065629921e-07,1.316427988996608e-12
2021-12-01,1,4.889887397286604e-09,1.021357658847386e-11,0.007986716635412732,0.992013276512378,1.5719256225392413e-09,3.788650129302527e-10,1.3176555554011836e-12
