model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates,spec_key,spec_label,family,spec_note,n_model_vars,data_start,data_end
ARIMA,test,1,all,1105.2029582356054,1249.8610855014506,25.25612434659103,29.14215583738342,3.2529717170182066,2159.0893438168073,880.1567375521588,-10.248740068514893,0.25925925925925924,0.3333333333333333,27,common_dates,2023-01-01,2025-03-01,27,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01
ARIMA,validation,1,all,1365.527716797707,1549.7345212941673,48.727303861062275,35.98287014989349,4.019192138825641,1369.5304916807956,1101.85615783532,-11.69810859575595,0.17142857142857143,0.34285714285714286,35,common_dates,2020-02-01,2022-12-01,35,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01
BVAR,test,1,all,1195.5965562225601,1363.3286191918105,26.9843038004828,32.7838377374852,3.5190294718042674,2374.259768257709,957.8322316153422,-10.513143363637141,0.2962962962962963,0.37037037037037035,27,common_dates,2023-01-01,2025-03-01,27,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01
BVAR,validation,1,all,1197.5489276073386,1475.0808356471523,42.34715527757563,31.13177836554957,3.5247759356989525,1208.1657954092932,954.3703914848703,-11.119817705461067,0.3142857142857143,0.6,35,common_dates,2020-02-01,2022-12-01,35,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01
DMA,test,1,all,222.50003543669905,321.6910294461983,5.301042463519978,5.642729099198533,0.6548899610860751,420.9773344362797,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01
DMA,validation,1,all,535.8485351011617,735.7889217475348,14.956465815051597,13.824724038831869,1.577176496226972,605.6552441007833,,,,,35,common_dates,2020-02-01,2022-12-01,35,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01
DMS,test,1,all,228.04450298707306,325.960073019016,5.422361083500371,5.7719965434106815,0.6712091321422994,432.2441892489599,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01
DMS,validation,1,all,733.6893102524863,1071.0188310690548,18.385944748528342,16.456775570847665,2.159486235125646,810.043366869058,,,,,35,common_dates,2020-02-01,2022-12-01,35,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01
MS-VAR,test,1,all,218.28169305684952,315.24487674590387,5.15766261271038,5.478484936976179,0.6424740076613246,409.6054073664217,191.16594064929888,-7.374133069624112,0.9259259259259259,1.0,27,common_dates,2023-01-01,2025-03-01,27,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01
MS-VAR,validation,1,all,370.8404648791057,513.725953777221,11.357730970478096,10.861334937463733,1.0915040850989564,473.30802535134455,282.1429534756004,-7.674233139268075,0.8571428571428571,0.9428571428571428,35,common_dates,2020-02-01,2022-12-01,35,bop,BoP baseline,omitted_variable,Baseline balance-of-payments specification.,5,2009-01-01,2025-03-01
