model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates,spec_key,spec_label,family,spec_note,n_model_vars,data_start,data_end
ARIMA,test,1,all,1049.4752489122436,1191.7182895261562,23.847098450147204,26.820274258554328,2.2411866468489894,2038.9630337509316,800.1931486025043,-9.335244944976537,0.25925925925925924,0.4444444444444444,27,common_dates,2023-01-01,2025-03-01,27,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01
ARIMA,validation,1,all,1179.675256493672,1339.1077708264588,44.32737879666216,33.02835425486566,2.519232764385902,1193.6589025824226,897.3915420116438,-9.561152991918922,0.37142857142857144,0.42857142857142855,35,common_dates,2020-02-01,2022-12-01,35,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01
BVAR,test,1,all,1218.1918118995522,1385.7124213232805,27.411656498882635,33.448000615486706,2.6014860521578145,2423.390401386526,952.6725933978034,-9.967343858464236,0.2962962962962963,0.4444444444444444,27,common_dates,2023-01-01,2025-03-01,27,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01
BVAR,validation,1,all,1236.6802177286716,1547.4576313470204,42.64356720313579,30.992218448047495,2.6409686109972865,1245.1327764261657,966.6023955125064,-10.298828365660087,0.5142857142857142,0.6857142857142857,35,common_dates,2020-02-01,2022-12-01,35,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01
DMA,test,1,all,260.02463110991533,340.7145501617282,6.371206862512942,6.730242058541727,0.5552905908923507,467.2843367879547,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01
DMA,validation,1,all,635.3548621240088,831.929440325867,18.923548305334517,19.3097286954841,1.3568198339873176,779.9465835897148,,,,,35,common_dates,2020-02-01,2022-12-01,35,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01
DMS,test,1,all,260.02597527660237,340.7173502087356,6.371260683690533,6.730310222100458,0.5552934614016202,467.28746998216894,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01
DMS,validation,1,all,692.8642533980221,954.8730886926293,19.37972603938209,19.730219979033624,1.4796329064493154,857.6714881167877,,,,,35,common_dates,2020-02-01,2022-12-01,35,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01
MS-VAR,test,1,all,260.02597527660237,340.7173502087356,6.371260683690533,6.730310222100458,0.5552934614016202,467.28746998216894,213.49449924325177,-7.498608081786273,0.9259259259259259,1.0,27,common_dates,2023-01-01,2025-03-01,27,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01
MS-VAR,validation,1,all,532.0305959935417,712.1453407843422,16.4427451268723,17.369462168388186,1.1361676882725047,698.1394417422766,390.4645696118433,-7.993291752640879,0.8285714285714286,0.8571428571428571,35,common_dates,2020-02-01,2022-12-01,35,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01
