model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates,spec_key,spec_label,family,spec_note,n_model_vars,data_start,data_end,rank
MS-VECM,test,1,all,249.2128718703049,330.6378653110402,6.076973631829362,6.4394200927425045,0.7335145256986945,471.18519515973503,198.72231628968672,-7.391012102935552,0.9629629629629629,1.0,27,common_dates,2023-01-01,2025-03-01,27,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01,1
DMA,test,1,all,260.53049772618317,350.8963685217005,6.45146560404643,6.890748787717187,0.7668259790735031,500.5448675369897,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01,2
DMS,test,1,all,272.79802696435405,360.0794186626741,6.726500361500993,7.191618978409457,0.8029333070100582,521.1518598795838,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01,3
MS-VAR,test,1,all,265.0663626246603,360.1744596543897,6.607341687077582,7.079020811156626,0.78017650452859,515.1164946721302,210.9350660549139,-7.426157753946471,0.9629629629629629,1.0,27,common_dates,2023-01-01,2025-03-01,27,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01,4
XGBoost,test,1,all,847.3042353877315,1003.6374859406476,20.62895908692171,24.295371111909404,2.4938919072622077,1663.4027506510417,843.1695272767445,-9837.404249267116,0.0,0.0,27,common_dates,2023-01-01,2025-03-01,27,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01,5
ARIMA,test,1,all,1139.3765115142035,1288.3965832151182,26.059875755400213,29.909314744252388,3.353555597523525,2221.2989959328766,915.0425648159966,-10.453370427757706,0.25925925925925924,0.3333333333333333,27,common_dates,2023-01-01,2025-03-01,27,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01,6
Naive,test,1,all,1180.5794522485394,1350.8071814239772,26.25437736988761,31.865134947187993,3.4748292512610672,2352.246118915206,945.0203125250403,-10.377929218444754,0.2962962962962963,0.37037037037037035,27,common_dates,2023-01-01,2025-03-01,27,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01,7
BVAR,test,1,all,1255.1722092005293,1428.0651307442402,28.349199833096122,35.02684728389464,3.6943799924630367,2501.991164778199,1017.9209649910258,-10.912833647990215,0.2222222222222222,0.3333333333333333,27,common_dates,2023-01-01,2025-03-01,27,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01,8
VECM,test,1,all,1373.2783284270108,1547.605019596961,31.08794821997307,39.29511264412998,4.042004709342072,2746.5566568540216,1164.6402169293096,-13.39638917352007,0.18518518518518517,0.2222222222222222,27,common_dates,2023-01-01,2025-03-01,27,bop_debt,BoP + short-term debt,omitted_variable,Adds short-term debt converted from LKR using the monthly USD/LKR rate.,6,2009-01-01,2025-03-01,9
MS-VECM,test,1,all,253.13223427202828,326.15428327013115,5.921789561424911,6.036305806501023,0.5405716656257784,423.646550472834,208.8821076927475,-7.487496638900475,0.9629629629629629,1.0,27,common_dates,2023-01-01,2025-03-01,27,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01,1
DMA,test,1,all,260.02463110991533,340.7145501617282,6.371206862512942,6.730242058541727,0.5552905908923507,467.2843367879547,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01,2
DMS,test,1,all,260.02597527660237,340.7173502087356,6.371260683690533,6.730310222100458,0.5552934614016202,467.28746998216894,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01,3
MS-VAR,test,1,all,260.02597527660237,340.7173502087356,6.371260683690533,6.730310222100458,0.5552934614016202,467.28746998216894,213.49449924325177,-7.498608081786273,0.9259259259259259,1.0,27,common_dates,2023-01-01,2025-03-01,27,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01,4
XGBoost,test,1,all,839.0926242404514,1012.534847148496,21.06691419883847,24.80976935246741,1.7919080863186967,1644.653980396412,837.3316966387912,-68749.93901187606,0.0,0.0,27,common_dates,2023-01-01,2025-03-01,27,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01,5
ARIMA,test,1,all,1049.4752489122436,1191.7182895261562,23.847098450147204,26.820274258554328,2.2411866468489894,2038.9630337509316,800.1931486025043,-9.335244944976537,0.25925925925925924,0.4444444444444444,27,common_dates,2023-01-01,2025-03-01,27,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01,6
Naive,test,1,all,1180.5794522485394,1350.8071814239772,26.25437736988761,31.865134947187993,2.5211637022084443,2352.246118915206,916.0952708641047,-9.707786859651762,0.2962962962962963,0.4444444444444444,27,common_dates,2023-01-01,2025-03-01,27,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01,7
BVAR,test,1,all,1218.1918118995522,1385.7124213232805,27.411656498882635,33.448000615486706,2.6014860521578145,2423.390401386526,952.6725933978034,-9.967343858464236,0.2962962962962963,0.4444444444444444,27,common_dates,2023-01-01,2025-03-01,27,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01,8
VECM,test,1,all,1290.9263185220814,1442.5642777255318,29.381698954160758,35.45830979693477,2.756812826349506,2541.850250461001,1075.5574580775503,-12.382739819385725,0.14814814814814814,0.25925925925925924,27,common_dates,2023-01-01,2025-03-01,27,bop_debt_portfolio,BoP + debt + portfolio liabilities,omitted_variable,Adds both the converted short-term debt proxy and portfolio liabilities from the IIP.,7,2012-12-01,2025-03-01,9
MS-VAR,test,1,all,230.34319753015643,311.7527123873274,5.198389638189099,5.4176609156162066,0.7717026241014026,408.41478249038164,186.63875348964342,-7.325030399410827,0.9722222222222222,1.0,36,common_dates,2023-01-01,2025-12-01,36,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01,1
DMA,test,1,all,274.0764357672866,357.66050556217425,6.191319360882278,6.548959546022265,0.918219018203411,517.913517481076,,,,,36,common_dates,2023-01-01,2025-12-01,36,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01,2
DMS,test,1,all,274.124785963903,357.68705043470067,6.192081192624011,6.549897418077273,0.9183810024686497,518.1356437958564,,,,,36,common_dates,2023-01-01,2025-12-01,36,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01,3
MS-VECM,test,1,all,274.124785963903,357.68705043470067,6.192081192624011,6.549897418077273,0.9183810024686497,518.1356437958564,206.9340322062015,-7.386259267476662,0.9166666666666666,1.0,36,common_dates,2023-01-01,2025-12-01,36,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01,4
