model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates,spec_key,spec_label,family,spec_note,n_model_vars,data_start,data_end
ARIMA,test,1,all,896.2363082988318,1170.390372884875,21.60856574591753,25.90452789136864,3.0025975081752287,1785.5782432023416,734.1573779598625,-10.123757812328735,0.4166666666666667,0.5,36,common_dates,2023-01-01,2025-12-01,36,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01
ARIMA,validation,1,all,1723.674571215295,1986.2690197211512,70.3572020058127,71.77998636086049,5.774705760648993,2426.5672874655834,1482.7443906137153,-15.949787312898444,0.14285714285714285,0.2857142857142857,35,common_dates,2020-02-01,2022-12-01,35,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01
BVAR,test,1,all,967.3734967757076,1213.7493193246917,21.459967507541332,26.06620160990021,3.2409234305702848,1921.6119243618361,793.1743253051834,-10.195183703643838,0.4166666666666667,0.5,36,common_dates,2023-01-01,2025-12-01,36,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01
BVAR,validation,1,all,1131.2852103878652,1413.9832750728897,39.643350887940606,29.427946242234267,3.7900653235011554,1142.3537704631494,908.4214667096481,-11.32218227560258,0.37142857142857144,0.6285714285714286,35,common_dates,2020-02-01,2022-12-01,35,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01
DMA,test,1,all,274.0764357672866,357.66050556217425,6.191319360882278,6.548959546022265,0.918219018203411,517.913517481076,,,,,36,common_dates,2023-01-01,2025-12-01,36,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01
DMA,validation,1,all,588.0165305430195,776.9803008397993,17.017149559779,16.763850788891123,1.9699904512076716,711.4791265886953,,,,,35,common_dates,2020-02-01,2022-12-01,35,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01
DMS,test,1,all,274.124785963903,357.68705043470067,6.192081192624011,6.549897418077273,0.9183810024686497,518.1356437958564,,,,,36,common_dates,2023-01-01,2025-12-01,36,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01
DMS,validation,1,all,692.1538150097712,978.0167041710545,18.579389692034944,17.90402171373775,2.31887427565517,816.2795558778156,,,,,35,common_dates,2020-02-01,2022-12-01,35,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01
MS-VAR,test,1,all,230.34319753015643,311.7527123873274,5.198389638189099,5.4176609156162066,0.7717026241014026,408.41478249038164,186.63875348964342,-7.325030399410827,0.9722222222222222,1.0,36,common_dates,2023-01-01,2025-12-01,36,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01
MS-VAR,validation,1,all,504.3739025540329,701.3278980085158,17.405839773430618,20.424462598148896,1.689768433809533,753.7395219371721,384.8240959688924,-8.108010071188074,0.7142857142857143,0.8571428571428571,35,common_dates,2020-02-01,2022-12-01,35,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01
MS-VECM,test,1,all,274.124785963903,357.68705043470067,6.192081192624011,6.549897418077273,0.9183810024686497,518.1356437958564,206.9340322062015,-7.386259267476662,0.9166666666666666,1.0,36,common_dates,2023-01-01,2025-12-01,36,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01
MS-VECM,validation,1,all,453.8431029039376,579.4612985656078,14.273769562834579,14.413931491595909,1.5204786474991923,592.121809981401,328.006347556016,-7.813201870417243,0.7142857142857143,0.8857142857142857,35,common_dates,2020-02-01,2022-12-01,35,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01
Naive,test,1,all,935.851255853071,1178.9472483420434,20.469342901823072,24.702506698324086,3.135316682472718,1864.1568114086267,761.484488425461,-9.881838123669574,0.4444444444444444,0.5277777777777778,36,common_dates,2023-01-01,2025-12-01,36,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01
Naive,validation,1,all,1029.3448030071818,1328.0723215695268,35.694347746002094,26.73888522198556,3.4485415419389054,1042.1957910327405,821.9659196694427,-10.690235890502956,0.5142857142857142,0.6571428571428571,35,common_dates,2020-02-01,2022-12-01,35,parsimonious,Parsimonious baseline,transformation,Baseline parsimonious specification.,3,2007-01-01,2025-12-01
