date,gross_reserves_usd_m,PC1,PC2,PC3
2012-01-01,6770.0,-1.6834541230257336,-2.553268214110769,-1.325785456705828
2012-02-01,6800.0,-2.971640151619105,-0.6879699264418557,-0.7006241320270458
2012-03-01,6831.0,-1.9536951350632918,-3.9524622417858257,2.562858446017893
2012-04-01,6862.0,-3.395795953359855,0.0223581957333922,-1.0591830597832834
2012-05-01,6892.0,-2.707634399412348,-0.662246198486373,-0.6930835524811001
2012-06-01,6923.0,-3.536919088720558,0.3588689643125649,-1.2716848172599684
2012-07-01,6953.0,-3.533438996436387,1.1469782983644083,-0.3030694861707816
2012-08-01,6984.0,-2.037932746862039,-1.7870434878415407,-0.914244569119088
2012-09-01,7015.0,-3.4922101231655764,1.1007021781878206,0.19805335669934646
2012-10-01,7045.0,-2.590896801402794,-1.0459519672205604,-0.5851181594018702
2012-11-01,7076.0,-1.272478738258387,-2.8990856137495515,-1.5101904520010072
2012-12-01,7106.0,-2.1415642147060727,0.006355648381480228,0.56706960883722
2013-01-01,7139.0,-2.473199863807009,-0.584204554234815,-1.5186619693952357
2013-02-01,7172.0,-2.863298753605437,0.5164357997137278,-0.7670184806075636
2013-03-01,7205.0,-2.3178470476877666,-0.5047094667923997,0.2637293615650919
2013-04-01,7238.0,-2.791488867532297,-1.2770484126807518,-0.6503315303468127
2013-05-01,7270.0,-2.5604164683985666,-0.8264767340175121,-0.010893753752780002
2013-06-01,7303.0,-2.30933487844947,-0.14500184493351365,-0.3083337098858477
2013-07-01,7336.0,-2.29738426375438,0.860679271225175,0.08967045230479018
2013-08-01,7369.0,-1.8777822176158694,0.9020338542200139,0.5956510206688506
2013-09-01,7402.0,-1.8972057125452564,0.6822020149641428,0.4541225161422022
2013-10-01,7434.0,-1.744936964325121,2.202553824405708,1.9385170413989696
2013-11-01,7005.112547885943,-1.4878068326919671,0.2495291455580517,2.6747417178810697
2013-12-01,7495.272121523254,-0.799215514128525,0.8898592443802039,1.0554431359814742
2014-01-01,8048.583905345139,-0.8390266908628341,-0.4334638047009082,0.11547240341611761
2014-02-01,8259.552166921556,-1.8066152775641549,1.5428484331323506,-1.3327636668775087
2014-03-01,8059.724448730886,0.015234658851213655,0.8806196224390634,0.7079257003473185
2014-04-01,8896.731082422368,-1.9723297595950424,0.23889353350419681,-0.5514299057467147
2014-05-01,8772.663840758212,-2.4897712741619893,0.9122479964045492,2.011029330317016
2014-06-01,9164.004705013178,-1.4959712939216607,1.4276482969028488,1.7120416197129489
2014-07-01,8973.741181262614,0.060574507746328145,-1.8393175693956239,0.9676909513920672
2014-08-01,9185.637359336446,-0.1866067688414969,0.1769544468777796,-0.5321716174515572
2014-09-01,8821.804336421244,-0.7225731229570683,-0.35714071535271247,-0.27176012083311085
2014-10-01,8790.920103836674,-0.5521357985793849,-1.7798800288188745,1.3311008546993572
2014-11-01,8330.88205481358,-0.6417784244793202,-0.7456522863061681,1.4815562890849443
2014-12-01,8208.41,1.1094441978147371,-1.0438592869970653,1.7464842342948483
2015-01-01,7252.429999999999,-0.5176672950790913,-0.21551806042349625,-0.44434290202474097
2015-02-01,7420.4554996301695,-1.1708363928681433,0.5605392260258802,0.31958562953778336
2015-03-01,6819.545505227352,0.17168130881370638,1.1879235972720275,1.9454179422515625
2015-04-01,7454.631473478869,-1.4667838188183537,-0.5184341153058103,-0.49021001267179626
2015-05-01,6845.77,-1.073248479405747,0.0533386348564293,-0.05514135740527883
2015-06-01,7525.485379478358,0.0528891526733309,-0.12460587809563213,0.2980043170995269
2015-07-01,6808.550649772876,-0.2389003372035137,0.9316168480833107,0.5333578086964837
2015-08-01,6457.719028229418,-0.6658983505182487,0.42603117537738483,-1.1470440000750388
2015-09-01,6783.679258500682,-0.504341134740588,-0.02936525089382305,-0.13105104568271617
2015-11-01,7281.211071319568,-0.8806231602376746,0.8129863388255612,-0.10147300926305579
2015-12-01,7303.637753940239,0.3996268757529728,-0.6013776562586443,-0.2825814407453135
2016-01-01,6294.321468539339,0.17361192283282123,0.6821591338130449,-0.5754377368229028
2016-02-01,6573.369087438172,-0.4833085019314465,1.4496357902211818,0.2776503018930352
2016-03-01,6221.186356293166,0.7992863716061099,0.7668190856938977,1.1517303482355985
2016-04-01,6068.525257617199,-0.9886961757978587,0.052887240554754876,-0.9934162154728112
2016-05-01,5645.141094794298,-0.30352564918443936,-0.3208585082219619,-0.9818555677288309
2016-06-01,5292.27,0.43895492392419977,-0.3612763697069728,0.24527905133721006
2016-07-01,6489.187703676498,-0.200931416903297,1.4969782848518596,0.4618597856863286
2016-08-01,6598.941049091874,0.5849941456911484,-0.3657059254506012,0.1359140302627481
2016-09-01,6455.718499925342,-0.21330820774713766,0.9795233329415189,0.20452171137201774
2016-10-01,6053.842609846051,0.5989325031547176,-0.9853359073587646,-0.21804434899472758
2016-11-01,5644.133101910387,0.4862178675352104,-1.1609742914546175,-1.0144040199653155
2016-12-01,6019.035611001512,1.8494310638924139,-1.907557442190829,0.7414443970537411
2017-01-01,5453.161533649116,2.040916555994688,-1.239670059859221,-0.20422826039339764
2017-02-01,5634.658678738561,0.5550708259980822,-0.46260416545838134,1.163930510316155
2017-03-01,5117.259154753076,2.194654965011044,-0.9406441680377003,1.413261922214504
2017-04-01,5048.0818935876005,-0.4749566053854336,-0.7984598288298234,-0.03658211077411434
2017-05-01,6759.704093553758,0.5977816080272496,-1.265751204651185,0.1236682906761978
2017-06-01,6959.025226455214,0.3088832645569315,1.1233907114702968,1.3696675733992987
