date,signed_net_flow,gross_abs_flow,cancellation_index,info_loss_potential
2009-01-01,96.55019211366755,1461.7778054087278,0.0660498413345872,0.9339501586654128
2009-02-01,185.94925506176816,1398.5724444982714,0.13295646985843212,0.8670435301415679
2009-03-01,-83.68072234959648,1963.432626811774,0.042619604669337396,0.9573803953306625
2009-04-01,103.57695436875565,1344.8689594693822,0.07701639155209733,0.9229836084479026
2009-05-01,59.90722249330351,1606.638576935799,0.03728730490684427,0.9627126950931557
2009-06-01,24.199557997899866,1714.3978405866799,0.014115485580417317,0.9858845144195827
2009-07-01,46.04659898206078,1924.6050372710256,0.023925220027144943,0.9760747799728551
2009-08-01,192.10106656131057,1876.2761020413384,0.10238422071906673,0.8976157792809333
2009-09-01,80.9018639218164,1688.1529443767738,0.04792330232358387,0.9520766976764161
2009-10-01,-92.56335868527766,1993.3515111589466,0.046436044103160094,0.95356395589684
2009-11-01,-25.552641156167645,1843.8819847109633,0.01385806758135507,0.9861419324186449
2009-12-01,-29.669657186115998,2155.0765064200173,0.01376733359476078,0.9862326664052392
2010-01-01,-223.3783343736261,2251.9261955998404,0.09919434074264824,0.9008056592573518
2010-02-01,70.104832739648,2016.9848769156115,0.03475724262586086,0.9652427573741391
2010-03-01,198.7840686911683,2151.7096846765553,0.09238424221762495,0.907615757782375
2010-04-01,-133.0258522289315,1870.9071472582482,0.0711023272447681,0.9288976727552319
2010-05-01,-157.87750005952665,1943.2454872468113,0.08124423861815183,0.9187557613818482
2010-06-01,-105.85734967348574,2121.3693254622735,0.04990048097844446,0.9500995190215555
2010-07-01,154.50073705670837,2401.5897785903185,0.06433269263304284,0.9356673073669571
2010-08-01,81.27485951683916,2288.3119981195828,0.03551738555914869,0.9644826144408513
2010-09-01,10.679478904380062,2191.3038362150105,0.004873572860086114,0.9951264271399138
2010-10-01,116.42643669884643,2592.7387472155506,0.04490480840920883,0.9550951915907911
2010-11-01,108.88801651848442,2334.870006017696,0.046635579812942765,0.9533644201870572
2010-12-01,-253.7135444613303,2603.7266121000944,0.09744246699414111,0.9025575330058588
2011-01-01,-195.92814114807135,2939.8872386567505,0.06664478098744764,0.9333552190125524
2011-02-01,38.16948281020088,2509.8964235531466,0.015207592812203014,0.984792407187797
2011-03-01,-127.0375304064698,3141.213798006359,0.040442178907751196,0.9595578210922489
2011-04-01,-264.9331789554157,2715.719667334684,0.09755542228533173,0.9024445777146682
2011-05-01,-385.13962698218495,2981.312730591056,0.1291845779982396,0.8708154220017604
2011-06-01,-392.67292231150816,2944.622661890215,0.1333525437379617,0.8666474562620383
2011-07-01,-311.0177909785566,3228.6027302933385,0.09633201014802423,0.9036679898519757
2011-08-01,-354.0637712428358,3320.0353157775185,0.10664457982125942,0.8933554201787406
2011-09-01,-444.2382912944177,3081.037772213226,0.1441846300298047,0.8558153699701954
2011-10-01,-379.8302035858407,3134.145558330182,0.12119099018113491,0.8788090098188651
2011-11-01,-576.4837312594525,3396.3308725738448,0.16973721138735087,0.8302627886126491
2011-12-01,-341.6689251920491,3409.955216350288,0.1001974816425129,0.8998025183574871
2012-01-01,-465.1763600896283,3364.830339243924,0.13824660181652823,0.8617533981834717
2012-02-01,-204.37123153774763,2956.96828114901,0.06911512471764954,0.9308848752823504
2012-03-01,-335.05869874056276,3372.086163183433,0.09936243693851793,0.900637563061482
2012-04-01,-144.31615705639862,2736.4787372513547,0.052737905503097905,0.9472620944969021
2012-05-01,-204.6848273460835,2945.366853659551,0.06949383133437767,0.9305061686656223
2012-06-01,-148.11127246851848,2689.925767588982,0.055061472049941614,0.9449385279500584
2012-07-01,44.95038825498207,2694.951785048197,0.016679477719924465,0.9833205222800755
2012-08-01,-349.19946538856476,3150.825600884715,0.11082792563654224,0.8891720743634578
2012-09-01,67.16303613976227,2696.0065968416625,0.02491204443581218,0.9750879555641878
2012-10-01,-207.1691895065486,2951.080547987471,0.07020113010735353,0.9297988698926465
2012-11-01,-484.49593255284816,3351.735427049369,0.1445507687279972,0.8554492312720028
2012-12-01,37.80234296675377,3077.4835735290276,0.012283523880325664,0.9877164761196744
2013-01-01,-152.5189731361297,2911.960192657292,0.05237673698998935,0.9476232630100107
2013-02-01,-12.728992741371343,2853.7678898250465,0.004460416275183371,0.9955395837248167
2013-03-01,-49.06219914591014,3040.577702571996,0.016135814948721388,0.9838641850512786
2013-04-01,-205.02097311177369,2846.0871128092667,0.07203608497752731,0.9279639150224727
2013-05-01,-141.8534063845711,2955.7484445097357,0.047992381302969796,0.9520076186970302
2013-06-01,-52.04176364904811,2966.7463274018874,0.017541696493688225,0.9824583035063118
2013-07-01,96.92923017337358,2962.9923825844526,0.032713290369254217,0.9672867096307458
2013-08-01,149.65406805171037,3099.470484133732,0.04828375324681856,0.9517162467531814
2013-09-01,92.0594649966538,3064.721205135429,0.03003844683894688,0.9699615531610531
2013-10-01,364.7211078843866,3152.030528384973,0.11570989068791196,0.8842901093120881
2013-11-01,177.2077322984624,3316.57406492333,0.05343095882363747,0.9465690411763625
2013-12-01,246.58252579579786,3348.759983771199,0.0736339800376226,0.9263660199623774
2014-01-01,37.260262298450925,3348.1690047646935,0.011128548841300066,0.9888714511586999
2014-02-01,149.7938070631405,2990.631321038673,0.05008768750910954,0.9499123124908905
2014-03-01,215.6886808083867,3559.8905313985506,0.06058857116700454,0.9394114288329954
2014-04-01,53.111698169959254,2942.0170780932613,0.018052817764192333,0.9819471822358077
2014-05-01,231.17345405396446,2937.55951313104,0.07869575170157656,0.9213042482984235
