segment,n_models,mean_rmse_improvement_pct_disagg_vs_agg,share_models_disagg_better_rmse,share_models_significant_info_loss_10pct,mean_loss_diff_agg_minus_disagg,mean_cancellation_index,mean_info_loss_potential,n_dates_cancellation
all,7,-1.6806389223512601,0.5714285714285714,0.2857142857142857,-63907.06759969133,0.06245615563403815,0.9375438443659618,195
crisis,7,-1.6765096436867906,0.42857142857142855,0.14285714285714285,-24437.288317978357,0.07373445851432421,0.9262655414856759,46
tranquil,7,-2.92294938759802,0.42857142857142855,0.2857142857142857,-93509.40206097606,0.058974263469654536,0.9410257365303456,149
