regime,horizon,response_variable,shock_variable,response,response_type
0,3,gross_reserves_usd_m,imports_usd_m,14.33233034848724,cumulative
0,3,gross_reserves_usd_m,remittances_usd_m,84.28227622911751,cumulative
0,3,gross_reserves_usd_m,tourism_usd_m,51.6854103654512,cumulative
0,3,exports_usd_m,gross_reserves_usd_m,26.295413865268184,cumulative
0,3,exports_usd_m,exports_usd_m,81.33884349181784,cumulative
0,3,exports_usd_m,imports_usd_m,26.13291098872257,cumulative
0,3,exports_usd_m,remittances_usd_m,34.24231428709769,cumulative
0,3,exports_usd_m,tourism_usd_m,63.31898222240766,cumulative
0,3,imports_usd_m,gross_reserves_usd_m,24.57563942516559,cumulative
0,3,imports_usd_m,exports_usd_m,49.36632428430401,cumulative
0,3,imports_usd_m,imports_usd_m,91.77417697320354,cumulative
0,3,imports_usd_m,remittances_usd_m,43.25473921871132,cumulative
0,3,imports_usd_m,tourism_usd_m,35.01776161440429,cumulative
0,3,remittances_usd_m,gross_reserves_usd_m,8.318453750078316,cumulative
0,3,remittances_usd_m,exports_usd_m,22.48865525864582,cumulative
0,3,remittances_usd_m,imports_usd_m,5.251940239567529,cumulative
0,3,remittances_usd_m,remittances_usd_m,27.78303996901562,cumulative
0,3,remittances_usd_m,tourism_usd_m,17.050663431301324,cumulative
0,3,tourism_usd_m,gross_reserves_usd_m,2.3838224470504397,cumulative
0,3,tourism_usd_m,exports_usd_m,6.40401320678655,cumulative
0,3,tourism_usd_m,imports_usd_m,0.31423649577802665,cumulative
0,3,tourism_usd_m,remittances_usd_m,0.005161782220479,cumulative
0,3,tourism_usd_m,tourism_usd_m,23.026383854995288,cumulative
0,4,gross_reserves_usd_m,gross_reserves_usd_m,169.24196676497976,cumulative
0,4,gross_reserves_usd_m,exports_usd_m,129.68149830919208,cumulative
0,4,gross_reserves_usd_m,imports_usd_m,14.478373629577813,cumulative
0,4,gross_reserves_usd_m,remittances_usd_m,85.8620596214548,cumulative
0,4,gross_reserves_usd_m,tourism_usd_m,56.76944645424281,cumulative
0,4,exports_usd_m,gross_reserves_usd_m,27.62364187481011,cumulative
0,4,exports_usd_m,exports_usd_m,84.65786603544565,cumulative
0,4,exports_usd_m,imports_usd_m,29.724901845088183,cumulative
0,4,exports_usd_m,remittances_usd_m,35.48404993248562,cumulative
0,4,exports_usd_m,tourism_usd_m,64.16929704636476,cumulative
0,4,imports_usd_m,gross_reserves_usd_m,29.02747665376947,cumulative
0,4,imports_usd_m,exports_usd_m,60.76709973880924,cumulative
0,4,imports_usd_m,imports_usd_m,106.32912859549299,cumulative
0,4,imports_usd_m,remittances_usd_m,48.58939962233238,cumulative
0,4,imports_usd_m,tourism_usd_m,36.36799008032374,cumulative
0,4,remittances_usd_m,gross_reserves_usd_m,9.142546437873872,cumulative
0,4,remittances_usd_m,exports_usd_m,24.50243582766666,cumulative
0,4,remittances_usd_m,imports_usd_m,7.315510418081793,cumulative
0,4,remittances_usd_m,remittances_usd_m,28.69769160552594,cumulative
0,4,remittances_usd_m,tourism_usd_m,17.177797591961934,cumulative
0,4,tourism_usd_m,gross_reserves_usd_m,2.8053094848444577,cumulative
0,4,tourism_usd_m,exports_usd_m,6.981769959535596,cumulative
0,4,tourism_usd_m,imports_usd_m,0.5728145780913256,cumulative
0,4,tourism_usd_m,remittances_usd_m,0.2150964274189909,cumulative
0,4,tourism_usd_m,tourism_usd_m,23.56541500248719,cumulative
0,5,gross_reserves_usd_m,gross_reserves_usd_m,171.28869818920575,cumulative
0,5,gross_reserves_usd_m,exports_usd_m,131.91424379938584,cumulative
0,5,gross_reserves_usd_m,imports_usd_m,14.656632058871233,cumulative
0,5,gross_reserves_usd_m,remittances_usd_m,86.69784401879897,cumulative
0,5,gross_reserves_usd_m,tourism_usd_m,59.49976607971114,cumulative
0,5,exports_usd_m,gross_reserves_usd_m,27.26169661096699,cumulative
0,5,exports_usd_m,exports_usd_m,83.38806650784815,cumulative
0,5,exports_usd_m,imports_usd_m,27.90556854866329,cumulative
0,5,exports_usd_m,remittances_usd_m,34.81244940584714,cumulative
0,5,exports_usd_m,tourism_usd_m,64.52722628362328,cumulative
0,5,imports_usd_m,gross_reserves_usd_m,27.893245225601287,cumulative
0,5,imports_usd_m,exports_usd_m,56.10940165829683,cumulative
0,5,imports_usd_m,imports_usd_m,98.7121087696764,cumulative
0,5,imports_usd_m,remittances_usd_m,46.33402956218331,cumulative
0,5,imports_usd_m,tourism_usd_m,37.11156005645794,cumulative
0,5,remittances_usd_m,gross_reserves_usd_m,8.839799215665026,cumulative
0,5,remittances_usd_m,exports_usd_m,23.709433401005835,cumulative
0,5,remittances_usd_m,imports_usd_m,6.281040106864175,cumulative
0,5,remittances_usd_m,remittances_usd_m,28.25886114278915,cumulative
0,5,remittances_usd_m,tourism_usd_m,17.26043305177043,cumulative
0,5,tourism_usd_m,gross_reserves_usd_m,2.9461815401647815,cumulative
0,5,tourism_usd_m,exports_usd_m,7.07369270075905,cumulative
0,5,tourism_usd_m,imports_usd_m,0.4665622867806557,cumulative
0,5,tourism_usd_m,remittances_usd_m,0.22899900140919485,cumulative
0,5,tourism_usd_m,tourism_usd_m,23.838284132314538,cumulative
0,6,gross_reserves_usd_m,gross_reserves_usd_m,172.23542584761185,cumulative
0,6,gross_reserves_usd_m,exports_usd_m,132.91571424237628,cumulative
0,6,gross_reserves_usd_m,imports_usd_m,14.724622637285428,cumulative
0,6,gross_reserves_usd_m,remittances_usd_m,87.02518693673373,cumulative
0,6,gross_reserves_usd_m,tourism_usd_m,60.92905552005322,cumulative
0,6,exports_usd_m,gross_reserves_usd_m,27.591569788606357,cumulative
0,6,exports_usd_m,exports_usd_m,84.1599077270919,cumulative
0,6,exports_usd_m,imports_usd_m,28.86366632289694,cumulative
0,6,exports_usd_m,remittances_usd_m,35.18027249627383,cumulative
0,6,exports_usd_m,tourism_usd_m,64.6810135919404,cumulative
0,6,imports_usd_m,gross_reserves_usd_m,28.98246607911183,cumulative
0,6,imports_usd_m,exports_usd_m,59.11217708795128,cumulative
0,6,imports_usd_m,imports_usd_m,102.80104878002636,cumulative
0,6,imports_usd_m,remittances_usd_m,47.677254776930994,cumulative
0,6,imports_usd_m,tourism_usd_m,37.502974766588494,cumulative
0,6,remittances_usd_m,gross_reserves_usd_m,8.955588304887248,cumulative
0,6,remittances_usd_m,exports_usd_m,24.06511497603248,cumulative
0,6,remittances_usd_m,imports_usd_m,6.823682029831524,cumulative
0,6,remittances_usd_m,remittances_usd_m,28.432127109248025,cumulative
0,6,remittances_usd_m,tourism_usd_m,17.274084727403057,cumulative
0,6,tourism_usd_m,gross_reserves_usd_m,3.0533148561292602,cumulative
0,6,tourism_usd_m,exports_usd_m,7.213584901168517,cumulative
0,6,tourism_usd_m,imports_usd_m,0.5346596355867878,cumulative
0,6,tourism_usd_m,remittances_usd_m,0.2842826736582758,cumulative
0,6,tourism_usd_m,tourism_usd_m,23.97540413978384,cumulative
0,7,gross_reserves_usd_m,gross_reserves_usd_m,172.72978079099758,cumulative
0,7,gross_reserves_usd_m,exports_usd_m,133.4319783149622,cumulative
0,7,gross_reserves_usd_m,imports_usd_m,14.759544795488038,cumulative
0,7,gross_reserves_usd_m,remittances_usd_m,87.20805568671292,cumulative
0,7,gross_reserves_usd_m,tourism_usd_m,61.65686174272092,cumulative
0,7,exports_usd_m,gross_reserves_usd_m,27.552806351945154,cumulative
0,7,exports_usd_m,exports_usd_m,83.89329916541654,cumulative
0,7,exports_usd_m,imports_usd_m,28.362012960028892,cumulative
0,7,exports_usd_m,remittances_usd_m,35.05045745026429,cumulative
0,7,exports_usd_m,tourism_usd_m,64.7663637084142,cumulative
0,7,imports_usd_m,gross_reserves_usd_m,28.657887237969508,cumulative
0,7,imports_usd_m,exports_usd_m,57.77526233752044,cumulative
