date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,remittances_usd_m,usd_lkr,m2_usd_m
2012-01-01,6770.0,888.1768344193363,1915.003349666776,472.7576840578115,113.8195,19478.083993528086
2012-02-01,6800.0,821.0083740706526,1580.669756343379,470.3534018449788,117.281,19361.362266778506
2012-03-01,6831.0,860.9534070468782,1853.572430961998,564.663615774557,125.6605,18471.767113898164
2012-04-01,6862.0,747.8077199412343,1440.3974471538768,475.1612655562439,128.4248,18325.78454109938
2012-05-01,6892.0,805.9587920660201,1575.0258405028171,507.1056700307135,129.0045,18227.037639482885
2012-06-01,6923.0,755.8097439061191,1419.0185200287503,452.3305087541127,131.8519,18060.739994079646
2012-07-01,6953.0,794.4485838607419,1325.0006983966075,475.01051159084767,132.4848,18192.52591579955
2012-08-01,6984.0,828.9094751989539,1750.0125331366398,490.06391254912114,131.9896,18481.58371726371
2012-09-01,7015.0,801.5163159441854,1314.42178035095,511.2188303465269,131.5105,18667.78346054908
2012-10-01,7045.0,770.3680166743912,1579.12486874701,522.1089073660701,129.0859,19082.762512370446
2012-11-01,7076.0,827.5999432430898,1918.1156798011084,491.2921828051703,130.234,19425.354064219173
2012-12-01,7106.0,870.9723909491089,1519.840615281137,553.1958336987818,128.036,20253.560385226734
2013-01-01,7139.0,728.6704873301528,1532.2395828967108,502.2702987304283,126.72,20733.85357204861
2013-02-01,7172.0,797.7068428421537,1433.2484412832089,469.4230744996838,126.7342,21211.554534758576
2013-03-01,7205.0,832.0258408267106,1544.819950858953,511.3652636863323,126.7005,21700.32512314474
2013-04-01,7238.0,696.5398243173713,1525.5540429605203,515.3293172313753,125.9673,22135.407103264104
2013-05-01,7270.0,793.8675557900644,1548.8009254471533,512.3554990725178,126.2432,22174.796196951593
2013-06-01,7303.0,807.6126751415874,1509.3940455254678,528.2331006348323,127.9125,22232.66116467898
2013-07-01,7336.0,859.3002286407439,1433.0315762055395,526.6277433381692,131.1345,21928.70719307276
2013-08-01,7369.0,918.6373789675208,1474.908208041011,540.0171500252005,131.9682,21849.883203286852
2013-09-01,7402.0,899.0348928672161,1486.3308700693876,557.7681820988254,132.3465,22193.320968775148
2013-10-01,7434.0,1041.3319298561878,1393.6547102502932,572.954526078492,130.9955,22920.08054978988
2013-11-01,7005.112547885943,1031.842627143399,1569.6831663124335,567.7798934674968,131.0895,22867.89656257748
2013-12-01,7495.272121523254,987.6804415027386,1551.0887289877007,602.83257708076,130.7643,23391.650736424242
2014-01-01,8048.583905345139,903.9139666797748,1655.4543712331215,555.4649928517975,130.6857,23679.483143817575
2014-02-01,8259.552166921556,842.3512780193341,1420.4187569877663,502.0028602715727,130.7968,23855.634380068932
2014-03-01,8059.724448730886,1070.1044568320217,1672.100925295082,605.8833771114471,130.5857,24243.161839573553
2014-04-01,8896.731082422368,764.2577702006421,1444.452689961651,554.0070764109681,130.5936,24312.971778609364
2014-05-01,8772.663840758212,883.529809367989,1353.193029538538,557.4906459045135,130.3833,24380.216159807278
2014-06-01,9164.004705013178,985.6929784578036,1439.4000128990126,585.1055018097321,130.2714,24673.99922261525
2014-07-01,8973.741181262614,956.6346767350084,1845.3214368037536,606.6550748186075,130.2123,24810.281695715385
2014-08-01,9185.637359336446,992.63269049287,1724.5032441152289,548.0727325527537,130.1748,25042.053096928128
2014-09-01,8821.804336421244,902.8373773847655,1667.4534675979414,574.9856248534595,130.2562,25463.355468185007
2014-10-01,8790.920103836674,901.8375575516689,1750.183376902154,600.0567071720749,130.5618,25668.060464102058
2014-11-01,8330.88205481358,921.1614324694976,1646.8201108412436,619.2519676205568,130.9278,25957.428796466455
2014-12-01,8208.41,1005.11543783744,1797.463646193876,708.8399889603842,131.0786,26400.631408406865
2015-01-01,7252.429999999999,920.4476963793944,1681.638791031421,523.519712878593,131.6075,26347.70569299622
2015-02-01,7420.4554996301695,907.2515049439392,1529.5265400541437,511.6433953413521,132.7221,26314.824361112427
2015-03-01,6819.545505227352,1068.1060192583625,1580.9272446218558,644.2602425886938,132.95,26729.06404865739
2015-04-01,7454.631473478869,716.9613847423697,1490.4509529838303,585.9398490044716,132.9227,27033.79829454262
2015-05-01,6845.77,886.0799616559248,1585.454308617008,537.735348282721,133.46,27283.613290753783
2015-06-01,7525.485379478358,945.5608430207932,1678.7413939501655,629.565391314044,133.9382,27456.52663729989
2015-07-01,6808.550649772876,937.1303438840304,1533.8807808781642,599.2998373972191,133.6818,27918.816620646936
2015-08-01,6457.719028229418,802.1047080460835,1523.3760244315254,566.0370747735901,133.8519,28269.08093725976
2015-09-01,6783.679258500682,853.1930077327272,1582.7227992084577,584.176236722284,139.2329,27448.99671744968
2015-10-01,6480.684974502037,850.7400210189741,1638.2704551726467,605.1425603891124,140.851,27448.99671744968
2015-11-01,7281.211071319568,838.4221305919958,1464.8793205654338,574.464192736019,141.9637,27793.906925911346
2015-12-01,7303.637753940239,820.500899422696,1644.7273874133791,618.5176333174204,143.335,28305.801965549235
2016-01-01,6294.321468539339,898.5946185751349,1589.1274650552757,563.4316940355515,143.5505,28581.9389870812
2016-02-01,6573.369087438172,891.5970221812355,1439.3103148514124,554.1924570180978,143.639,28950.4209315548
2016-03-01,6221.186356293166,949.011635083698,1566.028121829301,675.7404718166489,145.1335,28982.963368333298
2016-04-01,6068.525257617199,710.3897803653814,1460.8906891889208,578.0044486161236,145.2019,29214.915226336092
2016-05-01,5645.141094794298,780.1272098015405,1589.8369421072923,597.2366386830122,145.9081,29066.809874420953
