date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,remittances_usd_m,tourism_usd_m,usd_lkr,m2_usd_m,cse_net_usd_m,trade_balance_usd_m
2012-01-01,6770.0,888.1768344193363,1915.003349666776,472.7576840578115,88.89247110000001,113.8195,19478.083993528086,4.140000000000004,-1026.8265152474398
2012-02-01,6800.0,821.0083740706526,1580.669756343379,470.3534018449788,84.93674888999998,117.281,19361.362266778506,16.290000000000006,-759.6613822727264
2012-03-01,6831.0,860.9534070468782,1853.572430961998,564.663615774557,92.8967094,125.6605,18471.767113898164,143.75,-992.6190239151198
2012-04-01,6862.0,747.8077199412343,1440.3974471538768,475.1612655562439,73.11230459999999,128.4248,18325.78454109938,7.300000000000003,-692.5897272126425
2012-05-01,6892.0,805.9587920660201,1575.0258405028171,507.1056700307135,57.27655106,129.0045,18227.037639482885,10.380000000000004,-769.067048436797
2012-06-01,6923.0,755.8097439061191,1419.0185200287503,452.3305087541127,62.766994900000014,131.8519,18060.739994079646,4.68,-663.2087761226312
2012-07-01,6953.0,794.4485838607419,1325.0006983966075,475.01051159084767,100.4919912,132.4848,18192.52591579955,18.56,-530.5521145358656
2012-08-01,6984.0,828.9094751989539,1750.0125331366398,490.06391254912114,81.83968,131.9896,18481.58371726371,21.42,-921.103057937686
2012-09-01,7015.0,801.5163159441854,1314.42178035095,511.2188303465269,68.8496702,131.5105,18667.78346054908,23.27,-512.9054644067646
2012-10-01,7045.0,770.3680166743912,1579.12486874701,522.1089073660701,79.47875520000001,129.0859,19082.762512370446,18.65,-808.7568520726187
2012-11-01,7076.0,827.5999432430898,1918.1156798011084,491.2921828051703,114.7276212,130.234,19425.354064219173,11.809999999999995,-1090.5157365580185
2012-12-01,7106.0,870.9723909491089,1519.840615281137,553.1958336987818,133.47473359999998,128.036,20253.560385226734,24.92,-648.868224332028
2013-01-01,7139.0,728.6704873301528,1532.2395828967108,502.2702987304283,148.77982369999998,126.72,20733.85357204861,-9.941842124446538,-803.569095566558
2013-02-01,7172.0,797.7068428421537,1433.2484412832089,469.4230744996838,153.3895312,126.7342,21211.554534758576,9.18821590711402,-635.5415984410552
2013-03-01,7205.0,832.0258408267106,1544.819950858953,511.3652636863323,152.3666472,126.7005,21700.32512314474,40.90851629655184,-712.7941100322424
