variable,effective_nobs,optimal_break_count,break_dates,bic_no_break,bic_optimal,rss_reduction_pct,multiple_breaks_detected
gross_reserves_usd_m,252,5,"2009-10-01, 2014-04-01, 2017-05-01, 2020-02-01, 2022-04-01",3855.1732,3223.5219,94.13,True
net_usable_reserves_usd_m,252,5,"2009-10-01, 2014-04-01, 2017-05-01, 2020-03-01, 2022-03-01",3933.5303,3245.5405,95.31,True
usd_lkr,252,3,"2012-03-01, 2015-05-01, 2022-03-01",1857.5798,1082.6691,96.21,True
exports_usd_m,224,3,"2010-07-01, 2020-03-01, 2022-03-01",2135.4088,2091.4012,33.89,True
imports_usd_m,225,5,"2009-01-01, 2012-04-01, 2017-11-01, 2020-03-01, 2022-05-01",2522.6898,2286.0576,75.65,True
remittances_usd_m,202,4,"2015-01-01, 2018-04-01, 2020-07-01, 2022-07-01",1923.9496,1617.116,84.03,True
trade_balance_usd_m,224,5,"2009-01-01, 2012-04-01, 2017-11-01, 2020-05-01, 2022-05-01",2435.5199,2299.1908,62.13,True
reserve_change_usd_m,251,0,,3085.1906,3085.1906,0.0,False
