seed,converged,n_iter,loglik,p00,p11,dur0,dur1,mean_max_prob,entropy,share0,share1
baseline,True,53,-38.275605005061536,0.943082050025655,0.9825312884955129,17.5691499860894,57.24520665093888,0.9968931557363916,0.01185497218434916,0.3005181347150259,0.6994818652849741
1,True,57,-38.275585591145905,0.9430821314380343,0.9825313289531068,17.569175116094062,57.245339231334924,0.9968931997869178,0.01185485915614867,0.3005181347150259,0.6994818652849741
2,True,69,-100.27190914393931,0.47886332568114,0.8093019931989011,1.9188824146890593,5.243893299016051,0.9572151576039787,0.10928319099931953,0.27461139896373055,0.7253886010362695
3,True,58,-49.50260749130956,0.9390872194636929,0.2622754990556142,16.416915977164255,1.3555195723062832,0.9976119710833357,0.008184064952451057,0.9222797927461139,0.07772020725388601
4,True,45,-46.87659171417796,0.9499697348178159,0.3059364453470963,19.987901250543484,1.4407902465071702,0.9935440050643318,0.015884718171729918,0.9326424870466321,0.06735751295336788
5,True,20,-28.652654337863844,0.9784164223963812,0.9245198200182451,46.331521973091874,13.248511069286268,0.9999822171989907,0.00015099561952599847,0.7253886010362695,0.27461139896373055
6,True,88,-107.29122938293696,0.7546090280213626,0.3853793376272574,4.075129545055372,1.6270198208753686,0.9540792575178957,0.11530241850113566,0.689119170984456,0.31088082901554404
7,False,200,-105.56432135644872,0.7429265783348326,0.43640587201152947,3.889939276968423,1.7743265061492213,0.9339312683131473,0.1609189904168699,0.6839378238341969,0.3160621761658031
8,True,76,-92.91461584910456,0.5668523521593043,0.7848365174178475,2.3086815892574877,4.6476288076355425,0.9220168183546054,0.19077658181587034,0.29533678756476683,0.7046632124352331
9,True,78,-93.79164652236278,0.7714490768196998,0.2697257374669038,4.37539252121557,1.36934854657387,0.9395903792300775,0.1447785809358201,0.7875647668393783,0.21243523316062177
10,True,61,-97.04381452748156,0.8060462632370048,0.3180032272758242,5.155868696780849,1.4662825983847232,0.9576947860429382,0.1066944040705188,0.7512953367875648,0.24870466321243523
11,True,43,-75.79183069606837,0.37773514484454285,0.8831745116342815,1.6070327477359705,8.55977590155268,0.9616629538729036,0.09762811694893711,0.15025906735751296,0.8497409326424871
12,True,86,-72.78116908170867,0.4970967254967981,0.9089007420905866,1.9884539447229894,10.97703782608605,0.9791757490001542,0.05435996752105546,0.16580310880829016,0.8341968911917098
13,True,38,-37.888078138857864,0.9629766622452548,0.9918433405021663,27.009990472072772,122.59920869144814,0.9952685789913619,0.012901950219659102,0.29015544041450775,0.7098445595854922
14,True,181,-84.61929377590133,0.4375155981327418,0.8783826503625906,1.7778270769470903,8.222511039595952,0.9826935426209785,0.044940840869934835,0.19170984455958548,0.8082901554404145
15,True,76,-101.16501194107789,0.13289746126414287,0.5837733935209258,1.153266142500163,2.402537426569522,0.936988969704023,0.15228302098934857,0.31088082901554404,0.689119170984456
16,True,69,-92.16082937990085,0.31474631809353876,0.8342238966808997,1.4593135745259702,6.032232511070143,0.9698684698051623,0.07457064975057535,0.20725388601036268,0.7927461139896373
17,True,75,-64.92859704469561,0.38157449191848053,0.9174084273829496,1.617009626757152,12.107772843080088,0.9926943140113653,0.021264258676288963,0.12435233160621761,0.8756476683937824
18,True,47,-28.6526543378568,0.978416422396382,0.9245198200182345,46.33152197309378,13.248511069284417,0.9999822171989542,0.00015099561976630784,0.7253886010362695,0.27461139896373055
19,True,69,-91.91693625745249,0.13987401092270102,0.7996778360318243,1.1626203750368607,4.991958853633718,0.973291239930913,0.07297657028702148,0.20207253886010362,0.7979274611398963
20,True,108,-37.313625799621576,0.970650541113593,0.9053606056138114,34.07217842994513,10.56642433614238,0.9968228542135261,0.007067158084435508,0.7202072538860104,0.27979274611398963
