varset,segment,model,rmse,mae,mape,policy_loss,n,window_mode
parsimonious,all,ARIMA,1170.390372884875,896.2363082988318,21.60856574591753,1785.5782432023416,36,full
parsimonious,crisis,ARIMA,1491.032730913612,1256.260683857491,40.03000482337234,2512.521367714982,12,full
parsimonious,tranquil,ARIMA,971.1493886547754,716.2241205195024,12.397846207190131,1422.1066809460224,24,full
parsimonious,all,BVAR,1211.399893004602,964.7284064390828,21.36081297525372,1915.676717398659,36,full
parsimonious,crisis,BVAR,1403.23202113986,1260.6828269091684,35.75824807279733,2491.725535753334,12,full
parsimonious,tranquil,BVAR,1103.043289531836,816.7511962040402,14.162095426481915,1627.6523082213232,24,full
parsimonious,all,DMA,357.6605055621414,274.07643576725985,6.191319360882019,517.9135174810269,36,full
parsimonious,crisis,DMA,393.6786555971816,319.59781161109504,9.901015847582666,631.4693639324482,12,full
parsimonious,tranquil,DMA,338.216075788907,251.31574784534232,4.336471117531696,461.1355942553162,24,full
parsimonious,all,DMS,357.68705043470067,274.124785963903,6.192081192624011,518.1356437958564,36,full
parsimonious,crisis,DMS,393.68147583221497,319.60027002826183,9.901103484482796,631.4748619863175,12,full
parsimonious,tranquil,DMS,338.2565400199953,251.3870439317235,4.337570046694618,461.4660347006258,24,full
parsimonious,all,MS-VAR,311.7527123873274,230.34319753015643,5.198389638189099,408.4147824903816,36,full
parsimonious,crisis,MS-VAR,367.0573845727197,292.9410952829084,8.829289937673696,540.8702354673658,12,full
parsimonious,tranquil,MS-VAR,280.0340492450888,199.04424865378044,3.3829394884468003,342.18705600188963,24,full
parsimonious,all,MS-VECM,357.68705043470067,274.124785963903,6.192081192624011,518.1356437958564,36,full
parsimonious,crisis,MS-VECM,393.68147583221497,319.60027002826183,9.901103484482796,631.4748619863175,12,full
parsimonious,tranquil,MS-VECM,338.2565400199953,251.3870439317235,4.337570046694618,461.4660347006258,24,full
parsimonious,all,Naive,1178.9472483420434,935.851255853071,20.469342901823072,1864.1568114086267,36,full
parsimonious,crisis,Naive,1338.9154540596755,1186.3037675592134,33.35151232577741,2352.5537675592136,12,full
parsimonious,tranquil,Naive,1090.1961406095693,810.625,14.0282581898459,1619.9583333333333,24,full
parsimonious,all,VECM,1194.5289114704551,956.8061834190104,21.642132461299944,1892.3366781255863,36,full
parsimonious,crisis,VECM,1444.8723199180183,1320.891744413991,38.04652546096347,2586.1650537112187,12,full
parsimonious,tranquil,VECM,1047.1489722458534,774.7634029215201,13.439935961468183,1545.4224903327697,24,full
parsimonious,all,XGBoost,640.5828291390734,475.7449645996094,11.819138413645256,900.8351440429688,36,full
parsimonious,crisis,XGBoost,942.4822090887608,841.0914204915365,25.04817239158777,1610.808817545573,12,full
parsimonious,tranquil,XGBoost,413.9845217605528,293.0717366536458,5.204621424673999,545.8483072916666,24,full
bop,all,ARIMA,1249.8610855014506,1105.2029582356054,25.25612434659103,2159.0893438168077,27,full
bop,crisis,ARIMA,1242.034130119167,1124.8271430733414,33.0739220588502,2144.745565900072,12,full
bop,tranquil,ARIMA,1256.0875348425584,1089.5036103654163,19.00188617678369,2170.564366150196,15,full
bop,all,BVAR,1365.2692373092534,1200.016360259383,27.093663034378107,2381.9866621484,27,full
bop,crisis,BVAR,1382.623444587276,1246.7786080012522,35.50948540584189,2456.825842264591,12,full
bop,tranquil,BVAR,1351.225403476221,1162.6065620658871,20.361005137207083,2322.115318055447,15,full
bop,all,DMA,321.6910294462016,222.5000354366996,5.30104246352007,420.9773344362813,27,full
bop,crisis,DMA,379.0097424279899,248.43277268269145,7.552846043161653,482.7546259459936,12,full
bop,tranquil,DMA,267.1226409026713,201.7538456399061,3.499599599806804,371.5555012285114,15,full
bop,all,DMS,325.960073019016,228.04450298707303,5.422361083500371,432.2441892489599,27,full
bop,crisis,DMS,380.7357450282286,252.8415526951776,7.692829808865607,491.48923743469953,12,full
bop,tranquil,DMS,274.37598023670336,208.20686322058944,3.6059861032081817,384.84815070036825,15,full
bop,all,MS-VAR,315.24487674590387,218.28169305684952,5.15766261271038,409.6054073664217,27,full
bop,crisis,MS-VAR,372.4599163954379,239.95368952545317,7.249986972843791,463.2357337651538,12,full
bop,tranquil,MS-VAR,260.57952089359384,200.9440958819666,3.483803124603653,366.7011462474359,15,full
bop,all,MS-VECM,323.4045492036548,226.05339371852983,5.391833037166779,427.5178453673512,27,full
bop,crisis,MS-VECM,380.7357450282286,252.8415526951776,7.692829808865607,491.48923743469953,12,full
bop,tranquil,MS-VECM,268.87755274167864,204.6228665372116,3.551035619807716,376.34073171347256,15,full
