split_label,train_end,valid_end,varset,model,rmse,mae,mape,rank_within_split_varset
baseline,2019-12-01,2022-12-01,bop,ARIMA,1249.8610855014506,1105.2029582356054,25.25612434659103,6.0
baseline,2019-12-01,2022-12-01,bop,BVAR,1365.2692373092534,1200.016360259383,27.093663034378107,8.0
baseline,2019-12-01,2022-12-01,bop,DMA,321.6910294462016,222.5000354366996,5.30104246352007,2.0
baseline,2019-12-01,2022-12-01,bop,DMS,325.960073019016,228.04450298707303,5.422361083500371,4.0
baseline,2019-12-01,2022-12-01,bop,MS-VAR,315.24487674590387,218.28169305684952,5.15766261271038,1.0
baseline,2019-12-01,2022-12-01,bop,MS-VECM,323.4045492036548,226.05339371852983,5.391833037166779,3.0
baseline,2019-12-01,2022-12-01,bop,Naive,1350.8071814239772,1180.5794522485394,26.25437736988761,7.0
baseline,2019-12-01,2022-12-01,bop,VECM,1556.3436578458402,1393.163120527872,32.04516902281409,9.0
baseline,2019-12-01,2022-12-01,bop,XGBoost,886.1322330488664,690.4889368127893,17.46798934180099,5.0
early,2018-12-01,2021-12-01,bop,ARIMA,1272.1781410950252,1158.0598321126984,38.25555749122317,7.0
early,2018-12-01,2021-12-01,bop,BVAR,1278.9314354142743,1099.9584111132212,32.591178412549915,8.0
early,2018-12-01,2021-12-01,bop,DMA,282.8685512753854,196.27546594447207,5.940375518368988,2.0
early,2018-12-01,2021-12-01,bop,DMS,285.38261576591475,203.86231433703733,6.352969413868216,3.0
early,2018-12-01,2021-12-01,bop,MS-VAR,275.93341669354044,189.33165804153884,5.608377491214984,1.0
early,2018-12-01,2021-12-01,bop,MS-VECM,291.4084656517423,208.26565627075425,6.457654757989041,4.0
early,2018-12-01,2021-12-01,bop,Naive,1223.7999325122094,1021.3002526984412,28.61823266902817,6.0
early,2018-12-01,2021-12-01,bop,VECM,1439.792057001006,1258.8437879251655,37.37442184302939,9.0
early,2018-12-01,2021-12-01,bop,XGBoost,1114.9553333625663,790.5868929634388,27.849899605778905,5.0
late,2020-12-01,2023-12-01,bop,ARIMA,1256.0875348425584,1089.5036103654163,19.00188617678369,6.0
late,2020-12-01,2023-12-01,bop,BVAR,1349.3608316393022,1161.4033844020532,20.349534154959287,7.0
late,2020-12-01,2023-12-01,bop,DMA,264.5212376066422,200.61656283688205,3.477118091618959,3.0
late,2020-12-01,2023-12-01,bop,DMS,260.57952089359384,200.9440958819666,3.483803124603653,1.0
late,2020-12-01,2023-12-01,bop,MS-VAR,260.57952089359384,200.9440958819666,3.483803124603653,1.0
late,2020-12-01,2023-12-01,bop,MS-VECM,268.87755274167864,204.6228665372116,3.551035619807716,4.0
late,2020-12-01,2023-12-01,bop,Naive,1360.2457130974535,1176.0,20.576669405175775,8.0
late,2020-12-01,2023-12-01,bop,VECM,1495.6077146606665,1304.492396865722,22.941615187468,9.0
late,2020-12-01,2023-12-01,bop,XGBoost,623.4990717247257,428.3370930989584,8.055181567375543,5.0
