headline_model,benchmark_model,n_obs,rmse_model,rmse_benchmark,rmse_gain,rmse_ratio,pct_reduction,n_bootstrap,block_length,ci_level,bootstrap_method,rmse_model_ci_lower,rmse_model_ci_upper,rmse_model_boot_std,rmse_benchmark_ci_lower,rmse_benchmark_ci_upper,rmse_benchmark_boot_std,rmse_gain_ci_lower,rmse_gain_ci_upper,rmse_gain_boot_std,rmse_ratio_ci_lower,rmse_ratio_ci_upper,rmse_ratio_boot_std,pct_reduction_ci_lower,pct_reduction_ci_upper,pct_reduction_boot_std,rmse_gain_ci_excludes_zero,pct_reduction_ci_excludes_zero,varset,window_start,window_end,window
MS-VAR,Naive,36,311.7527123873274,1178.9472483420434,867.194535954716,0.2644331311903447,73.55668688096553,10,4,0.95,stationary_block,263.95018138697895,352.5853001708197,32.456560610082356,938.006719650304,1435.1980218283418,202.4601081600732,649.2180310261294,1087.5832127843087,173.56935310932775,0.2353156722562351,0.3081655844533681,0.024919477444266477,69.18344155466319,76.4684327743765,2.4919477444266467,True,True,parsimonious,2023-01-01,2025-12-01,2023:01--2025:12
MS-VAR,Naive,27,315.24487674590387,1350.8071814239772,1035.5623046780734,0.23337518565276127,76.66248143472387,10,3,0.95,stationary_block,211.63093900280955,371.30131220246756,53.49183377167129,1180.1433120798472,1493.0987716372113,106.64061900573668,842.1047988816133,1210.313385469657,128.47155784668482,0.16382357090891395,0.3013844802992151,0.04967868452095351,69.86155197007848,83.61764290910861,4.9678684520953516,True,True,bop,2023-01-01,2025-03-01,2023:01--2025:03
