date,usd_lkr,m2_usd_m,scenario
2025-07-01,300.06057026216376,44005.10782133916,Baseline
2025-08-01,300.076047568557,44005.10782133916,Baseline
2025-09-01,300.0786924434582,44005.10782133916,Baseline
2025-10-01,300.07914441895474,44005.10782133916,Baseline
2025-11-01,300.0792216558212,44005.10782133916,Baseline
2025-12-01,300.07923485461976,44005.10782133916,Baseline
2026-01-01,300.07923711012666,44005.10782133916,Baseline
2026-02-01,300.0792374955641,44005.10782133916,Baseline
2026-03-01,300.07923756143043,44005.10782133916,Baseline
2026-04-01,300.07923757268617,44005.10782133916,Baseline
2026-05-01,300.07923757460964,44005.10782133916,Baseline
2026-06-01,300.0792375749383,44005.10782133916,Baseline
2025-07-01,300.06057026216376,44005.10782133916,LKR Depreciation 10%
2025-08-01,302.804011637362,44005.10782133916,LKR Depreciation 10%
2025-09-01,305.5346686697029,44005.10782133916,LKR Depreciation 10%
2025-10-01,308.26312108492624,44005.10782133916,LKR Depreciation 10%
2025-11-01,310.9911933523965,44005.10782133916,LKR Depreciation 10%
2025-12-01,313.7192000752843,44005.10782133916,LKR Depreciation 10%
2026-01-01,316.4471954979518,44005.10782133916,LKR Depreciation 10%
2026-02-01,319.17518897255457,44005.10782133916,LKR Depreciation 10%
2026-03-01,321.90318211135263,44005.10782133916,LKR Depreciation 10%
2026-04-01,324.63117519226955,44005.10782133916,LKR Depreciation 10%
2026-05-01,327.35916826321056,44005.10782133916,LKR Depreciation 10%
2026-06-01,330.0871613324322,44005.10782133916,LKR Depreciation 10%
2025-07-01,300.06057026216376,44005.10782133916,LKR Depreciation 20%
2025-08-01,305.5319757061671,44005.10782133916,LKR Depreciation 20%
2025-09-01,310.9906448959476,44005.10782133916,LKR Depreciation 20%
2025-10-01,316.4470977508977,44005.10782133916,LKR Depreciation 20%
2025-11-01,321.9031650489718,44005.10782133916,LKR Depreciation 20%
2025-12-01,327.3591652959488,44005.10782133916,LKR Depreciation 20%
2026-01-01,332.81515388577685,44005.10782133916,LKR Depreciation 20%
2026-02-01,338.27114044954493,44005.10782133916,LKR Depreciation 20%
2026-03-01,343.7271266612749,44005.10782133916,LKR Depreciation 20%
2026-04-01,349.183112811853,44005.10782133916,LKR Depreciation 20%
2026-05-01,354.6390989518113,44005.10782133916,LKR Depreciation 20%
2026-06-01,360.09508508992593,44005.10782133916,LKR Depreciation 20%
2025-07-01,300.06057026216376,44005.10782133916,Export Shock (-15%)
2025-08-01,300.076047568557,44005.10782133916,Export Shock (-15%)
2025-09-01,300.0786924434582,44005.10782133916,Export Shock (-15%)
2025-10-01,300.07914441895474,44005.10782133916,Export Shock (-15%)
2025-11-01,300.0792216558212,44005.10782133916,Export Shock (-15%)
2025-12-01,300.07923485461976,44005.10782133916,Export Shock (-15%)
2026-01-01,300.07923711012666,44005.10782133916,Export Shock (-15%)
2026-02-01,300.0792374955641,44005.10782133916,Export Shock (-15%)
2026-03-01,300.07923756143043,44005.10782133916,Export Shock (-15%)
2026-04-01,300.07923757268617,44005.10782133916,Export Shock (-15%)
2026-05-01,300.07923757460964,44005.10782133916,Export Shock (-15%)
2026-06-01,300.0792375749383,44005.10782133916,Export Shock (-15%)
2025-07-01,300.06057026216376,44005.10782133916,Remittance Decline (-20%)
2025-08-01,300.076047568557,44005.10782133916,Remittance Decline (-20%)
2025-09-01,300.0786924434582,44005.10782133916,Remittance Decline (-20%)
2025-10-01,300.07914441895474,44005.10782133916,Remittance Decline (-20%)
2025-11-01,300.0792216558212,44005.10782133916,Remittance Decline (-20%)
2025-12-01,300.07923485461976,44005.10782133916,Remittance Decline (-20%)
2026-01-01,300.07923711012666,44005.10782133916,Remittance Decline (-20%)
2026-02-01,300.0792374955641,44005.10782133916,Remittance Decline (-20%)
2026-03-01,300.07923756143043,44005.10782133916,Remittance Decline (-20%)
2026-04-01,300.07923757268617,44005.10782133916,Remittance Decline (-20%)
2026-05-01,300.07923757460964,44005.10782133916,Remittance Decline (-20%)
2026-06-01,300.0792375749383,44005.10782133916,Remittance Decline (-20%)
2025-07-01,300.06057026216376,44005.10782133916,Tourism Recovery (+25%)
2025-08-01,300.076047568557,44005.10782133916,Tourism Recovery (+25%)
2025-09-01,300.0786924434582,44005.10782133916,Tourism Recovery (+25%)
2025-10-01,300.07914441895474,44005.10782133916,Tourism Recovery (+25%)
2025-11-01,300.0792216558212,44005.10782133916,Tourism Recovery (+25%)
2025-12-01,300.07923485461976,44005.10782133916,Tourism Recovery (+25%)
2026-01-01,300.07923711012666,44005.10782133916,Tourism Recovery (+25%)
2026-02-01,300.0792374955641,44005.10782133916,Tourism Recovery (+25%)
2026-03-01,300.07923756143043,44005.10782133916,Tourism Recovery (+25%)
2026-04-01,300.07923757268617,44005.10782133916,Tourism Recovery (+25%)
2026-05-01,300.07923757460964,44005.10782133916,Tourism Recovery (+25%)
2026-06-01,300.0792375749383,44005.10782133916,Tourism Recovery (+25%)
