date,gross_reserves_usd_m,scenario
2025-07-01,6163.088675589617,Baseline
2025-08-01,6159.0639560868085,Baseline
2025-09-01,6202.323719420811,Baseline
2025-10-01,6226.061079002362,Baseline
2025-11-01,6258.913545833455,Baseline
2025-12-01,6287.73961160054,Baseline
2026-01-01,6318.388355860414,Baseline
2026-02-01,6348.220958019232,Baseline
2026-03-01,6378.420776265942,Baseline
2026-04-01,6408.455723034575,Baseline
2026-05-01,6438.564763711355,Baseline
2026-06-01,6468.640520322112,Baseline
2025-07-01,6163.088675589617,LKR Depreciation 10%
2025-08-01,6141.0678754810215,LKR Depreciation 10%
2025-09-01,6170.843251202683,LKR Depreciation 10%
2025-10-01,6178.359806793844,LKR Depreciation 10%
2025-11-01,6196.080043537734,LKR Depreciation 10%
2025-12-01,6209.25686193965,LKR Depreciation 10%
2026-01-01,6224.48309333166,LKR Depreciation 10%
2026-02-01,6238.790216087604,LKR Depreciation 10%
2026-03-01,6253.51059651203,LKR Depreciation 10%
2026-04-01,6268.04537687318,LKR Depreciation 10%
2026-05-01,6282.663555326623,LKR Depreciation 10%
2026-06-01,6297.2442678900115,LKR Depreciation 10%
2025-07-01,6163.088675589617,LKR Depreciation 20%
2025-08-01,6123.0717948752335,LKR Depreciation 20%
2025-09-01,6139.3627829845545,LKR Depreciation 20%
2025-10-01,6130.6585345853255,LKR Depreciation 20%
2025-11-01,6133.246541242014,LKR Depreciation 20%
2025-12-01,6130.774112278759,LKR Depreciation 20%
2026-01-01,6130.577830802907,LKR Depreciation 20%
2026-02-01,6129.359474155976,LKR Depreciation 20%
2026-03-01,6128.600416758119,LKR Depreciation 20%
2026-04-01,6127.6350307117855,LKR Depreciation 20%
2026-05-01,6126.762346941893,LKR Depreciation 20%
2026-06-01,6125.848015457911,LKR Depreciation 20%
2025-07-01,6163.088675589617,Export Shock (-15%)
2025-08-01,6159.0639560868085,Export Shock (-15%)
2025-09-01,6202.323719420811,Export Shock (-15%)
2025-10-01,6226.061079002362,Export Shock (-15%)
2025-11-01,6258.913545833455,Export Shock (-15%)
2025-12-01,6287.73961160054,Export Shock (-15%)
2026-01-01,6318.388355860414,Export Shock (-15%)
2026-02-01,6348.220958019232,Export Shock (-15%)
2026-03-01,6378.420776265942,Export Shock (-15%)
2026-04-01,6408.455723034575,Export Shock (-15%)
2026-05-01,6438.564763711355,Export Shock (-15%)
2026-06-01,6468.640520322112,Export Shock (-15%)
2025-07-01,6163.088675589617,Remittance Decline (-20%)
2025-08-01,6159.0639560868085,Remittance Decline (-20%)
2025-09-01,6202.323719420811,Remittance Decline (-20%)
2025-10-01,6226.061079002362,Remittance Decline (-20%)
2025-11-01,6258.913545833455,Remittance Decline (-20%)
2025-12-01,6287.73961160054,Remittance Decline (-20%)
2026-01-01,6318.388355860414,Remittance Decline (-20%)
2026-02-01,6348.220958019232,Remittance Decline (-20%)
2026-03-01,6378.420776265942,Remittance Decline (-20%)
2026-04-01,6408.455723034575,Remittance Decline (-20%)
2026-05-01,6438.564763711355,Remittance Decline (-20%)
2026-06-01,6468.640520322112,Remittance Decline (-20%)
2025-07-01,6163.088675589617,Tourism Recovery (+25%)
2025-08-01,6159.0639560868085,Tourism Recovery (+25%)
2025-09-01,6202.323719420811,Tourism Recovery (+25%)
2025-10-01,6226.061079002362,Tourism Recovery (+25%)
2025-11-01,6258.913545833455,Tourism Recovery (+25%)
2025-12-01,6287.73961160054,Tourism Recovery (+25%)
2026-01-01,6318.388355860414,Tourism Recovery (+25%)
2026-02-01,6348.220958019232,Tourism Recovery (+25%)
2026-03-01,6378.420776265942,Tourism Recovery (+25%)
2026-04-01,6408.455723034575,Tourism Recovery (+25%)
2026-05-01,6438.564763711355,Tourism Recovery (+25%)
2026-06-01,6468.640520322112,Tourism Recovery (+25%)
2025-07-01,6163.088675589617,Oil Price Shock
2025-08-01,6159.0639560868085,Oil Price Shock
2025-09-01,6202.323719420811,Oil Price Shock
2025-10-01,6226.061079002362,Oil Price Shock
2025-11-01,6258.913545833455,Oil Price Shock
2025-12-01,6287.73961160054,Oil Price Shock
2026-01-01,6318.388355860414,Oil Price Shock
2026-02-01,6348.220958019232,Oil Price Shock
2026-03-01,6378.420776265942,Oil Price Shock
2026-04-01,6408.455723034575,Oil Price Shock
2026-05-01,6438.564763711355,Oil Price Shock
2026-06-01,6468.640520322112,Oil Price Shock
2025-07-01,6163.088675589617,IMF Tranche Delay
2025-08-01,6144.6670916021785,IMF Tranche Delay
2025-09-01,6177.139344846309,IMF Tranche Delay
2025-10-01,6187.900061235548,IMF Tranche Delay
2025-11-01,6208.646743996878,IMF Tranche Delay
2025-12-01,6224.9534118718275,IMF Tranche Delay
2026-01-01,6243.264145837411,IMF Tranche Delay
2026-02-01,6260.676364473929,IMF Tranche Delay
2026-03-01,6278.492632462812,IMF Tranche Delay
2026-04-01,6296.12744610546,IMF Tranche Delay
2026-05-01,6313.84379700357,IMF Tranche Delay
2026-06-01,6331.523518376432,IMF Tranche Delay
2025-07-01,6163.088675589617,Combined Adverse
2025-08-01,6132.069835178127,Combined Adverse
2025-09-01,6155.103017093619,Combined Adverse
2025-10-01,6154.509170689585,Combined Adverse
2025-11-01,6164.663292389875,Combined Adverse
2025-12-01,6170.0154871092045,Combined Adverse
2026-01-01,6177.530462067284,Combined Adverse
2026-02-01,6184.07484512179,Combined Adverse
2026-03-01,6191.055506635075,Combined Adverse
2026-04-01,6197.840203792483,Combined Adverse
2026-05-01,6204.712951134258,Combined Adverse
2026-06-01,6211.546141673961,Combined Adverse
2025-07-01,6163.088675589617,Combined Upside
2025-08-01,6168.0619963897025,Combined Upside
2025-09-01,6218.063953529876,Combined Upside
2025-10-01,6249.911715106621,Combined Upside
2025-11-01,6290.330296981315,Combined Upside
2025-12-01,6326.9809864309855,Combined Upside
2026-01-01,6365.340987124791,Combined Upside
2026-02-01,6402.936328985046,Combined Upside
2026-03-01,6440.875866142897,Combined Upside
2026-04-01,6478.660896115272,Combined Upside
2026-05-01,6516.51536790372,Combined Upside
2026-06-01,6554.338646538163,Combined Upside
