RMSE,MAE,MAPE,MSE,MedAE,Theil_U,Bias,Std_Error,Min_Error,Max_Error,Model,Period,Period_Key,N_Obs,Start,End
1986.2690197211512,1723.674571215295,70.3572020058127,3945264.618704023,1761.4100667653124,3.623865996070728,-317.889138714718,1960.6659874112258,-3318.8115572911674,3081.363876892714,ARIMA,Crisis,crisis,35,2020-02-01,2022-12-01
1418.0811537588265,1132.728409745569,39.707456856813785,2010954.1586459645,785.4547264747143,2.584141049726702,-1109.1020453141264,883.6553693188234,-3404.531574814554,413.4613775502394,BVAR,Crisis,crisis,35,2020-02-01,2022-12-01
701.3278980085158,504.3739025540329,17.405839773430614,491860.8205250431,302.6036662095621,1.2727468603906271,-5.642663787754529,701.3051980916879,-1227.5613288126956,2001.8917340403973,MS-VAR,Crisis,crisis,35,2020-02-01,2022-12-01
579.4612985656078,453.8431029039377,14.273769562834584,335775.3965353404,322.7564654141397,1.0520075655069558,-177.28568874901106,551.6748871392726,-1196.1767071931126,1339.5937688467657,MS-VECM,Crisis,crisis,35,2020-02-01,2022-12-01
1328.0723215695268,1029.3448030071818,35.694347746002094,1763776.0913190725,656.6452107105611,2.4194532269051128,-1003.642826956064,869.7569587066906,-3253.4906738248237,428.78154091863234,Naive,Crisis,crisis,35,2020-02-01,2022-12-01
1532.197993408865,1289.6143681793678,46.567986935265345,2347630.691006152,1009.4212214011686,2.7938815187256476,-1272.0408398548634,854.1327723179149,-3523.8620730734574,307.5367456788272,VECM,Crisis,crisis,35,2020-02-01,2022-12-01
1183.4709771766918,1037.3165315782123,37.81890948333689,1400603.5538195537,1025.34765625,2.156508029517151,-980.3380875354803,662.9787236004113,-2550.9274741405598,421.66015514535866,XGBoost,Crisis,crisis,35,2020-02-01,2022-12-01
1170.390372884875,896.2363082988318,21.60856574591753,1369813.6249415965,928.7407667290317,3.331965779886194,882.4475615081885,768.8302323204055,-98.34374984345868,3313.9713378674223,ARIMA,Post-Default,post_default,36,2023-01-01,2025-12-01
1209.0448135381062,959.6627573585653,21.291101057540555,1461789.361143394,951.1483904229303,3.89915002915223,935.5196788989628,765.8931332347717,-364.79585976359385,2445.1879943617355,BVAR,Post-Default,post_default,36,2023-01-01,2025-12-01
311.7527123873274,230.34319753015643,5.198389638189099,97189.75368085568,186.65446773635017,1.0015128290686164,125.79997239029412,285.24396685549186,-444.60401483167334,872.1162111383815,MS-VAR,Post-Default,post_default,36,2023-01-01,2025-12-01
357.68705043470067,274.124785963903,6.192081192624011,127940.02604867608,207.57673832384307,1.1504117146228916,213.89692970000394,286.68472145126196,-343.9614676088513,941.8547831797273,MS-VECM,Post-Default,post_default,36,2023-01-01,2025-12-01
1178.9472483420434,935.851255853071,20.469342901823072,1389916.6143732758,944.5,3.8046987496779003,920.75985525804,736.2865633151737,-240.64521071056106,2375.0,Naive,Post-Default,post_default,36,2023-01-01,2025-12-01
1194.5289114704551,956.8061834190105,21.642132461299944,1426899.3203387903,847.3283920107269,3.8404558829853666,914.2548059941403,768.7896136495393,-667.4212214011686,2483.0254283242475,VECM,Post-Default,post_default,36,2023-01-01,2025-12-01
640.5828291390734,475.7449645996094,11.819138413645256,410346.3609878193,365.00537109375,2.016473891245566,374.4353942871094,519.7542654879094,-856.48828125,1642.255859375,XGBoost,Post-Default,post_default,36,2023-01-01,2025-12-01
1625.3332535001757,1371.107859629598,39.66939428863192,2641708.1849334664,1059.4991750933732,2.5033404181470384,-1364.4832871043554,883.1158158171321,-3318.8115572911674,76.18258404028802,ARIMA,COVID,covid,23,2020-02-01,2021-12-01
1600.9947432120034,1313.1226385117097,39.305775637975344,2563184.167792469,945.5071507924749,2.4623940306282006,-1277.1694752464714,965.4130200546921,-3404.531574814554,413.4613775502394,BVAR,COVID,covid,23,2020-02-01,2021-12-01
675.3926628127274,527.4808395519383,14.158743264661675,456155.24898126646,482.6764296996182,1.0311715083653235,-98.46668372880642,668.1762949826324,-1227.5613288126956,1775.910412534655,MS-VAR,COVID,covid,23,2020-02-01,2021-12-01
662.254708062186,557.6032885008245,14.65215639828551,438581.29835053114,426.5084113794651,1.0141865668906929,-296.9460562856802,591.9496076583823,-1196.1767071931126,1339.5937688467657,MS-VECM,COVID,covid,23,2020-02-01,2021-12-01
1512.1070757425653,1220.5218895966404,36.61127330456262,2286467.808510732,846.4125912320414,2.3249857140810612,-1181.410186910157,943.7890541724032,-3253.4906738248237,428.78154091863234,Naive,COVID,covid,23,2020-02-01,2021-12-01
1680.2280899513316,1400.7187271697348,41.64307913494565,2823166.4342615,1079.4031857103055,2.5861276344637782,-1373.9764014585326,967.1376750476438,-3523.8620730734574,307.5367456788272,VECM,COVID,covid,23,2020-02-01,2021-12-01
1234.9126675787493,1063.4085604486347,30.233602646974973,1525009.2965464627,1056.4567712889748,1.898741324095254,-976.7022325575208,755.6864729923495,-2550.9274741405598,421.66015514535866,XGBoost,COVID,covid,23,2020-02-01,2021-12-01
1624.623692734258,1304.1284097365246,45.639583620513754,2639402.1429934967,1125.5478293917176,3.656392146920508,290.7322867504177,1598.3982233581123,-3318.8115572911674,3313.9713378674223,ARIMA,Full Sample,full,71,2020-02-01,2025-12-01
1316.246330352259,1044.9768113521586,30.369586310703404,1732504.4021657885,860.7504457639216,2.9603420426614506,-72.39243867086995,1314.2540610510102,-3404.531574814554,2445.1879943617355,BVAR,Full Sample,full,71,2020-02-01,2025-12-01
