date,gross_reserves_usd_m,scenario
2026-01-01,6573.560518092945,Combined Upside
2026-02-01,6751.043757402661,Combined Upside
2026-03-01,6687.807307583959,Combined Upside
2026-04-01,6743.544859749835,Combined Upside
2026-05-01,6735.6050846515745,Combined Upside
2026-06-01,6760.646037080206,Combined Upside
2026-07-01,6768.087564988435,Combined Upside
2026-08-01,6784.815181180059,Combined Upside
2026-09-01,6796.569174745856,Combined Upside
2026-10-01,6810.970787862575,Combined Upside
2026-11-01,6823.947229705372,Combined Upside
2026-12-01,6837.684869377294,Combined Upside
