date,horizon,ARIMA,BVAR,MS-VAR,MS-VECM,Naive,VECM,XGBoost
2019-02-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-03-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-04-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-05-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-06-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-07-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-08-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-09-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-10-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-11-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-12-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-01-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-02-01,1,0.19999999999999998,0.0,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998,0.19999999999999998
2020-03-01,1,0.22094502941688618,0.0,0.1988727698560276,4.1996198499387125e-09,0.20754964560537623,0.15342318672469546,0.21920936419739467
2020-04-01,1,3.5979314710952226e-07,0.9999985544548714,2.2253033638730028e-07,1.3182564536958364e-12,3.04594175111898e-07,2.1614327158198669e-07,3.424828801133849e-07
2020-05-01,1,2.5679126893627894e-07,0.9999986958067562,1.5532746957107767e-07,1.3182564801449282e-12,3.441337067562726e-07,2.8695753722963194e-07,2.6098194318127104e-07
2020-06-01,1,1.8665568220206668e-07,0.9999982885322032,3.841377065727616e-07,1.318256406026277e-12,4.491757815332497e-07,5.308609478681678e-07,1.6063636038900024e-07
2020-07-01,1,1.0449966172129615e-07,0.9999978722101334,3.936368359190831e-07,1.3182563322202738e-12,5.283399711899346e-07,8.245633721726255e-07,2.767487073913143e-07
2020-08-01,1,7.897659900296714e-08,0.9999969649978147,6.375144995272318e-07,1.3182561722883142e-12,6.295818810027158e-07,1.2023176463828502e-06,4.866102411075334e-07
2020-09-01,1,7.673053848519199e-08,0.9999959426143744,9.987496424197941e-07,2.3255794949693993e-12,7.316043758134291e-07,1.5773598052230148e-06,6.729389380653274e-07
2020-10-01,1,2.150397984961602e-08,0.9999937074819932,1.330864379633622e-06,4.721325373934456e-12,8.899296387157459e-07,2.514724551732977e-06,1.535490735595315e-06
2020-11-01,1,2.3284745067313718e-09,0.9999935417399995,1.4731231373042994e-06,2.4371217166379332e-12,1.0807761508351762e-06,3.7781161157181776e-06,1.2391368497908692e-07
2020-12-01,1,1.8737734286087833e-10,0.9999879021110689,5.119375648203612e-06,1.0516423854487363e-11,1.2844777622846765e-06,5.2516047985637255e-06,4.422328283386436e-07
2021-01-01,1,3.024873373067931e-11,0.9999628797148827,2.6556483422877075e-05,6.590204435929686e-11,1.5250634274333317e-06,7.46246928509864e-06,1.576172831160319e-06
2021-02-01,1,2.709570288508478e-12,0.9999183952028048,6.640093607012465e-05,4.8686609892621125e-12,1.7477385519207477e-06,8.790548018134441e-06,4.665566976833086e-06
2021-03-01,1,2.585579007919562e-08,0.0,0.8736298462359099,0.0,0.015919786300517262,0.0896604380048986,0.020789903602884054
