date,horizon,ARIMA,BVAR,MS-VAR,MS-VECM,Naive,VECM,XGBoost
2019-02-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2019-03-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2019-04-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2019-05-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2019-06-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2019-07-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2019-08-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2019-09-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2019-10-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2019-11-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2019-12-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-01-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-02-01,1,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288
2020-03-01,1,0.17358436763311005,0.15073399097313014,0.11675711700648952,0.1200499566739666,0.14388865408415527,0.15626836613948666,0.13871754748966178
2020-04-01,1,0.18116973619840485,0.16733459343449122,0.08497323855063786,0.10018445736361051,0.15798160408168357,0.17228908540278984,0.13606728496838214
2020-05-01,1,0.18217861605761612,0.19043103298663686,0.09171017352280982,0.09572520907576096,0.18209916900473797,0.18894591260115096,0.06890988675128734
2020-06-01,1,0.16039747921731998,0.17684759466569552,0.16785703727119541,0.13739031254402975,0.18443920060001148,0.15800781258277968,0.015060563118968202
2020-07-01,1,0.11762841960403075,0.15663838568488456,0.23478474542435554,0.18358976273030733,0.1625666675082345,0.12594005396351438,0.018851965084672868
2020-08-01,1,0.10370201219577468,0.139996984965443,0.27628043196423835,0.20465827621597393,0.14486205435189842,0.10986570205966084,0.02063453824701093
2020-09-01,1,0.10318677094742464,0.1274731304761622,0.30923646405863314,0.21391397202892512,0.12731025939456103,0.09897011510175945,0.019909287992534445
2020-10-01,1,0.0801591746960888,0.12435657583902758,0.30495478342758575,0.23811784757160248,0.12959632935196522,0.09245267390528908,0.03036261520844112
2020-11-01,1,0.020558256179137736,0.06603396520935251,0.5783087426086195,0.20009103320574348,0.07667521431320595,0.04335500799925499,0.014977780484685937
2020-12-01,1,0.0019967532012952274,0.014019830360212239,0.7673055643071549,0.18345320582886304,0.01857545119506149,0.008216228783415611,0.006432966323997318
2021-01-01,1,0.00026492861302985257,0.0030863868745937117,0.8003298199243961,0.18743842294100765,0.004539024124298139,0.001673471331696878,0.0026679461909776088
