fold,train_start,train_end,validation_start,validation_end,train_obs,validation_obs
1,2008-01-01,2010-12-01,2011-01-01,2013-12-01,36,36
2,2008-01-01,2013-12-01,2014-01-01,2016-12-01,72,36
3,2008-01-01,2016-12-01,2017-01-01,2019-12-01,108,36
