model,varset,candidate_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,random_state,fold1_rmse,fold2_rmse,fold3_rmse,mean_validation_rmse,std_validation_rmse
XGBoost,bop,1,200,3,0.1,0.8,0.8,42,1117.8521541435864,720.1622882104398,889.1820142017853,909.0654855186039,162.96384402720764
XGBoost,bop,2,500,4,0.05,0.8,0.8,42,1126.5781587600293,693.9791503906885,902.4237612380082,907.660356796242,176.64661891342018
XGBoost,bop,3,300,4,0.1,1.0,0.8,42,1130.1292998442361,664.3381617265094,889.6480779665266,894.7051798457574,190.19205520878887
