fold,train_start,train_end,validation_start,validation_end,train_obs,validation_obs
1,2007-01-01,2010-03-01,2010-04-01,2013-06-01,39,39
2,2007-01-01,2013-06-01,2013-07-01,2016-09-01,78,39
3,2007-01-01,2016-09-01,2016-10-01,2019-12-01,117,39
