model,varset,candidate_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,random_state,fold1_rmse,fold2_rmse,fold3_rmse,mean_validation_rmse,std_validation_rmse
XGBoost,parsimonious,1,200,3,0.1,0.8,0.8,42,142.8732898648188,927.2325317856329,924.9525545358327,665.0194587287615,369.21427005514886
XGBoost,parsimonious,2,500,4,0.05,0.8,0.8,42,145.98342889452675,922.6068348332266,968.1564043680435,678.9155560319323,377.2984494381087
XGBoost,parsimonious,3,300,4,0.1,1.0,0.8,42,141.63156157169962,974.8870054621835,1030.9198893088208,715.8128187809012,406.6513724849147
