fold,train_start,train_end,validation_start,validation_end,train_obs,validation_obs
1,2010-01-01,2012-06-01,2012-07-01,2014-12-01,30,30
2,2010-01-01,2014-12-01,2015-01-01,2017-06-01,60,30
3,2010-01-01,2017-06-01,2017-07-01,2019-12-01,90,30
