fold,train_start,train_end,validation_start,validation_end,train_obs,validation_obs
1,2009-01-01,2011-09-01,2011-10-01,2014-06-01,33,33
2,2009-01-01,2014-06-01,2014-07-01,2017-03-01,66,33
3,2009-01-01,2017-03-01,2017-04-01,2019-12-01,99,33
