varset,model,mean_rmse,std_rmse,mean_rank,std_rank,n_splits
bop,MS-VAR,283.91927144434607,28.19407188915156,1.0,0.0,3
bop,DMA,289.69360610940976,29.189592406544794,2.3333333333333335,0.5773502691896257,3
bop,DMS,290.6407365595082,33.00590893713238,2.6666666666666665,1.5275252316519465,3
bop,MS-VECM,294.56352253235855,27.400075250462976,3.6666666666666665,0.5773502691896258,3
bop,XGBoost,874.862212712053,245.9218865708268,5.0,0.0,3
bop,ARIMA,1259.3755871463447,11.51612819293023,6.333333333333333,0.5773502691896257,3
bop,Naive,1311.6176090112133,76.19862006165596,7.0,1.0,3
bop,BVAR,1331.1871681209434,45.94850969588739,7.666666666666667,0.5773502691896258,3
bop,VECM,1497.2478098358376,58.293107216986606,9.0,0.0,3
full,BVAR,600.6432788172316,2.0774109796842626,1.6666666666666667,0.5773502691896257,3
full,XGBoost,656.4580098696891,475.86245066043983,2.3333333333333335,2.3094010767585034,3
full,MS-VECM,870.4464989844499,60.55063561893101,2.6666666666666665,0.5773502691896258,3
full,DMS,988.9627501359333,130.8478293997924,3.6666666666666665,0.5773502691896258,3
full,DMA,1261.7539729639027,129.35048620957767,5.333333333333333,1.1547005383792517,3
full,Naive,1269.1931984966457,21.477775192669885,5.333333333333333,0.5773502691896257,3
full,ARIMA,1897.132610770862,87.27851951797881,7.0,0.0,3
full,MS-VAR,2228.9592735026777,116.63735658552922,8.0,0.0,3
full,VECM,7051.954394100599,426.12656468108855,9.0,0.0,3
monetary,MS-VAR,394.81629364431984,54.0112074435448,1.0,0.0,3
monetary,DMS,467.7048175234897,149.10071937558337,2.6666666666666665,2.0816659994661326,3
monetary,XGBoost,472.56415460478456,83.91467636263057,3.0,0.0,3
monetary,DMA,530.897150212026,61.995745847424395,3.3333333333333335,1.1547005383792515,3
monetary,MS-VECM,602.8141108443004,24.439812521632764,4.666666666666667,0.5773502691896257,3
monetary,Naive,1160.8582006011793,29.972902422241518,6.0,0.0,3
monetary,BVAR,1948.5990122842104,33.4989901887537,7.0,0.0,3
monetary,ARIMA,2013.7457458411461,20.138945468919466,8.0,0.0,3
monetary,VECM,8061.167648738882,358.3764335141698,9.0,0.0,3
parsimonious,MS-VAR,351.0898774948626,96.90963901838074,2.0,1.7320508075688772,3
parsimonious,DMS,352.4606590532244,12.44330659775681,2.3333333333333335,1.1547005383792515,3
parsimonious,MS-VECM,352.4606590532244,12.44330659775681,2.3333333333333335,1.1547005383792515,3
parsimonious,DMA,353.12982951541494,15.123124568650468,2.3333333333333335,0.5773502691896258,3
parsimonious,XGBoost,609.3552070626673,181.77983147352123,5.0,0.0,3
parsimonious,Naive,1126.504988167104,46.52316662640111,7.0,1.0,3
parsimonious,ARIMA,1255.2744488530634,334.73877782532384,7.0,1.7320508075688772,3
parsimonious,VECM,1145.726105673305,85.37168377013694,7.666666666666667,0.5773502691896258,3
parsimonious,BVAR,1157.069460878747,53.03849243047822,8.333333333333334,1.1547005383792515,3
pca,DMA,321.3516629155413,15.694616280132898,1.0,0.0,2
pca,MS-VAR,383.8241897271762,0.0,1.6666666666666667,0.5773502691896258,3
pca,MS-VECM,444.7512048288481,0.0,2.6666666666666665,0.5773502691896257,3
pca,DMS,468.7165954600383,33.8921804581983,3.5,0.7071067811865476,2
pca,XGBoost,654.6737001334766,0.0,4.333333333333333,1.1547005383792515,3
pca,Naive,1295.7687679520602,0.0,5.333333333333333,1.1547005383792515,3
pca,ARIMA,1345.1411407170808,0.0,6.333333333333333,1.1547005383792515,3
pca,VECM,1482.0525276686628,0.0,7.666666666666667,1.5275252316519468,3
pca,BVAR,1484.6239192027933,3.57426024861613,8.0,1.0,3
