date,horizon,ARIMA,BVAR,MS-VAR,MS-VECM,Naive,VECM,XGBoost,varset,split_label,train_end,valid_end
2020-02-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,parsimonious,baseline,2019-12-01,2022-12-01
2020-03-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,parsimonious,baseline,2019-12-01,2022-12-01
2020-04-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,parsimonious,baseline,2019-12-01,2022-12-01
2020-05-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,parsimonious,baseline,2019-12-01,2022-12-01
2020-06-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,parsimonious,baseline,2019-12-01,2022-12-01
2020-07-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,parsimonious,baseline,2019-12-01,2022-12-01
2020-08-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,parsimonious,baseline,2019-12-01,2022-12-01
2020-09-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,parsimonious,baseline,2019-12-01,2022-12-01
2020-10-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,parsimonious,baseline,2019-12-01,2022-12-01
2020-11-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,parsimonious,baseline,2019-12-01,2022-12-01
2020-12-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,parsimonious,baseline,2019-12-01,2022-12-01
2021-01-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,parsimonious,baseline,2019-12-01,2022-12-01
2021-02-01,1,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,parsimonious,baseline,2019-12-01,2022-12-01
2021-03-01,1,0.1077866247898929,0.12717709588660428,0.29854457392102635,0.14379366723559828,0.13679224158076644,0.119911048547875,0.06599474803823671,parsimonious,baseline,2019-12-01,2022-12-01
2021-04-01,1,0.05194603143409429,0.07181622467599916,0.533128300328933,0.17784619423492273,0.09056708595750337,0.0575110185520768,0.01718514481647054,parsimonious,baseline,2019-12-01,2022-12-01
2021-05-01,1,0.0762674325033206,0.10227018570335185,0.23177522378997276,0.35661923060625184,0.13875616892370174,0.07352424304225447,0.02078751543114681,parsimonious,baseline,2019-12-01,2022-12-01
2021-06-01,1,0.043010953709647304,0.05352167697938086,0.21234530820158684,0.5578006698394201,0.08962521694444826,0.032718507211302504,0.010977667114214058,parsimonious,baseline,2019-12-01,2022-12-01
2021-07-01,1,0.016497158380496677,0.019263456794863174,0.25580447121938804,0.6503061588841458,0.03994979643346025,0.009952000241043766,0.008226958046602397,parsimonious,baseline,2019-12-01,2022-12-01
2021-08-01,1,0.007326513410414106,0.007224055915177971,0.2033882928744639,0.7358775233582414,0.027349168188045024,0.00238064967867251,0.0164537965749851,parsimonious,baseline,2019-12-01,2022-12-01
2021-09-01,1,0.001407857706260013,0.001375132417635285,0.031197056581422286,0.9467739644727037,0.0070883304204398725,0.00034849058298012546,0.011809167818558711,parsimonious,baseline,2019-12-01,2022-12-01
2021-10-01,1,3.708521612070645e-05,1.6544630796275063e-05,0.014912453108650966,0.9846253769072218,0.0001469589262781895,2.8578915481694536e-06,0.00025872331938389356,parsimonious,baseline,2019-12-01,2022-12-01
2021-11-01,1,5.057564074929972e-07,4.3987520790160185e-07,0.07710601031020077,0.9228389914860575,6.243565787627362e-06,4.748647303696696e-08,4.776151986560189e-05,parsimonious,baseline,2019-12-01,2022-12-01
2021-12-01,1,2.5923160505638617e-10,4.747655303950768e-10,0.14916903474417215,0.8508307680252473,1.080397966700326e-08,3.348196387613616e-11,1.8565912182460417e-07,parsimonious,baseline,2019-12-01,2022-12-01
2022-01-01,1,1.2303790759198939e-09,2.3640648195976322e-09,0.03464327308599863,0.9653536490518976,6.50361266258267e-08,1.3409464339100272e-10,3.0090974386987233e-06,parsimonious,baseline,2019-12-01,2022-12-01
2022-02-01,1,1.723234763827917e-11,4.938644118704042e-11,0.006838833371272112,0.9931610752723904,1.7056667065944662e-09,2.0336475403968205e-12,8.958201827844341e-08,parsimonious,baseline,2019-12-01,2022-12-01
2022-03-01,1,1.1574961879303536e-11,3.878964453233783e-11,0.006169347386795255,0.9938305668873628,1.33762447127573e-09,1.4811092545329117e-12,8.433637168608711e-08,parsimonious,baseline,2019-12-01,2022-12-01
2022-04-01,1,5.644364969961921e-12,3.0001072579857214e-11,0.005540975164291546,0.9944589626061796,1.0763540531422877e-09,1.3178141636235423e-12,6.111621155062976e-08,parsimonious,baseline,2019-12-01,2022-12-01
2022-05-01,1,6.804756203800372e-12,8.708034340526376e-11,0.0003207846613012253,0.9996791075712738,3.350120897876574e-09,2.9631933252801985e-12,1.0432045586062785e-07,parsimonious,baseline,2019-12-01,2022-12-01
2022-06-01,1,1.3182323051181326e-12,9.486702584434517e-11,0.00020244054784297036,0.9997974884393162,3.8563741687861966e-09,2.5496708995626954e-12,6.70577318540423e-08,parsimonious,baseline,2019-12-01,2022-12-01
2022-07-01,1,1.3182358188731595e-12,6.903052966942773e-11,0.00017040929825088346,0.9998295439197236,2.984534476028047e-09,1.4676420202015428e-12,4.372567458709918e-08,parsimonious,baseline,2019-12-01,2022-12-01
2022-08-01,1,1.3182384277481999e-12,4.7063989352666347e-11,0.00014706728932326412,0.9998529152718286,2.183461253868569e-09,1.3182384277481999e-12,1.5205686188700597e-08,parsimonious,baseline,2019-12-01,2022-12-01
2022-09-01,1,1.3182406430889056e-12,3.073902145601171e-11,0.00012752540905422503,0.9998724656002949,1.5038057720215663e-09,1.3182406430889056e-12,7.453469579993894e-09,parsimonious,baseline,2019-12-01,2022-12-01
2022-10-01,1,1.3182431871656012e-12,2.040607391018358e-11,0.00010546805300472927,0.9998945292062622,1.0537020254499147e-09,1.3182431871656012e-12,1.6639884522187198e-09,parsimonious,baseline,2019-12-01,2022-12-01
2022-11-01,1,1.3182449796569385e-12,1.2599384423692224e-11,9.020189580780378e-05,0.9999097971451976,6.997628768906665e-10,1.3182449796569385e-12,2.4399585290757057e-10,parsimonious,baseline,2019-12-01,2022-12-01
2022-12-01,1,1.3182472992434856e-12,7.789735418968478e-12,7.083497165971214e-05,0.999929164523262,4.6119267457367314e-10,1.3182472992434856e-12,3.345944131262171e-11,parsimonious,baseline,2019-12-01,2022-12-01
2023-01-01,1,1.3182492391066405e-12,5.054580084520039e-12,5.503153157255368e-05,0.9999449681351217,3.1778626890616156e-10,1.3182492391066405e-12,7.828384844830829e-12,parsimonious,baseline,2019-12-01,2022-12-01
2023-02-01,1,1.318250550258589e-12,4.064229475910585e-12,4.458905770926249e-05,0.999955410675994,2.5628175315299056e-10,1.318250550258589e-12,3.314123708974003e-12,parsimonious,baseline,2019-12-01,2022-12-01
2023-03-01,1,1.3182512915026754e-12,3.84521864123309e-12,3.878401092353383e-05,0.9999612157399823,2.375416055634032e-10,1.326969473158518e-12,5.062027968573706e-12,parsimonious,baseline,2019-12-01,2022-12-01
2023-04-01,1,1.3182521931336636e-12,2.607614196943054e-12,3.1832170240753145e-05,0.9999681676573441,1.6343740755979077e-10,1.3182521931336636e-12,3.7336263452761775e-12,parsimonious,baseline,2019-12-01,2022-12-01
2023-05-01,1,1.3182519203895045e-12,2.08640391443431e-12,3.392170234127234e-05,0.9999660781551735,1.3390244681193922e-10,1.3182519203895045e-12,3.8599479581099275e-12,parsimonious,baseline,2019-12-01,2022-12-01
2023-06-01,1,1.6678515507289498e-12,2.344014813581972e-12,6.195777022547127e-05,0.9999380420675275,1.5515661335832623e-10,1.4374759131001182e-12,1.6410499555561735e-12,parsimonious,baseline,2019-12-01,2022-12-01
2023-07-01,1,1.318249468146019e-12,1.318249468146019e-12,5.3193041302338e-05,0.9999468069175336,3.5891022736737796e-11,1.318249468146019e-12,1.318249468146019e-12,parsimonious,baseline,2019-12-01,2022-12-01
