date,horizon,ARIMA,BVAR,MS-VAR,MS-VECM,Naive,VECM,XGBoost
2020-02-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-03-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-04-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-05-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-06-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-07-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-08-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-09-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-10-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-11-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-12-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2021-01-01,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2021-02-01,1,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288
2021-03-01,1,0.07567602854666876,0.11663211690027386,0.2480833978609389,0.2490735287180572,0.12261378460343905,0.11733859244996035,0.070582550920662
2021-04-01,1,0.03323983484306839,0.06179670471607152,0.3857658162006654,0.37258407427156204,0.0730154605309001,0.0618797389310461,0.011718370506686405
2021-05-01,1,0.041958235954445075,0.10740326697710857,0.29108930708835495,0.29494172965328924,0.13543403101952145,0.10725999971517036,0.021913429592110355
2021-06-01,1,0.028605693523109377,0.08200630594638915,0.3501918670670767,0.3264230507099834,0.11625916701320017,0.0802520440036349,0.016261871736606454
2021-07-01,1,0.01092334304678245,0.036515267888394994,0.433735611710436,0.41475989901509325,0.057220763696386755,0.034316892729125574,0.012528221913781014
2021-08-01,1,0.024505123615509588,0.015150671563475783,0.5040809874615035,0.39459644638591734,0.03460121944649972,0.014812078424045236,0.012253473103048943
2021-09-01,1,0.03910783411604291,0.01880879190615991,0.434837526383853,0.37019519832184533,0.05320324532314825,0.018260483033835366,0.06558692091511538
2021-10-01,1,0.009466385889274113,0.0006797011091178622,0.5438675869120936,0.43588011242730057,0.0026910308520755404,0.0006338052009621471,0.006781377609176305
2021-11-01,1,0.0003120784904174106,3.918334253163049e-06,0.5701508379202374,0.4291499981035555,2.3045515066184684e-05,3.456811307036094e-06,0.0003566648251633139
2021-12-01,1,1.9406551373247394e-06,2.583056658019739e-09,0.5888084128835862,0.4111883623010945,2.1653026455193157e-08,1.874501726143296e-09,1.2580495970693907e-06
