date,horizon,ARIMA,MS-VAR,MS-VECM,Naive,VECM,XGBoost
2020-02-01,1,0.2,0.2,0.0,0.2,0.2,0.2
2020-03-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-04-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-05-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-06-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-07-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-08-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-09-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-10-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-11-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-12-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-01-01,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-02-01,1,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
2021-03-01,1,0.1649249311072106,0.2749449865133494,0.0,0.24686031067514214,0.25219135520331426,0.06107841650098361
2021-04-01,1,0.13253499946489813,0.4305114133241032,0.0,0.20511471465096662,0.2267772621021564,0.0050616104578756265
2021-05-01,1,0.08135890309997794,0.5120211072963206,0.0,0.18779815623167564,0.21709018478576467,0.0017316485862612016
2021-06-01,1,2.5591420175607088e-11,3.6101573598151663e-10,0.9999999994786705,5.890969071521458e-11,7.449437579927837e-11,1.31825673841097e-12
2021-07-01,1,1.9452253984275584e-11,5.011191412489678e-10,0.9999999993669346,4.6603425410374744e-11,6.4572356127325e-11,1.318256738382808e-12
2021-08-01,1,4.288752820077262e-11,5.453902601597637e-11,0.9999999998818323,7.366778762432476e-12,1.2056088811309645e-11,1.318256738520301e-12
2021-09-01,1,3.258629447512558e-11,9.875932997667957e-11,0.9999999998599529,2.5478020507681278e-12,4.835328404201182e-12,1.318256738514651e-12
2021-10-01,1,2.468509915725219e-11,1.6376251688666637e-10,0.9999999998075976,1.3182567384984617e-12,1.3182567384984617e-12,1.3182567384984617e-12
2021-11-01,1,2.987579155957034e-11,2.286543667403636e-11,0.999999999943304,1.3182567385355671e-12,1.3182567385355671e-12,1.3182567385355671e-12
2021-12-01,1,1.477775753234602e-11,1.575838628298704e-11,0.999999999965509,1.318256738541934e-12,1.318256738541934e-12,1.318256738541934e-12
2022-01-01,1,1.0202771498460048e-10,1.2300128004028261e-11,0.9999999998788289,2.4888702328272808e-12,3.0361045450047e-12,1.3182567385205834e-12
2022-02-01,1,8.17590849589203e-11,2.2241732683147456e-11,0.9999999998920444,1.318256738521433e-12,1.318256738521433e-12,1.318256738521433e-12
2022-03-01,1,7.155209581545789e-11,2.766837011502527e-11,0.9999999998961945,1.7024995958739442e-12,1.5641979922010118e-12,1.3182567385257866e-12
2022-04-01,1,5.37181262947611e-11,3.178075303048679e-11,0.9999999999096252,2.0091900881972077e-12,1.5485857718458524e-12,1.3182567385294697e-12
2024-02-01,1,0.5921637961105624,0.35218004615267784,0.0,0.02288827280677648,0.017687160489684297,0.015080724440299039
2024-03-01,1,0.2,0.2,0.0,0.2,0.2,0.2
2024-04-01,1,0.19999999999999998,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998,0.19999999999999998
2024-05-01,1,0.19999999999999998,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998,0.19999999999999998
2024-06-01,1,1.3182567385477198e-12,1.3182567385477198e-12,0.9999999999934086,1.3182567385477198e-12,1.3182567385477198e-12,1.3182567385477198e-12
