model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
DMS,validation,6,all,1917.9554379827362,2460.57986471513,50.64765278174244,37.88160241077315,7.319272548517623,2031.056823472054,,,,,21,common_dates,2020-07-01,2022-03-01,21
DMS,validation,12,all,3898.980876328556,4277.981593526209,138.73741438631873,76.30224555718591,14.87923187898574,4030.4300125286245,,,,,15,common_dates,2021-01-01,2022-03-01,15
MS-VAR,test,1,all,278.4686445006978,363.6329084875325,5.017652745550393,5.243365630506601,1.0626878315069677,502.1544891963604,209.87691324734809,-7.41174843655881,0.9411764705882353,1.0,17,common_dates,2024-02-01,2025-06-01,17
MS-VAR,test,3,all,679.3021933341976,838.3950440765941,11.519993952473785,12.742589542117289,2.5923427611270484,1329.2841951220905,489.1550041090194,-8.47282419096479,0.5333333333333333,0.9333333333333333,15,common_dates,2024-04-01,2025-06-01,15
MS-VAR,test,6,all,1160.8248402094766,1335.6104498976742,19.035628993947103,21.973399519042243,4.42992220690951,2321.6496804189533,912.718060207195,-10.48061461549929,0.25,0.4166666666666667,12,common_dates,2024-07-01,2025-06-01,12
MS-VAR,test,12,all,2236.7024983575047,2316.366410615897,35.976771807148985,44.85928532730561,8.535670261790631,4473.4049967150095,1943.9074213046576,-17.12557563878714,0.0,0.0,6,common_dates,2025-01-01,2025-06-01,6
MS-VAR,validation,1,all,559.0082914894174,698.0046697496069,16.05912975789942,15.778203797101842,2.1332789914011854,758.6333837582717,406.163481922439,-8.187515041399982,0.6538461538461539,0.8076923076923077,26,common_dates,2020-02-01,2022-03-01,26
MS-VAR,validation,3,all,923.6805448928739,1146.3428197529677,26.91598854281907,22.38027330782242,3.5249357320548267,1075.9175148441632,741.5170979040196,-10.117664686604293,0.375,0.5833333333333334,24,common_dates,2020-04-01,2022-03-01,24
MS-VAR,validation,6,all,1366.5554950066526,1605.6328393452648,40.83872975091175,31.006675654875142,5.215028421696904,1373.5868624508446,1133.0330828090205,-13.075210016778303,0.14285714285714285,0.42857142857142855,21,common_dates,2020-07-01,2022-03-01,21
MS-VAR,validation,12,all,3114.865310584913,3269.062307876961,106.0352462099688,65.92452798847187,11.88690191054334,3114.865310584913,2854.0693382645486,-32.133909954229516,0.0,0.0,15,common_dates,2021-01-01,2022-03-01,15
MS-VECM,test,1,all,335.58229577736086,588.7037785059917,6.3229955443071795,7.26809084437262,1.2806440841165505,592.4245849420731,272.0765901023677,-7.809442421321414,0.9411764705882353,0.9411764705882353,17,common_dates,2024-02-01,2025-06-01,17
MS-VECM,test,3,all,575.8191681214568,919.5205234781527,9.909036063394412,11.640984051178618,2.1974324046727767,1067.8809128148432,431.3906167756784,-8.736873068423801,0.8666666666666667,0.9333333333333333,15,common_dates,2024-04-01,2025-06-01,15
MS-VECM,test,6,all,842.296201558465,1332.39893013599,14.066615740539682,17.905986289596317,3.2143580313168005,1674.9212251410179,686.0720666368239,-10.46471811912563,0.5833333333333334,0.6666666666666666,12,common_dates,2024-07-01,2025-06-01,12
MS-VECM,test,12,all,1853.3573476859171,2542.2149185602784,30.028339921118487,45.43482551450473,7.072754292862287,3706.7146953718343,1570.6169015164714,-19.161352468578496,0.0,0.3333333333333333,6,common_dates,2025-01-01,2025-06-01,6
MS-VECM,validation,1,all,559.5004261373559,696.4538003658126,16.242399294717977,15.783502091699368,2.135157068205003,756.3653005243596,406.69154338551704,-8.182366925573586,0.6538461538461539,0.8076923076923077,26,common_dates,2020-02-01,2022-03-01,26
MS-VECM,validation,3,all,883.1011835000166,1055.0401999761038,24.72535799514139,22.312099692434405,3.370077386549414,1086.9114626032008,690.4036813975221,-9.652888927544932,0.3333333333333333,0.5833333333333334,24,common_dates,2020-04-01,2022-03-01,24
