date,regime_0_prob,regime_1_prob,most_likely_regime,max_probability,split
2009-03-01,0.9999446069773537,5.5393022646310516e-05,0,0.9999446069773537,train
2009-04-01,0.9999733944471505,2.6605552849504142e-05,0,0.9999733944471505,train
2009-05-01,0.9999338366368695,6.616336313049967e-05,0,0.9999338366368695,train
2009-06-01,0.9999837231992457,1.6276800754301715e-05,0,0.9999837231992457,train
2009-07-01,0.9999861048746078,1.3895125392158027e-05,0,0.9999861048746078,train
2009-08-01,0.9999667427548938,3.3257245106184024e-05,0,0.9999667427548938,train
2009-09-01,0.9999512095501466,4.879044985336454e-05,0,0.9999512095501466,train
2009-10-01,0.9999760239011561,2.397609884390106e-05,0,0.9999760239011561,train
2009-11-01,0.9999508514911738,4.914850882620726e-05,0,0.9999508514911738,train
2009-12-01,0.9999853217346735,1.4678265326498003e-05,0,0.9999853217346735,train
2010-01-01,0.9999784705893295,2.1529410670506265e-05,0,0.9999784705893295,train
2010-02-01,0.9999678205409702,3.2179459029735275e-05,0,0.9999678205409702,train
2010-03-01,0.9999362234820807,6.377651791931741e-05,0,0.9999362234820807,train
2010-04-01,0.9999702079205633,2.9792079436673224e-05,0,0.9999702079205633,train
2010-05-01,0.9999463395313161,5.366046868399506e-05,0,0.9999463395313161,train
2010-06-01,0.9999835359053377,1.6464094662314747e-05,0,0.9999835359053377,train
2010-07-01,0.9999427711447877,5.722885521225463e-05,0,0.9999427711447877,train
2010-08-01,0.9998371829871256,0.0001628170128744351,0,0.9998371829871256,train
2010-09-01,0.9999430061665754,5.699383342451437e-05,0,0.9999430061665754,train
2010-10-01,0.9999700342335395,2.9965766460549195e-05,0,0.9999700342335395,train
2010-11-01,0.9998961394452296,0.000103860554770422,0,0.9998961394452296,train
2010-12-01,0.9999410668261316,5.8933173868321175e-05,0,0.9999410668261316,train
2011-01-01,0.9998021875580596,0.00019781244194047758,0,0.9998021875580596,train
2011-02-01,0.9999692154252434,3.07845747566854e-05,0,0.9999692154252434,train
2011-03-01,0.9988639878018384,0.0011360121981616917,0,0.9988639878018384,train
2011-04-01,0.9998619127862632,0.00013808721373666173,0,0.9998619127862632,train
2011-05-01,0.9999585671072911,4.1432892708818176e-05,0,0.9999585671072911,train
2011-06-01,0.9999314171017293,6.858289827062776e-05,0,0.9999314171017293,train
2011-07-01,0.9998802554779308,0.00011974452206918228,0,0.9998802554779308,train
2011-08-01,0.9998125483807324,0.00018745161926766264,0,0.9998125483807324,train
2011-09-01,0.9999650269856529,3.497301434698786e-05,0,0.9999650269856529,train
2011-10-01,0.9999707771522017,2.922284779835232e-05,0,0.9999707771522017,train
2011-11-01,0.9999155108490049,8.448915099502465e-05,0,0.9999155108490049,train
2011-12-01,0.9999343468250628,6.565317493727065e-05,0,0.9999343468250628,train
2012-01-01,0.9999542138857023,4.578611429771842e-05,0,0.9999542138857023,train
2012-02-01,0.9999898169296109,1.0183070389058442e-05,0,0.9999898169296109,train
2012-03-01,0.9996753931248654,0.0003246068751345442,0,0.9996753931248654,train
2012-04-01,0.9998393629655054,0.00016063703449459063,0,0.9998393629655054,train
2012-05-01,0.9999458764473007,5.412355269929172e-05,0,0.9999458764473007,train
2012-06-01,0.9998887714037942,0.0001112285962057307,0,0.9998887714037942,train
2012-07-01,0.9997031495270366,0.00029685047296344947,0,0.9997031495270366,train
2012-08-01,0.999738897666621,0.0002611023333790094,0,0.999738897666621,train
2012-09-01,0.9999925444061906,7.455593809421712e-06,0,0.9999925444061906,train
2012-10-01,0.9999632647286589,3.6735271341162877e-05,0,0.9999632647286589,train
2012-11-01,0.9998145800790191,0.00018541992098087406,0,0.9998145800790191,train
2012-12-01,0.9999960514976407,3.948502359273192e-06,0,0.9999960514976407,train
2013-01-01,0.9997851626848012,0.0002148373151988717,0,0.9997851626848012,train
2013-02-01,0.9999424218263219,5.7578173678236875e-05,0,0.9999424218263219,train
2013-03-01,0.9999416082636269,5.839173637314009e-05,0,0.9999416082636269,train
2013-04-01,0.9988641762333672,0.0011358237666328637,0,0.9988641762333672,train
2013-05-01,0.9998225786490699,0.00017742135093009765,0,0.9998225786490699,train
2013-06-01,0.999796354140614,0.00020364585938592618,0,0.999796354140614,train
2013-07-01,0.9989592337207724,0.0010407662792274903,0,0.9989592337207724,train
2013-08-01,0.9734286488189006,0.02657135118109932,0,0.9734286488189006,train
2013-09-01,0.017692444001430906,0.982307555998569,1,0.982307555998569,train
2013-10-01,0.0025477973120862376,0.9974522026879137,1,0.9974522026879137,train
2013-11-01,2.137658522487953e-14,0.9999999999999786,1,0.9999999999999786,train
2013-12-01,1.2815509266549436e-35,1.0,1,1.0,train
2014-01-01,5.2915644072801735e-06,0.9999947084355928,1,0.9999947084355928,train
2014-02-01,0.006585088285863041,0.9934149117141369,1,0.9934149117141369,train
2014-03-01,5.980304591338986e-11,0.9999999999401971,1,0.9999999999401971,train
2014-04-01,5.0546246917510576e-40,1.0,1,1.0,train
2014-05-01,6.530570724059229e-24,1.0,1,1.0,train
2014-06-01,3.5466970938576794e-08,0.9999999645330291,1,0.9999999645330291,train
2014-07-01,8.796678512524607e-12,0.9999999999912033,1,0.9999999999912033,train
2014-08-01,1.3057520184266137e-08,0.9999999869424797,1,0.9999999869424797,train
2014-09-01,1.936060162826192e-19,1.0,1,1.0,train
